"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"04000","5","11112","57","0","2023","1","N","Arizona -- Statewide","Private","NAICS 11112 Oilseed (except soybean) farming","State, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.85,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04000","5","11112","57","0","2023","2","N","Arizona -- Statewide","Private","NAICS 11112 Oilseed (except soybean) farming","State, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.81,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04000","5","11112","57","0","2023","3","N","Arizona -- Statewide","Private","NAICS 11112 Oilseed (except soybean) farming","State, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.80,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04021","5","11112","77","0","2023","1","N","Pinal County, Arizona","Private","NAICS 11112 Oilseed (except soybean) farming","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",42.02,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04021","5","11112","77","0","2023","2","N","Pinal County, Arizona","Private","NAICS 11112 Oilseed (except soybean) farming","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",39.84,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04021","5","11112","77","0","2023","3","N","Pinal County, Arizona","Private","NAICS 11112 Oilseed (except soybean) farming","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",39.62,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06000","5","11112","57","0","2023","1","","California -- Statewide","Private","NAICS 11112 Oilseed (except soybean) farming","State, NAICS 5-digit -- by ownership sector","All establishment sizes",7,11,11,11,205140,77000,4361,1435,"",0.72,0.41,0.42,0.40,0.40,0.42,0.63,0.98,"",-3,-30.0,-6,-35.3,-8,-42.1,-8,-42.1,-133995,-39.5,-43603,-36.2,-1269,-22.5,12,0.8
"06000","5","11112","57","0","2023","2","","California -- Statewide","Private","NAICS 11112 Oilseed (except soybean) farming","State, NAICS 5-digit -- by ownership sector","All establishment sizes",8,11,13,13,232632,21000,1302,1451,"",0.81,0.39,0.46,0.45,0.41,0.41,0.55,0.94,"",-2,-20.0,-13,-54.2,-12,-48.0,-11,-45.8,-212990,-47.8,-17013,-44.8,-897,-40.8,42,3.0
"06000","5","11112","57","0","2023","3","","California -- Statewide","Private","NAICS 11112 Oilseed (except soybean) farming","State, NAICS 5-digit -- by ownership sector","All establishment sizes",8,15,14,14,351168,7990,299,1885,"",0.80,0.54,0.48,0.46,0.74,0.18,0.16,1.51,"",-2,-20.0,-9,-37.5,-10,-41.7,-10,-41.7,-171166,-32.8,-18517,-69.9,-887,-74.8,211,12.6
"06011","5","11112","77","0","2023","1","N","Colusa County, California","Private","NAICS 11112 Oilseed (except soybean) farming","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",186.51,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
