"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","111335","58","0","2023","1","","Alabama -- Statewide","Private","NAICS 111335 Tree nut farming","State, NAICS 6-digit -- by ownership sector","All establishment sizes",6,15,14,13,77252,45167,560,424,"",0.21,0.06,0.05,0.05,0.03,0.03,0.03,0.62,"",-1,-14.3,7,87.5,6,75.0,8,160.0,14658,23.4,11967,36.0,-68,-10.8,-264,-38.4
"01000","5","111335","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 111335 Tree nut farming","State, NAICS 6-digit -- by ownership sector","All establishment sizes",6,8,10,9,72256,12332,127,618,"",0.21,0.03,0.04,0.03,0.03,0.04,0.03,0.83,"",0,0.0,3,60.0,4,66.7,3,50.0,7223,11.1,-3223,-20.7,-169,-57.1,-265,-30.0
"01000","5","111335","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 111335 Tree nut farming","State, NAICS 6-digit -- by ownership sector","All establishment sizes",7,9,10,11,88088,16511,262,678,"",0.24,0.04,0.04,0.04,0.03,0.07,0.06,0.81,"N",1,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","111335","78","0","2023","1","N","Baldwin County, Alabama","Private","NAICS 111335 Tree nut farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.66,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","111335","78","0","2023","2","N","Baldwin County, Alabama","Private","NAICS 111335 Tree nut farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.65,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","111335","78","0","2023","3","N","Baldwin County, Alabama","Private","NAICS 111335 Tree nut farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.64,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","111335","78","0","2023","1","N","Barbour County, Alabama","Private","NAICS 111335 Tree nut farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",9.16,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","111335","78","0","2023","2","N","Barbour County, Alabama","Private","NAICS 111335 Tree nut farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",8.91,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","111335","78","0","2023","3","N","Barbour County, Alabama","Private","NAICS 111335 Tree nut farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",9.09,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01039","5","111335","78","0","2023","1","N","Covington County, Alabama","Private","NAICS 111335 Tree nut farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",5.05,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
