"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","11194","57","0","2023","1","","Alabama -- Statewide","Private","NAICS 11194 Hay farming","State, NAICS 5-digit -- by ownership sector","All establishment sizes",4,7,7,3,48146,40136,81,654,"",0.17,0.07,0.07,0.03,0.05,0.06,0.02,0.99,"",-2,-33.3,-6,-46.2,-5,-41.7,-8,-72.7,-22040,-31.4,-22432,-35.9,-701,-89.6,204,45.3
"01000","5","11194","57","0","2023","2","","Alabama -- Statewide","Private","NAICS 11194 Hay farming","State, NAICS 5-digit -- by ownership sector","All establishment sizes",3,4,4,4,36412,1812,4,700,"",0.13,0.03,0.03,0.03,0.03,0.01,0.00,0.93,"",-3,-50.0,-9,-69.2,-9,-69.2,-8,-66.7,-61779,-62.9,-29640,-94.2,-319,-98.8,104,17.4
"01000","5","11194","57","0","2023","3","","Alabama -- Statewide","Private","NAICS 11194 Hay farming","State, NAICS 5-digit -- by ownership sector","All establishment sizes",4,4,4,6,35798,7378,109,590,"",0.17,0.03,0.03,0.04,0.03,0.02,0.04,0.78,"",-2,-33.3,-8,-66.7,-8,-66.7,-5,-45.5,-53500,-59.9,-13484,-64.6,-37,-25.3,1,0.2
"01003","5","11194","77","0","2023","1","N","Baldwin County, Alabama","Private","NAICS 11194 Hay farming","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.82,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","11194","77","0","2023","2","N","Baldwin County, Alabama","Private","NAICS 11194 Hay farming","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.80,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","11194","77","0","2023","3","N","Baldwin County, Alabama","Private","NAICS 11194 Hay farming","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.79,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01017","5","11194","77","0","2023","1","N","Chambers County, Alabama","Private","NAICS 11194 Hay farming","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",8.70,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01017","5","11194","77","0","2023","2","-","Chambers County, Alabama","Private","NAICS 11194 Hay farming","County, NAICS 5-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",-1,-100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01017","5","11194","77","0","2023","3","N","Chambers County, Alabama","Private","NAICS 11194 Hay farming","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",8.67,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01045","5","11194","77","0","2023","1","N","Dale County, Alabama","Private","NAICS 11194 Hay farming","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",6.11,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
