"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","111992","58","0","2023","1","","Alabama -- Statewide","Private","NAICS 111992 Peanut farming","State, NAICS 6-digit -- by ownership sector","All establishment sizes",33,255,255,246,2590436,1781501,5611,791,"",11.31,17.92,17.43,16.43,24.00,22.54,53.49,1.39,"",0,0.0,62,32.1,56,28.1,26,11.8,618963,31.4,375620,26.7,-14234,-71.7,48,6.5
"01000","5","111992","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 111992 Peanut farming","State, NAICS 6-digit -- by ownership sector","All establishment sizes",34,254,269,267,2820288,406313,1719,824,"",11.51,16.02,16.95,16.02,21.55,21.86,53.71,1.32,"",1,3.0,35,16.0,38,16.5,41,18.1,509523,22.0,-77520,-16.0,-6434,-78.9,35,4.4
"01000","5","111992","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 111992 Peanut farming","State, NAICS 6-digit -- by ownership sector","All establishment sizes",34,263,264,272,2757999,286277,1445,797,"",11.58,15.77,16.43,16.72,21.15,23.83,62.85,1.30,"",3,9.7,28,11.9,36,15.8,46,20.4,390380,16.5,-36748,-11.4,-5020,-77.6,4,0.5
"01003","5","111992","78","0","2023","1","N","Baldwin County, Alabama","Private","NAICS 111992 Peanut farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",13.01,0,0,0,0,0,0,0,"N",-1,-33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","111992","78","0","2023","2","N","Baldwin County, Alabama","Private","NAICS 111992 Peanut farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",12.78,0,0,0,0,0,0,0,"N",-1,-33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","111992","78","0","2023","3","N","Baldwin County, Alabama","Private","NAICS 111992 Peanut farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",12.76,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","111992","78","0","2023","1","","Barbour County, Alabama","Private","NAICS 111992 Peanut farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,14,12,12,319500,111260,222,1940,"",360.19,257.98,216.58,213.55,1075.21,392.09,709.68,4.69,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","111992","78","0","2023","2","","Barbour County, Alabama","Private","NAICS 111992 Peanut farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,12,12,12,170099,850,2,1090,"",351.97,201.91,202.54,192.29,470.23,10.81,10.89,2.36,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","111992","78","0","2023","3","","Barbour County, Alabama","Private","NAICS 111992 Peanut farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,14,14,15,204812,23413,47,1099,"",362.15,227.25,234.40,251.19,571.39,529.99,465.53,2.40,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","111992","78","0","2023","1","N","Butler County, Alabama","Private","NAICS 111992 Peanut farming","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",96.47,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
