"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","2123","56","0","2023","1","","Alabama -- Statewide","Private","NAICS 2123 Nonmetallic mineral mining and quarrying","State, NAICS 4-digit -- by ownership sector","All establishment sizes",125,2064,2076,2096,39679239,16219117,72888,1468,"",1.61,1.61,1.60,1.59,1.84,1.45,0.69,1.15,"",-3,-2.3,65,3.3,58,2.9,83,4.1,4445791,12.6,609111,3.9,-94801,-56.5,120,8.9
"01000","5","2123","56","0","2023","2","","Alabama -- Statewide","Private","NAICS 2123 Nonmetallic mineral mining and quarrying","State, NAICS 4-digit -- by ownership sector","All establishment sizes",127,2067,2072,2093,39147323,1689757,11791,1450,"",1.61,1.52,1.50,1.48,1.70,0.60,0.27,1.13,"",-3,-2.3,34,1.7,47,2.3,119,6.0,2396901,6.5,-193845,-10.3,-11708,-49.8,44,3.1
"01000","5","2123","56","0","2023","3","","Alabama -- Statewide","Private","NAICS 2123 Nonmetallic mineral mining and quarrying","State, NAICS 4-digit -- by ownership sector","All establishment sizes",127,2063,2066,2039,37566296,1250400,12170,1406,"",1.59,1.45,1.46,1.44,1.60,0.65,0.42,1.10,"",2,1.6,35,1.7,51,2.5,14,0.7,197603,0.5,-213616,-14.6,-5286,-30.3,-15,-1.1
"01001","5","2123","76","0","2023","1","","Autauga County, Alabama","Private","NAICS 2123 Nonmetallic mineral mining and quarrying","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,70,69,72,1237504,586855,4745,1353,"",15.09,9.59,9.34,9.56,12.36,10.63,7.74,1.30,"",0,0.0,-14,-16.7,-15,-17.9,-9,-11.1,-87123,-6.6,-99208,-14.5,-12891,-73.1,125,10.2
"01001","5","2123","76","0","2023","2","","Autauga County, Alabama","Private","NAICS 2123 Nonmetallic mineral mining and quarrying","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,64,64,64,1183865,44176,297,1423,"",13.05,8.26,8.07,7.91,10.59,2.75,1.09,1.31,"",-1,-12.5,-19,-22.9,-20,-23.8,-19,-22.9,-237494,-16.7,-79456,-64.3,-3224,-91.6,111,8.5
"01001","5","2123","76","0","2023","3","","Autauga County, Alabama","Private","NAICS 2123 Nonmetallic mineral mining and quarrying","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,65,63,64,1140015,55871,354,1370,"",12.78,7.95,7.77,7.95,10.10,5.63,2.24,1.28,"",-1,-12.5,-16,-19.8,-16,-20.3,-11,-14.7,-216148,-15.9,-31982,-36.4,-2304,-86.7,38,2.9
"01003","5","2123","76","0","2023","1","N","Baldwin County, Alabama","Private","NAICS 2123 Nonmetallic mineral mining and quarrying","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,0,0,0,0,0,0,0,"N",1.71,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","2123","76","0","2023","2","N","Baldwin County, Alabama","Private","NAICS 2123 Nonmetallic mineral mining and quarrying","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,0,0,0,0,0,0,0,"N",1.67,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","2123","76","0","2023","3","N","Baldwin County, Alabama","Private","NAICS 2123 Nonmetallic mineral mining and quarrying","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,0,0,0,0,0,0,0,"N",1.64,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","2123","76","0","2023","1","N","Barbour County, Alabama","Private","NAICS 2123 Nonmetallic mineral mining and quarrying","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",3.38,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
