"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","212313","58","0","2023","1","","Alabama -- Statewide","Private","NAICS 212313 Crushed and broken granite mining and quarrying","State, NAICS 6-digit -- by ownership sector","All establishment sizes",4,78,78,74,1237928,499271,1839,1242,"",1.05,0.98,0.98,0.92,0.94,0.80,0.81,0.98,"",0,0.0,3,4.0,4,5.4,0,0.0,65035,5.5,18163,3.8,-2262,-55.2,28,2.3
"01000","5","212313","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 212313 Crushed and broken granite mining and quarrying","State, NAICS 6-digit -- by ownership sector","All establishment sizes",4,75,73,75,1236974,48662,176,1280,"",1.03,0.94,0.92,0.92,0.93,0.52,0.34,1.00,"",0,0.0,0,0.0,-1,-1.4,4,5.6,46557,3.9,-7382,-13.2,-339,-65.8,31,2.5
"01000","5","212313","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 212313 Crushed and broken granite mining and quarrying","State, NAICS 6-digit -- by ownership sector","All establishment sizes",4,76,77,76,1195645,37042,169,1205,"",1.03,0.93,0.95,0.93,0.93,0.78,0.61,1.00,"",0,0.0,0,0.0,1,1.3,-1,-1.3,54350,4.8,-6999,-15.9,-289,-63.1,55,4.8
"01081","5","212313","78","0","2023","1","N","Lee County, Alabama","Private","NAICS 212313 Crushed and broken granite mining and quarrying","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",9.79,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01081","5","212313","78","0","2023","2","N","Lee County, Alabama","Private","NAICS 212313 Crushed and broken granite mining and quarrying","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",9.52,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01081","5","212313","78","0","2023","3","N","Lee County, Alabama","Private","NAICS 212313 Crushed and broken granite mining and quarrying","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",9.50,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01111","5","212313","78","0","2023","1","N","Randolph County, Alabama","Private","NAICS 212313 Crushed and broken granite mining and quarrying","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",86.94,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01111","5","212313","78","0","2023","2","N","Randolph County, Alabama","Private","NAICS 212313 Crushed and broken granite mining and quarrying","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",83.50,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01111","5","212313","78","0","2023","3","N","Randolph County, Alabama","Private","NAICS 212313 Crushed and broken granite mining and quarrying","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",82.81,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01123","5","212313","78","0","2023","1","N","Tallapoosa County, Alabama","Private","NAICS 212313 Crushed and broken granite mining and quarrying","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",39.47,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01123","5","212313","78","0","2023","2","N","Tallapoosa County, Alabama","Private","NAICS 212313 Crushed and broken granite mining and quarrying","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",38.68,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01123","5","212313","78","0","2023","3","N","Tallapoosa County, Alabama","Private","NAICS 212313 Crushed and broken granite mining and quarrying","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",38.79,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01999","5","212313","78","0","2023","1","N","Unknown Or Undefined, Alabama","Private","NAICS 212313 Crushed and broken granite mining and quarrying","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.02,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01999","5","212313","78","0","2023","2","N","Unknown Or Undefined, Alabama","Private","NAICS 212313 Crushed and broken granite mining and quarrying","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.99,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01999","5","212313","78","0","2023","3","N","Unknown Or Undefined, Alabama","Private","NAICS 212313 Crushed and broken granite mining and quarrying","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.00,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02000","5","212313","58","0","2023","1","N","Alaska -- Statewide","Private","NAICS 212313 Crushed and broken granite mining and quarrying","State, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.62,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02000","5","212313","58","0","2023","2","N","Alaska -- Statewide","Private","NAICS 212313 Crushed and broken granite mining and quarrying","State, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.59,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02000","5","212313","58","0","2023","3","N","Alaska -- Statewide","Private","NAICS 212313 Crushed and broken granite mining and quarrying","State, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.59,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
