"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","2131","56","0","2023","1","","Alabama -- Statewide","Private","NAICS 2131 Support activities for mining","State, NAICS 4-digit -- by ownership sector","All establishment sizes",146,930,922,865,17927952,7118041,64530,1523,"",0.65,0.25,0.24,0.22,0.20,0.20,0.22,0.85,"",1,0.7,175,23.2,127,16.0,65,8.1,4317702,31.7,1030926,16.9,-33423,-34.1,186,13.9
"01000","5","2131","56","0","2023","2","","Alabama -- Statewide","Private","NAICS 2131 Support activities for mining","State, NAICS 4-digit -- by ownership sector","All establishment sizes",142,856,840,850,15917744,1449583,13492,1443,"",0.63,0.22,0.22,0.22,0.20,0.22,0.25,0.88,"",5,3.6,38,4.6,42,5.3,21,2.5,1196063,8.1,98276,7.3,-15478,-53.4,54,3.9
"01000","5","2131","56","0","2023","3","","Alabama -- Statewide","Private","NAICS 2131 Support activities for mining","State, NAICS 4-digit -- by ownership sector","All establishment sizes",147,839,825,791,15785060,1142686,12616,1484,"",0.65,0.22,0.22,0.21,0.19,0.25,0.30,0.89,"",6,4.3,-77,-8.4,-77,-8.5,-73,-8.4,-775675,-4.7,-668624,-36.9,-23579,-65.1,59,4.1
"01003","5","2131","76","0","2023","1","","Baldwin County, Alabama","Private","NAICS 2131 Support activities for mining","County, NAICS 4-digit -- by ownership sector","All establishment sizes",12,19,19,19,400160,137575,2300,1620,"",1.01,0.13,0.13,0.12,0.14,0.10,0.21,1.14,"",-1,-7.7,-8,-29.6,-8,-29.6,-9,-32.1,-67476,-14.4,-121739,-46.9,-326,-12.4,304,23.1
"01003","5","2131","76","0","2023","2","N","Baldwin County, Alabama","Private","NAICS 2131 Support activities for mining","County, NAICS 4-digit -- by ownership sector","All establishment sizes",12,0,0,0,0,0,0,0,"N",1.00,0,0,0,0,0,0,0,"N",-1,-7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","2131","76","0","2023","3","N","Baldwin County, Alabama","Private","NAICS 2131 Support activities for mining","County, NAICS 4-digit -- by ownership sector","All establishment sizes",13,0,0,0,0,0,0,0,"N",1.07,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","2131","76","0","2023","1","N","Bibb County, Alabama","Private","NAICS 2131 Support activities for mining","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.64,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","2131","76","0","2023","2","N","Bibb County, Alabama","Private","NAICS 2131 Support activities for mining","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.61,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","2131","76","0","2023","3","N","Bibb County, Alabama","Private","NAICS 2131 Support activities for mining","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.59,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","2131","76","0","2023","1","N","Blount County, Alabama","Private","NAICS 2131 Support activities for mining","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.74,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
