"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","1","2211","56","0","2023","1","","Alabama -- Statewide","Federal Government","NAICS 2211 Electric power generation, transmission and distribution","State, NAICS 4-digit -- by ownership sector","All establishment sizes",20,1498,1500,1497,59509720,0,0,3055,"",7.53,10.17,10.07,10.04,14.72,0.00,0.00,1.46,"",0,0.0,-17,-1.1,-2,-0.1,-5,-0.3,767099,1.3,0,0.0,0,0.0,55,1.8
"01000","1","2211","56","0","2023","2","","Alabama -- Statewide","Federal Government","NAICS 2211 Electric power generation, transmission and distribution","State, NAICS 4-digit -- by ownership sector","All establishment sizes",21,1498,1499,1514,47992464,0,0,2455,"",7.84,10.05,10.10,9.99,12.07,0.00,0.00,1.20,"",0,0.0,-8,-0.5,-3,-0.2,6,0.4,562783,1.2,0,0.0,0,0.0,31,1.3
"01000","1","2211","56","0","2023","3","","Alabama -- Statewide","Federal Government","NAICS 2211 Electric power generation, transmission and distribution","State, NAICS 4-digit -- by ownership sector","All establishment sizes",20,1514,1517,1511,53026669,0,0,2694,"",7.48,9.91,9.91,9.87,12.46,0.00,0.00,1.26,"",0,0.0,16,1.1,22,1.5,3,0.2,2637399,5.2,0,0.0,0,0.0,111,4.3
"01000","3","2211","56","0","2023","1","","Alabama -- Statewide","Local Government","NAICS 2211 Electric power generation, transmission and distribution","State, NAICS 4-digit -- by ownership sector","All establishment sizes",33,2379,2374,2404,47460541,0,0,1530,"",2.70,2.27,2.25,2.28,2.04,0.00,0.00,0.90,"",0,0.0,75,3.3,55,2.4,81,3.5,5240911,12.4,0,0.0,0,0.0,127,9.1
"01000","3","2211","56","0","2023","2","","Alabama -- Statewide","Local Government","NAICS 2211 Electric power generation, transmission and distribution","State, NAICS 4-digit -- by ownership sector","All establishment sizes",33,2408,2415,2433,46658132,0,0,1484,"",2.71,2.28,2.28,2.27,1.86,0.00,0.00,0.82,"",0,0.0,74,3.2,80,3.4,62,2.6,5742048,14.0,0,0.0,0,0.0,143,10.7
"01000","3","2211","56","0","2023","3","","Alabama -- Statewide","Local Government","NAICS 2211 Electric power generation, transmission and distribution","State, NAICS 4-digit -- by ownership sector","All establishment sizes",33,2447,2449,2449,49342844,0,0,1550,"",2.72,2.26,2.27,2.28,1.96,0.00,0.00,0.86,"",0,0.0,54,2.3,60,2.5,63,2.6,3130362,6.8,0,0.0,0,0.0,62,4.2
"01000","5","2211","56","0","2023","1","","Alabama -- Statewide","Private","NAICS 2211 Electric power generation, transmission and distribution","State, NAICS 4-digit -- by ownership sector","All establishment sizes",284,10760,11153,10804,574134785,96599548,270348,4050,"",1.63,2.02,2.07,2.00,3.30,1.83,1.46,1.63,"",17,6.4,276,2.6,649,6.2,305,2.9,21495562,3.9,8717243,9.9,-376032,-58.2,0,0.0
"01000","5","2211","56","0","2023","2","","Alabama -- Statewide","Private","NAICS 2211 Electric power generation, transmission and distribution","State, NAICS 4-digit -- by ownership sector","All establishment sizes",290,10781,10793,10880,323854361,4265068,22786,2303,"",1.63,2.00,2.00,1.99,2.31,0.79,0.90,1.16,"",21,7.8,273,2.6,249,2.4,362,3.4,51366793,18.9,1146705,36.8,-13334,-36.9,311,15.6
"01000","5","2211","56","0","2023","3","","Alabama -- Statewide","Private","NAICS 2211 Electric power generation, transmission and distribution","State, NAICS 4-digit -- by ownership sector","All establishment sizes",294,10828,10830,10704,288663297,2652185,8371,2058,"",1.63,1.96,1.97,1.95,2.04,1.01,0.52,1.04,"",20,7.3,272,2.6,240,2.3,128,1.2,-20084608,-6.5,-999212,-27.4,-23462,-73.7,-188,-8.4
"01001","5","2211","76","0","2023","1","N","Autauga County, Alabama","Private","NAICS 2211 Electric power generation, transmission and distribution","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",3.37,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","2211","76","0","2023","2","N","Autauga County, Alabama","Private","NAICS 2211 Electric power generation, transmission and distribution","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",3.31,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","2211","76","0","2023","3","N","Autauga County, Alabama","Private","NAICS 2211 Electric power generation, transmission and distribution","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",3.23,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","3","2211","76","0","2023","1","","Baldwin County, Alabama","Local Government","NAICS 2211 Electric power generation, transmission and distribution","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,285,288,287,5212559,0,0,1399,"",9.30,7.01,7.00,6.86,7.22,0.00,0.00,1.04,"",0,0.0,21,8.0,16,5.9,18,6.7,597208,12.9,0,0.0,0,0.0,76,5.7
"01003","3","2211","76","0","2023","2","","Baldwin County, Alabama","Local Government","NAICS 2211 Electric power generation, transmission and distribution","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,289,291,302,4576511,0,0,1197,"",9.30,6.85,6.81,6.84,5.53,0.00,0.00,0.81,"",0,0.0,20,7.4,23,8.6,26,9.4,356677,8.5,0,0.0,0,0.0,-1,-0.1
"01003","3","2211","76","0","2023","3","","Baldwin County, Alabama","Local Government","NAICS 2211 Electric power generation, transmission and distribution","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,296,287,284,5588700,0,0,1488,"",9.28,6.67,6.53,6.64,6.49,0.00,0.00,0.98,"",0,0.0,14,5.0,15,5.5,4,1.4,631167,12.7,0,0.0,0,0.0,116,8.5
"01003","5","2211","76","0","2023","1","N","Baldwin County, Alabama","Private","NAICS 2211 Electric power generation, transmission and distribution","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,0,"N",0.55,0,0,0,0,0,0,0,"N",1,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","2211","76","0","2023","2","N","Baldwin County, Alabama","Private","NAICS 2211 Electric power generation, transmission and distribution","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,0,"N",0.53,0,0,0,0,0,0,0,"N",1,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
