"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","221115","58","0","2023","1","","Alabama -- Statewide","Private","NAICS 221115 Wind electric power generation","State, NAICS 6-digit -- by ownership sector","All establishment sizes",8,12,12,12,559813,96000,2192,3589,"",0.98,0.10,0.10,0.10,0.15,0.08,0.31,1.57,"",2,33.3,6,100.0,7,140.0,6,100.0,347999,164.3,40000,71.4,680,45.0,714,24.8
"01000","5","221115","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 221115 Wind electric power generation","State, NAICS 6-digit -- by ownership sector","All establishment sizes",8,12,12,14,689568,13785,372,4188,"",0.95,0.09,0.09,0.11,0.20,0.07,0.29,2.07,"",1,14.3,6,100.0,5,71.4,6,75.0,424225,159.9,-2215,-13.8,-60,-13.9,1272,43.6
"01000","5","221115","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 221115 Wind electric power generation","State, NAICS 6-digit -- by ownership sector","All establishment sizes",8,14,14,14,509049,2215,60,2797,"",0.93,0.10,0.10,0.10,0.16,0.02,0.05,1.58,"",1,14.3,8,133.3,6,75.0,7,100.0,273215,115.9,-14776,-87.0,-398,-86.9,205,7.9
"01071","5","221115","78","0","2023","1","N","Jackson County, Alabama","Private","NAICS 221115 Wind electric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",16.12,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01071","5","221115","78","0","2023","2","N","Jackson County, Alabama","Private","NAICS 221115 Wind electric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",15.71,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01071","5","221115","78","0","2023","3","N","Jackson County, Alabama","Private","NAICS 221115 Wind electric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",15.37,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01073","5","221115","78","0","2023","1","","Jefferson County, Alabama","Private","NAICS 221115 Wind electric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,6,6,6,271392,48000,1096,3479,"",2.55,0.28,0.28,0.27,0.35,0.22,0.92,1.27,"N",2,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01073","5","221115","78","0","2023","2","","Jefferson County, Alabama","Private","NAICS 221115 Wind electric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,6,6,7,433641,5785,156,5267,"",2.49,0.27,0.27,0.30,0.64,0.18,0.78,2.28,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01073","5","221115","78","0","2023","3","","Jefferson County, Alabama","Private","NAICS 221115 Wind electric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,7,7,7,283943,2215,60,3120,"",2.42,0.30,0.30,0.29,0.46,0.10,0.31,1.55,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01089","5","221115","78","0","2023","1","N","Madison County, Alabama","Private","NAICS 221115 Wind electric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",2.95,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01089","5","221115","78","0","2023","2","N","Madison County, Alabama","Private","NAICS 221115 Wind electric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",2.87,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01089","5","221115","78","0","2023","3","N","Madison County, Alabama","Private","NAICS 221115 Wind electric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",2.78,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01103","5","221115","78","0","2023","1","N","Morgan County, Alabama","Private","NAICS 221115 Wind electric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",5.90,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01103","5","221115","78","0","2023","2","N","Morgan County, Alabama","Private","NAICS 221115 Wind electric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",5.73,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01103","5","221115","78","0","2023","3","N","Morgan County, Alabama","Private","NAICS 221115 Wind electric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",5.60,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01999","5","221115","78","0","2023","1","N","Unknown Or Undefined, Alabama","Private","NAICS 221115 Wind electric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.94,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01999","5","221115","78","0","2023","2","N","Unknown Or Undefined, Alabama","Private","NAICS 221115 Wind electric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.93,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01999","5","221115","78","0","2023","3","N","Unknown Or Undefined, Alabama","Private","NAICS 221115 Wind electric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.90,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02000","5","221115","58","0","2023","1","N","Alaska -- Statewide","Private","NAICS 221115 Wind electric power generation","State, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.51,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
