"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","3","2212","56","0","2023","1","","Alabama -- Statewide","Local Government","NAICS 2212 Natural gas distribution","State, NAICS 4-digit -- by ownership sector","All establishment sizes",46,974,973,977,15751297,1073588,3059,1243,"",17.15,10.58,10.51,10.57,12.72,7.21,19.76,1.20,"",0,0.0,4,0.4,10,1.0,14,1.5,1947493,14.1,20982,2.0,-4309,-58.5,143,13.0
"01000","3","2212","56","0","2023","2","","Alabama -- Statewide","Local Government","NAICS 2212 Natural gas distribution","State, NAICS 4-digit -- by ownership sector","All establishment sizes",46,977,976,991,15412500,78099,156,1208,"",17.01,10.57,10.57,10.61,11.91,5.11,12.99,1.13,"",0,0.0,10,1.0,10,1.0,6,0.6,715306,4.9,-1861,-2.3,-405,-72.2,46,4.0
"01000","3","2212","56","0","2023","3","","Alabama -- Statewide","Local Government","NAICS 2212 Natural gas distribution","State, NAICS 4-digit -- by ownership sector","All establishment sizes",46,983,978,972,16166645,81241,162,1272,"",17.03,10.73,10.75,10.73,12.39,6.99,14.60,1.15,"",0,0.0,3,0.3,12,1.2,11,1.1,922508,6.1,11457,16.4,-327,-66.9,62,5.1
"01000","5","2212","56","0","2023","1","","Alabama -- Statewide","Private","NAICS 2212 Natural gas distribution","State, NAICS 4-digit -- by ownership sector","All establishment sizes",60,1409,1406,1410,27750046,11311341,58328,1516,"",1.43,0.92,0.91,0.92,0.54,0.81,1.00,0.58,"",3,5.3,-38,-2.6,-24,-1.7,1,0.1,358628,1.3,-320878,-2.8,-34606,-37.2,41,2.8
"01000","5","2212","56","0","2023","2","","Alabama -- Statewide","Private","NAICS 2212 Natural gas distribution","State, NAICS 4-digit -- by ownership sector","All establishment sizes",61,1402,1399,1407,29327698,338337,2772,1608,"",1.41,0.92,0.91,0.91,0.71,0.25,0.47,0.78,"",6,10.9,0,0.0,-5,-0.4,-6,-0.4,3130550,11.9,-33677,-9.1,-709,-20.4,175,12.2
"01000","5","2212","56","0","2023","3","","Alabama -- Statewide","Private","NAICS 2212 Natural gas distribution","State, NAICS 4-digit -- by ownership sector","All establishment sizes",62,1377,1382,1372,26748526,262160,1744,1494,"",1.42,0.88,0.89,0.88,0.69,0.40,0.42,0.78,"",5,8.8,-135,-8.9,-163,-10.6,-220,-13.8,-3496359,-11.6,-343007,-56.7,-3616,-67.5,-7,-0.5
"01003","3","2212","76","0","2023","1","N","Baldwin County, Alabama","Local Government","NAICS 2212 Natural gas distribution","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",14.15,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","3","2212","76","0","2023","2","N","Baldwin County, Alabama","Local Government","NAICS 2212 Natural gas distribution","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",13.96,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","3","2212","76","0","2023","3","N","Baldwin County, Alabama","Local Government","NAICS 2212 Natural gas distribution","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",13.88,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","2212","76","0","2023","1","N","Barbour County, Alabama","Private","NAICS 2212 Natural gas distribution","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",6.24,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","2212","76","0","2023","2","N","Barbour County, Alabama","Private","NAICS 2212 Natural gas distribution","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",6.02,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","2212","76","0","2023","3","N","Barbour County, Alabama","Private","NAICS 2212 Natural gas distribution","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",6.08,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","3","2212","76","0","2023","1","N","Blount County, Alabama","Local Government","NAICS 2212 Natural gas distribution","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",62.17,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","3","2212","76","0","2023","2","N","Blount County, Alabama","Local Government","NAICS 2212 Natural gas distribution","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",62.27,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","3","2212","76","0","2023","3","N","Blount County, Alabama","Local Government","NAICS 2212 Natural gas distribution","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",62.44,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01011","3","2212","76","0","2023","1","N","Bullock County, Alabama","Local Government","NAICS 2212 Natural gas distribution","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",273.23,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
