"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","3","22132","57","0","2023","1","","Alabama -- Statewide","Local Government","NAICS 22132 Sewage treatment facilities","State, NAICS 5-digit -- by ownership sector","All establishment sizes",9,48,48,48,740852,55800,112,1187,"",0.30,0.07,0.07,0.07,0.07,0.06,0.05,0.97,"",1,12.5,1,2.1,0,0.0,0,0.0,15790,2.2,600,1.1,-274,-71.0,17,1.5
"01000","3","22132","57","0","2023","2","","Alabama -- Statewide","Local Government","NAICS 22132 Sewage treatment facilities","State, NAICS 5-digit -- by ownership sector","All establishment sizes",9,49,49,49,717909,200,0,1127,"",0.30,0.07,0.07,0.07,0.06,0.00,0.00,0.91,"",0,0.0,-1,-2.0,0,0.0,2,4.3,41363,6.1,-600,-75.0,-6,-100.0,58,5.4
"01000","3","22132","57","0","2023","3","","Alabama -- Statewide","Local Government","NAICS 22132 Sewage treatment facilities","State, NAICS 5-digit -- by ownership sector","All establishment sizes",9,50,50,50,781374,0,0,1202,"",0.30,0.07,0.07,0.07,0.06,0.00,0.00,0.92,"",0,0.0,0,0.0,1,2.0,1,2.0,2217,0.3,0,0.0,0,0.0,-13,-1.1
"01000","5","22132","57","0","2023","1","N","Alabama -- Statewide","Private","NAICS 22132 Sewage treatment facilities","State, NAICS 5-digit -- by ownership sector","All establishment sizes",16,0,0,0,0,0,0,0,"N",1.67,0,0,0,0,0,0,0,"N",1,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","22132","57","0","2023","2","N","Alabama -- Statewide","Private","NAICS 22132 Sewage treatment facilities","State, NAICS 5-digit -- by ownership sector","All establishment sizes",15,0,0,0,0,0,0,0,"N",1.56,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","22132","57","0","2023","3","N","Alabama -- Statewide","Private","NAICS 22132 Sewage treatment facilities","State, NAICS 5-digit -- by ownership sector","All establishment sizes",15,0,0,0,0,0,0,0,"N",1.54,0,0,0,0,0,0,0,"N",-3,-16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","22132","77","0","2023","1","N","Baldwin County, Alabama","Private","NAICS 22132 Sewage treatment facilities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.99,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","22132","77","0","2023","2","N","Baldwin County, Alabama","Private","NAICS 22132 Sewage treatment facilities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.96,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","22132","77","0","2023","3","N","Baldwin County, Alabama","Private","NAICS 22132 Sewage treatment facilities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.93,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01045","3","22132","77","0","2023","1","N","Dale County, Alabama","Local Government","NAICS 22132 Sewage treatment facilities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",4.71,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
