"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","23814","57","0","2023","1","","Alabama -- Statewide","Private","NAICS 23814 Masonry contractors","State, NAICS 5-digit -- by ownership sector","All establishment sizes",174,1107,1166,1228,17572842,8937131,147578,1158,"",0.67,0.63,0.65,0.67,0.88,0.68,0.99,1.35,"",-8,-4.4,129,13.2,168,16.8,180,17.2,3306088,23.2,329519,3.8,-128902,-46.6,69,6.3
"01000","5","23814","57","0","2023","2","","Alabama -- Statewide","Private","NAICS 23814 Masonry contractors","State, NAICS 5-digit -- by ownership sector","All establishment sizes",175,1227,1213,1214,18637292,2472634,42584,1177,"",0.67,0.64,0.62,0.61,0.77,0.56,0.57,1.24,"",1,0.6,235,23.7,205,20.3,208,20.7,4344815,30.4,-134862,-5.2,-52264,-55.1,80,7.3
"01000","5","23814","57","0","2023","3","","Alabama -- Statewide","Private","NAICS 23814 Masonry contractors","State, NAICS 5-digit -- by ownership sector","All establishment sizes",179,1052,1125,1145,17290583,1517800,28421,1201,"",0.68,0.53,0.57,0.58,0.69,0.46,0.55,1.23,"",6,3.5,42,4.2,150,15.4,92,8.7,892466,5.4,45159,3.1,-22371,-44.0,-45,-3.6
"01003","5","23814","77","0","2023","1","","Baldwin County, Alabama","Private","NAICS 23814 Masonry contractors","County, NAICS 5-digit -- by ownership sector","All establishment sizes",22,56,56,48,427381,307827,1953,616,"",1.61,0.82,0.80,0.66,0.69,0.59,0.34,0.90,"",1,4.8,-9,-13.8,-8,-12.5,-19,-28.4,-101209,-19.1,-110100,-26.3,-3094,-61.3,-6,-1.0
"01003","5","23814","77","0","2023","2","","Baldwin County, Alabama","Private","NAICS 23814 Masonry contractors","County, NAICS 5-digit -- by ownership sector","All establishment sizes",22,52,51,58,414163,101022,629,594,"",1.58,0.68,0.65,0.70,0.52,0.46,0.19,0.77,"",2,10.0,-12,-18.8,-3,-5.6,6,11.5,-104225,-20.1,-45430,-31.0,-1215,-65.9,-110,-15.6
"01003","5","23814","77","0","2023","3","","Baldwin County, Alabama","Private","NAICS 23814 Masonry contractors","County, NAICS 5-digit -- by ownership sector","All establishment sizes",22,51,55,54,473370,85474,438,683,"",1.57,0.62,0.68,0.69,0.55,0.52,0.19,0.83,"",2,10.0,0,0.0,4,7.8,3,5.9,59281,14.3,19750,30.0,-752,-63.2,58,9.3
"01009","5","23814","77","0","2023","1","","Blount County, Alabama","Private","NAICS 23814 Masonry contractors","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,55,63,61,930285,484333,2628,1199,"",3.86,7.30,8.21,7.83,15.51,10.27,5.79,1.99,"",0,0.0,-2,-3.5,4,6.8,3,5.2,73769,8.6,28405,6.2,-5280,-66.8,63,5.5
"01009","5","23814","77","0","2023","2","","Blount County, Alabama","Private","NAICS 23814 Masonry contractors","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,66,64,65,1009224,53658,739,1194,"",3.86,7.97,7.56,7.53,13.20,2.99,2.87,1.72,"",0,0.0,8,13.8,6,10.3,9,16.1,153307,17.9,4240,8.6,-441,-37.4,46,4.0
"01009","5","23814","77","0","2023","3","","Blount County, Alabama","Private","NAICS 23814 Masonry contractors","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,63,65,62,1026980,39631,105,1247,"",3.85,7.47,7.75,7.43,12.85,3.35,0.71,1.70,"",0,0.0,7,12.5,9,16.1,4,6.9,116135,12.8,15161,62.0,-66,-38.6,11,0.9
"01015","5","23814","77","0","2023","1","","Calhoun County, Alabama","Private","NAICS 23814 Masonry contractors","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,8,8,8,51920,48229,179,499,"",0.86,0.21,0.21,0.21,0.14,0.20,0.07,0.68,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","23814","77","0","2023","2","","Calhoun County, Alabama","Private","NAICS 23814 Masonry contractors","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,8,8,8,66396,18597,138,638,"",0.85,0.20,0.19,0.19,0.15,0.21,0.10,0.80,"",0,0.0,2,33.3,1,14.3,-1,-11.1,19096,40.4,-18409,-49.7,-239,-63.4,142,28.6
"01015","5","23814","77","0","2023","3","","Calhoun County, Alabama","Private","NAICS 23814 Masonry contractors","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,8,8,8,60619,12284,41,583,"",0.86,0.19,0.19,0.19,0.14,0.19,0.04,0.74,"",0,0.0,0,0.0,0,0.0,1,14.3,-9453,-13.5,-1866,-13.2,-135,-76.7,-120,-17.1
"01017","5","23814","77","0","2023","1","N","Chambers County, Alabama","Private","NAICS 23814 Masonry contractors","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.78,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
