"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","238171","58","0","2023","1","","Alabama -- Statewide","Private","NAICS 238171 Residential siding contractors","State, NAICS 6-digit -- by ownership sector","All establishment sizes",83,253,255,261,2965986,1812972,10424,890,"",0.79,0.54,0.54,0.55,0.61,0.53,0.48,1.12,"",1,1.2,-28,-10.0,-35,-12.1,-26,-9.1,16801,0.6,-153103,-7.8,-18846,-64.4,97,12.2
"01000","5","238171","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 238171 Residential siding contractors","State, NAICS 6-digit -- by ownership sector","All establishment sizes",82,249,254,265,3723169,488046,3813,1119,"",0.76,0.50,0.50,0.51,0.63,0.38,0.32,1.25,"",1,1.2,-36,-12.6,-25,-9.0,-14,-5.0,284480,8.3,-5146,-1.0,-4410,-53.6,178,18.9
"01000","5","238171","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 238171 Residential siding contractors","State, NAICS 6-digit -- by ownership sector","All establishment sizes",86,247,266,257,3951862,303324,2710,1184,"",0.79,0.47,0.51,0.50,0.63,0.29,0.30,1.27,"",4,4.9,-26,-9.5,-5,-1.8,-12,-4.5,292454,8.0,15478,5.4,-2874,-51.5,145,14.0
"01003","5","238171","78","0","2023","1","","Baldwin County, Alabama","Private","NAICS 238171 Residential siding contractors","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,22,22,22,482334,173644,747,1686,"",1.08,1.21,1.20,1.17,3.18,1.29,0.91,2.67,"",0,0.0,-2,-8.3,-2,-8.3,-4,-15.4,84847,21.3,-17264,-9.0,-714,-48.9,446,36.0
"01003","5","238171","78","0","2023","2","","Baldwin County, Alabama","Private","NAICS 238171 Residential siding contractors","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,23,22,22,522064,19597,39,1798,"",1.06,1.15,1.08,1.02,2.67,0.31,0.07,2.47,"",0,0.0,-5,-17.9,-5,-18.5,-5,-18.5,64713,14.1,-10394,-34.7,-366,-90.4,511,39.7
"01003","5","238171","78","0","2023","3","","Baldwin County, Alabama","Private","NAICS 238171 Residential siding contractors","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,24,25,25,524380,29923,89,1635,"",1.21,1.12,1.18,1.21,2.44,0.58,0.21,2.08,"",1,16.7,0,0.0,1,4.2,0,0.0,45820,9.6,15703,110.4,-11,-11.0,122,8.1
"01009","5","238171","78","0","2023","1","N","Blount County, Alabama","Private","NAICS 238171 Residential siding contractors","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.58,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","238171","78","0","2023","2","N","Blount County, Alabama","Private","NAICS 238171 Residential siding contractors","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.57,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","238171","78","0","2023","3","N","Blount County, Alabama","Private","NAICS 238171 Residential siding contractors","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.55,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","238171","78","0","2023","1","N","Calhoun County, Alabama","Private","NAICS 238171 Residential siding contractors","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.06,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
