"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","2382","56","0","2023","1","","Alabama -- Statewide","Private","NAICS 2382 Building equipment contractors","State, NAICS 4-digit -- by ownership sector","All establishment sizes",3611,33499,33562,33786,512477814,264479100,1841029,1173,"",1.22,1.03,1.03,1.03,1.06,0.99,0.80,1.03,"",130,3.7,635,1.9,191,0.6,107,0.3,53020867,11.5,3979894,1.5,-1945092,-51.4,112,10.6
"01000","5","2382","56","0","2023","2","","Alabama -- Statewide","Private","NAICS 2382 Building equipment contractors","State, NAICS 4-digit -- by ownership sector","All establishment sizes",3662,33955,33796,34344,517368407,45818975,417532,1169,"",1.21,1.03,1.02,1.02,1.01,0.77,0.66,0.98,"",170,4.9,126,0.4,-116,-0.3,218,0.6,23020498,4.7,-7458440,-14.0,-472623,-53.1,49,4.4
"01000","5","2382","56","0","2023","3","","Alabama -- Statewide","Private","NAICS 2382 Building equipment contractors","State, NAICS 4-digit -- by ownership sector","All establishment sizes",3708,34577,34563,34821,547797231,42899546,438816,1216,"",1.22,1.02,1.02,1.04,1.02,0.99,0.92,0.99,"",166,4.7,246,0.7,460,1.3,640,1.9,13812225,2.6,-3463902,-7.5,-537997,-55.1,15,1.2
"01001","5","2382","76","0","2023","1","","Autauga County, Alabama","Private","NAICS 2382 Building equipment contractors","County, NAICS 4-digit -- by ownership sector","All establishment sizes",26,140,139,144,1682843,1110026,4618,918,"",1.28,0.76,0.75,0.77,0.75,0.84,0.35,0.99,"",-2,-7.1,3,2.2,0,0.0,1,0.7,174343,11.6,40916,3.8,-11508,-71.4,87,10.5
"01001","5","2382","76","0","2023","2","","Autauga County, Alabama","Private","NAICS 2382 Building equipment contractors","County, NAICS 4-digit -- by ownership sector","All establishment sizes",26,150,151,146,1781086,163909,916,920,"",1.27,0.80,0.80,0.76,0.72,0.48,0.23,0.91,"",1,4.0,3,2.0,7,4.9,5,3.5,154028,9.5,-56863,-25.8,-1849,-66.9,51,5.9
"01001","5","2382","76","0","2023","3","","Autauga County, Alabama","Private","NAICS 2382 Building equipment contractors","County, NAICS 4-digit -- by ownership sector","All establishment sizes",26,146,156,161,1880511,192763,975,937,"",1.25,0.75,0.81,0.84,0.73,0.86,0.38,0.91,"",1,4.0,0,0.0,11,7.6,16,11.0,145105,8.4,54359,39.3,-1234,-55.9,18,2.0
"01003","5","2382","76","0","2023","1","","Baldwin County, Alabama","Private","NAICS 2382 Building equipment contractors","County, NAICS 4-digit -- by ownership sector","All establishment sizes",239,1711,1697,1709,21893049,13005483,75867,987,"",1.53,1.36,1.33,1.32,1.46,1.23,0.87,1.09,"",19,8.6,9,0.5,-48,-2.8,-78,-4.4,876697,4.2,-720827,-5.3,-101490,-57.2,60,6.5
"01003","5","2382","76","0","2023","2","","Baldwin County, Alabama","Private","NAICS 2382 Building equipment contractors","County, NAICS 4-digit -- by ownership sector","All establishment sizes",244,1755,1751,1768,23822372,2664485,21323,1042,"",1.52,1.33,1.32,1.28,1.41,0.89,0.77,1.08,"",21,9.4,17,1.0,-51,-2.8,-49,-2.7,-56153,-0.2,-999370,-27.3,-27585,-56.4,13,1.3
"01003","5","2382","76","0","2023","3","","Baldwin County, Alabama","Private","NAICS 2382 Building equipment contractors","County, NAICS 4-digit -- by ownership sector","All establishment sizes",247,1757,1805,1812,25761539,2659695,22971,1106,"",1.52,1.27,1.32,1.35,1.41,1.25,1.07,1.07,"",21,9.3,-56,-3.1,-4,-0.2,51,2.9,344374,1.4,-287323,-9.7,-15183,-39.8,16,1.5
"01005","5","2382","76","0","2023","1","","Barbour County, Alabama","Private","NAICS 2382 Building equipment contractors","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,28,29,30,213858,177370,1562,567,"",0.62,0.23,0.23,0.24,0.16,0.18,0.23,0.68,"",-1,-12.5,2,7.7,1,3.6,2,7.1,47277,28.4,30377,20.7,136,9.5,98,20.9
"01005","5","2382","76","0","2023","2","","Barbour County, Alabama","Private","NAICS 2382 Building equipment contractors","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,29,30,30,218999,60329,349,568,"",0.60,0.24,0.24,0.24,0.15,0.24,0.10,0.65,"",-1,-12.5,2,7.4,3,11.1,1,3.4,30847,16.4,-20328,-25.2,-856,-71.0,45,8.6
"01005","5","2382","76","0","2023","3","","Barbour County, Alabama","Private","NAICS 2382 Building equipment contractors","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,32,32,32,240642,32260,290,578,"",0.61,0.26,0.26,0.26,0.16,0.20,0.14,0.63,"",-1,-12.5,2,6.7,2,6.7,2,6.7,-14735,-5.8,5839,22.1,-92,-24.1,-77,-11.8
"01007","5","2382","76","0","2023","1","","Bibb County, Alabama","Private","NAICS 2382 Building equipment contractors","County, NAICS 4-digit -- by ownership sector","All establishment sizes",12,50,49,51,575847,366306,3595,886,"",1.49,0.66,0.64,0.67,0.60,0.62,0.61,0.92,"",3,33.3,7,16.3,7,16.7,10,24.4,119272,26.1,54843,17.6,-301,-7.7,50,6.0
"01007","5","2382","76","0","2023","2","","Bibb County, Alabama","Private","NAICS 2382 Building equipment contractors","County, NAICS 4-digit -- by ownership sector","All establishment sizes",12,54,52,55,657082,72627,1648,942,"",1.44,0.72,0.68,0.71,0.65,0.62,1.09,0.93,"",1,9.1,12,28.6,10,23.8,10,22.2,158337,31.7,36398,100.5,1115,209.2,50,5.6
"01007","5","2382","76","0","2023","3","","Bibb County, Alabama","Private","NAICS 2382 Building equipment contractors","County, NAICS 4-digit -- by ownership sector","All establishment sizes",12,53,52,52,631979,33609,348,929,"",1.43,0.69,0.67,0.67,0.60,0.41,0.37,0.89,"",1,9.1,8,17.8,7,15.6,6,13.0,88786,16.3,-3321,-9.0,-512,-59.5,7,0.8
