"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","23821","57","0","2023","1","","Alabama -- Statewide","Private","NAICS 23821 Electrical and wiring contractors","State, NAICS 5-digit -- by ownership sector","All establishment sizes",1458,14576,14696,14731,220311566,115233244,806481,1155,"",1.16,1.05,1.05,1.05,1.05,0.99,0.77,1.00,"",40,2.8,442,3.1,363,2.5,221,1.5,23981547,12.2,2739924,2.4,-820212,-50.4,101,9.6
"01000","5","23821","57","0","2023","2","","Alabama -- Statewide","Private","NAICS 23821 Electrical and wiring contractors","State, NAICS 5-digit -- by ownership sector","All establishment sizes",1488,14626,14586,14825,217855758,19169836,176563,1142,"",1.16,1.04,1.03,1.03,0.98,0.74,0.63,0.95,"",73,5.2,23,0.2,-63,-0.4,135,0.9,10535403,5.1,-3634322,-15.9,-186818,-51.4,53,4.9
"01000","5","23821","57","0","2023","3","","Alabama -- Statewide","Private","NAICS 23821 Electrical and wiring contractors","State, NAICS 5-digit -- by ownership sector","All establishment sizes",1506,15081,15126,15140,228134544,19219326,196500,1161,"",1.17,1.04,1.05,1.05,0.99,1.02,0.90,0.94,"",67,4.7,300,2.0,408,2.8,482,3.3,5602905,2.5,469093,2.5,-114134,-36.7,-2,-0.2
"01001","5","23821","77","0","2023","1","","Autauga County, Alabama","Private","NAICS 23821 Electrical and wiring contractors","County, NAICS 5-digit -- by ownership sector","All establishment sizes",12,106,105,108,1278184,843209,3264,925,"",1.40,1.34,1.31,1.34,1.31,1.47,0.54,0.99,"",-2,-14.3,3,2.9,5,5.0,4,3.8,154498,13.7,60344,7.7,-6876,-67.8,80,9.5
"01001","5","23821","77","0","2023","2","","Autauga County, Alabama","Private","NAICS 23821 Electrical and wiring contractors","County, NAICS 5-digit -- by ownership sector","All establishment sizes",12,115,117,112,1383605,140100,867,928,"",1.38,1.43,1.45,1.36,1.29,0.95,0.49,0.91,"",0,0.0,7,6.5,9,8.3,8,7.7,172680,14.3,-35219,-20.1,-1499,-63.4,55,6.3
"01001","5","23821","77","0","2023","3","","Autauga County, Alabama","Private","NAICS 23821 Electrical and wiring contractors","County, NAICS 5-digit -- by ownership sector","All establishment sizes",12,112,120,125,1450590,165081,796,938,"",1.36,1.35,1.46,1.52,1.31,1.69,0.67,0.91,"",0,0.0,4,3.7,13,12.1,17,15.7,178436,14.0,57355,53.2,-318,-28.5,29,3.2
"01003","5","23821","77","0","2023","1","","Baldwin County, Alabama","Private","NAICS 23821 Electrical and wiring contractors","County, NAICS 5-digit -- by ownership sector","All establishment sizes",89,632,621,628,7960531,4564981,31578,977,"",1.34,1.17,1.14,1.13,1.22,1.00,0.79,1.07,"",5,6.0,-2,-0.3,-28,-4.3,-39,-5.8,497473,6.7,-150544,-3.2,-28171,-47.1,94,10.6
"01003","5","23821","77","0","2023","2","","Baldwin County, Alabama","Private","NAICS 23821 Electrical and wiring contractors","County, NAICS 5-digit -- by ownership sector","All establishment sizes",93,652,654,670,8302344,793375,8195,970,"",1.37,1.16,1.15,1.14,1.14,0.61,0.66,0.99,"",8,9.4,-8,-1.2,-18,-2.7,-20,-2.9,-406356,-4.7,-683745,-46.3,-10769,-56.8,-24,-2.4
"01003","5","23821","77","0","2023","3","","Baldwin County, Alabama","Private","NAICS 23821 Electrical and wiring contractors","County, NAICS 5-digit -- by ownership sector","All establishment sizes",93,670,676,673,8767996,787217,8258,1002,"",1.35,1.13,1.15,1.17,1.11,0.84,0.84,0.96,"",7,8.1,-12,-1.8,-2,-0.3,41,6.5,-78341,-0.9,-308626,-28.2,-4866,-37.1,-23,-2.2
"01005","5","23821","77","0","2023","1","N","Barbour County, Alabama","Private","NAICS 23821 Electrical and wiring contractors","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.21,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
