"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","238211","58","0","2023","1","","Alabama -- Statewide","Private","NAICS 238211 Residential electrical contractors","State, NAICS 6-digit -- by ownership sector","All establishment sizes",571,3407,3406,3423,41018430,25988547,145886,925,"",0.75,0.72,0.71,0.72,0.69,0.72,0.62,0.97,"",28,5.2,228,7.2,171,5.3,197,6.1,7201238,21.3,2257769,9.5,-115051,-44.1,115,14.2
"01000","5","238211","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 238211 Residential electrical contractors","State, NAICS 6-digit -- by ownership sector","All establishment sizes",582,3489,3527,3577,42241412,5226431,41790,920,"",0.75,0.73,0.73,0.74,0.66,0.56,0.57,0.90,"",38,7.0,171,5.2,211,6.4,221,6.6,4177169,11.0,-668400,-11.3,-33647,-44.6,41,4.7
"01000","5","238211","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 238211 Residential electrical contractors","State, NAICS 6-digit -- by ownership sector","All establishment sizes",593,3551,3597,3595,44042499,5142987,50331,946,"",0.76,0.73,0.74,0.74,0.67,0.72,0.86,0.91,"",36,6.5,178,5.3,192,5.6,201,5.9,2367751,5.7,430228,9.1,-11391,-18.5,1,0.1
"01001","5","238211","78","0","2023","1","","Autauga County, Alabama","Private","NAICS 238211 Residential electrical contractors","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,42,41,42,477427,330617,661,881,"",1.16,1.55,1.51,1.54,1.74,1.85,0.48,1.14,"",-2,-25.0,-5,-10.6,-4,-8.9,-2,-4.5,-11639,-2.4,-19847,-5.7,-1792,-73.1,51,6.1
"01001","5","238211","78","0","2023","2","","Autauga County, Alabama","Private","NAICS 238211 Residential electrical contractors","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,44,44,43,474256,35262,199,835,"",1.14,1.61,1.60,1.54,1.53,0.67,0.44,0.96,"",-1,-14.3,-1,-2.2,-1,-2.2,0,0.0,5125,1.1,-30343,-46.3,-339,-63.0,21,2.6
"01001","5","238211","78","0","2023","3","","Autauga County, Alabama","Private","NAICS 238211 Residential electrical contractors","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,38,45,44,499379,69458,210,907,"",1.12,1.36,1.62,1.60,1.58,1.88,0.66,1.04,"",-1,-14.3,-8,-17.4,2,4.7,-2,-4.3,-9222,-1.8,5174,8.0,-268,-56.1,38,4.4
"01003","5","238211","78","0","2023","1","","Baldwin County, Alabama","Private","NAICS 238211 Residential electrical contractors","County, NAICS 6-digit -- by ownership sector","All establishment sizes",55,336,340,335,3969599,2494896,15613,906,"",1.37,1.82,1.83,1.77,2.16,1.75,1.73,1.20,"",3,5.8,19,6.0,18,5.6,13,4.0,818485,26.0,179103,7.7,-9039,-36.7,149,19.7
"01003","5","238211","78","0","2023","2","","Baldwin County, Alabama","Private","NAICS 238211 Residential electrical contractors","County, NAICS 6-digit -- by ownership sector","All establishment sizes",58,356,363,367,4144312,515884,4351,881,"",1.41,1.86,1.88,1.83,1.97,1.11,1.35,1.06,"",6,11.5,38,11.9,33,10.0,25,7.3,421977,11.3,-155604,-23.2,-2705,-38.3,13,1.5
"01003","5","238211","78","0","2023","3","","Baldwin County, Alabama","Private","NAICS 238211 Residential electrical contractors","County, NAICS 6-digit -- by ownership sector","All establishment sizes",59,358,363,363,4394087,400140,3037,935,"",1.41,1.79,1.83,1.88,1.96,1.14,1.15,1.07,"",6,11.3,14,4.1,7,2.0,23,6.8,370941,9.2,-249033,-38.4,-4330,-58.8,42,4.7
"01005","5","238211","78","0","2023","1","N","Barbour County, Alabama","Private","NAICS 238211 Residential electrical contractors","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.35,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
