"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","23822","57","0","2023","1","","Alabama -- Statewide","Private","NAICS 23822 Plumbing and hvac contractors","State, NAICS 5-digit -- by ownership sector","All establishment sizes",1934,16819,16830,16981,250499375,132031354,861235,1142,"",1.24,1.02,1.02,1.02,1.07,0.99,0.80,1.05,"",85,4.6,380,2.3,250,1.5,282,1.7,31062678,14.2,4858048,3.8,-909374,-51.4,123,12.1
"01000","5","23822","57","0","2023","2","","Alabama -- Statewide","Private","NAICS 23822 Plumbing and hvac contractors","State, NAICS 5-digit -- by ownership sector","All establishment sizes",1949,17095,17201,17510,261858207,23526266,199430,1166,"",1.23,1.02,1.02,1.02,1.04,0.78,0.65,1.02,"",89,4.8,267,1.6,235,1.4,393,2.3,16362073,6.7,-2076517,-8.1,-232576,-53.8,53,4.8
"01000","5","23822","57","0","2023","3","","Alabama -- Statewide","Private","NAICS 23822 Plumbing and hvac contractors","State, NAICS 5-digit -- by ownership sector","All establishment sizes",1974,17476,17399,17484,278083896,20515388,190970,1226,"",1.24,1.01,1.01,1.02,1.05,0.94,0.84,1.03,"",87,4.6,193,1.1,166,1.0,215,1.2,8387711,3.1,-4200092,-17.0,-405976,-68.0,24,2.0
"01001","5","23822","77","0","2023","1","N","Autauga County, Alabama","Private","NAICS 23822 Plumbing and hvac contractors","County, NAICS 5-digit -- by ownership sector","All establishment sizes",12,0,0,0,0,0,0,0,"N",1.13,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","23822","77","0","2023","2","N","Autauga County, Alabama","Private","NAICS 23822 Plumbing and hvac contractors","County, NAICS 5-digit -- by ownership sector","All establishment sizes",12,0,0,0,0,0,0,0,"N",1.12,0,0,0,0,0,0,0,"N",1,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","23822","77","0","2023","3","N","Autauga County, Alabama","Private","NAICS 23822 Plumbing and hvac contractors","County, NAICS 5-digit -- by ownership sector","All establishment sizes",12,0,0,0,0,0,0,0,"N",1.10,0,0,0,0,0,0,0,"N",1,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","23822","77","0","2023","1","","Baldwin County, Alabama","Private","NAICS 23822 Plumbing and hvac contractors","County, NAICS 5-digit -- by ownership sector","All establishment sizes",140,1026,1022,1026,13193272,8024721,43456,990,"",1.71,1.60,1.58,1.56,1.81,1.52,1.05,1.14,"",13,10.2,40,4.1,11,1.1,-9,-0.9,1125443,9.3,131612,1.7,-54933,-55.8,72,7.8
"01003","5","23822","77","0","2023","2","","Baldwin County, Alabama","Private","NAICS 23822 Plumbing and hvac contractors","County, NAICS 5-digit -- by ownership sector","All establishment sizes",140,1045,1039,1039,14728802,1811982,12265,1088,"",1.67,1.56,1.53,1.47,1.77,1.19,0.91,1.17,"",10,7.7,11,1.1,-50,-4.6,-44,-4.1,124430,0.9,-333829,-15.6,-17376,-58.6,37,3.5
"01003","5","23822","77","0","2023","3","","Baldwin County, Alabama","Private","NAICS 23822 Plumbing and hvac contractors","County, NAICS 5-digit -- by ownership sector","All establishment sizes",142,1032,1075,1081,16245675,1831949,14358,1176,"",1.68,1.46,1.53,1.58,1.79,1.70,1.41,1.17,"",10,7.6,-53,-4.9,-8,-0.7,0,0.0,343071,2.2,50705,2.8,-10170,-41.5,46,4.1
"01005","5","23822","77","0","2023","1","N","Barbour County, Alabama","Private","NAICS 23822 Plumbing and hvac contractors","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,0,0,0,0,0,0,0,"N",1.01,0,0,0,0,0,0,0,"N",-1,-14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","23822","77","0","2023","2","N","Barbour County, Alabama","Private","NAICS 23822 Plumbing and hvac contractors","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,0,0,0,0,0,0,0,"N",0.99,0,0,0,0,0,0,0,"N",-1,-14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","23822","77","0","2023","3","N","Barbour County, Alabama","Private","NAICS 23822 Plumbing and hvac contractors","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,0,0,0,0,0,0,0,"N",1.00,0,0,0,0,0,0,0,"N",-1,-14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
