"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","238222","58","0","2023","1","","Alabama -- Statewide","Private","NAICS 238222 Nonresidential plumbing and hvac contractors","State, NAICS 6-digit -- by ownership sector","All establishment sizes",691,8602,8574,8639,142760879,68557205,509377,1276,"",1.81,1.10,1.09,1.10,1.10,1.00,0.73,1.00,"",47,7.3,308,3.7,171,2.0,120,1.4,16576141,13.1,1837544,2.8,-562934,-52.5,121,10.5
"01000","5","238222","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 238222 Nonresidential plumbing and hvac contractors","State, NAICS 6-digit -- by ownership sector","All establishment sizes",691,8704,8732,8900,147172703,11124345,106288,1290,"",1.79,1.10,1.10,1.10,1.08,0.79,0.59,0.98,"",39,6.0,137,1.6,76,0.9,297,3.5,11550946,8.5,-1780538,-13.8,-166944,-61.1,78,6.4
"01000","5","238222","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 238222 Nonresidential plumbing and hvac contractors","State, NAICS 6-digit -- by ownership sector","All establishment sizes",699,8909,8956,9012,156240154,10864647,116722,1341,"",1.81,1.09,1.10,1.11,1.09,1.12,0.89,0.99,"",28,4.2,155,1.8,156,1.8,102,1.1,6625439,4.4,-3641638,-25.1,-345783,-74.8,36,2.8
"01001","5","238222","78","0","2023","1","N","Autauga County, Alabama","Private","NAICS 238222 Nonresidential plumbing and hvac contractors","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.77,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","238222","78","0","2023","2","N","Autauga County, Alabama","Private","NAICS 238222 Nonresidential plumbing and hvac contractors","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.76,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","238222","78","0","2023","3","N","Autauga County, Alabama","Private","NAICS 238222 Nonresidential plumbing and hvac contractors","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.75,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","238222","78","0","2023","1","","Baldwin County, Alabama","Private","NAICS 238222 Nonresidential plumbing and hvac contractors","County, NAICS 6-digit -- by ownership sector","All establishment sizes",31,367,366,369,4713028,2893514,12884,987,"",1.54,1.21,1.20,1.18,1.17,1.07,0.49,0.98,"",6,24.0,-8,-2.1,-36,-9.0,-58,-13.6,-492188,-9.5,-281554,-8.9,-28727,-69.0,-11,-1.1
"01003","5","238222","78","0","2023","2","","Baldwin County, Alabama","Private","NAICS 238222 Nonresidential plumbing and hvac contractors","County, NAICS 6-digit -- by ownership sector","All establishment sizes",31,394,384,387,5563750,1033023,6568,1102,"",1.52,1.25,1.20,1.17,1.24,1.46,0.83,1.03,"",4,14.8,-19,-4.6,-65,-14.5,-45,-10.4,-555582,-9.1,85177,9.0,-7335,-52.8,11,1.0
"01003","5","238222","78","0","2023","3","","Baldwin County, Alabama","Private","NAICS 238222 Nonresidential plumbing and hvac contractors","County, NAICS 6-digit -- by ownership sector","All establishment sizes",31,377,432,441,6524243,1033056,6703,1204,"",1.50,1.13,1.30,1.36,1.33,2.15,1.14,1.05,"",2,6.9,-43,-10.2,14,3.3,10,2.3,208043,3.3,190736,22.6,-5006,-42.8,55,4.8
"01007","5","238222","78","0","2023","1","N","Bibb County, Alabama","Private","NAICS 238222 Nonresidential plumbing and hvac contractors","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.97,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
