"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","23829","57","0","2023","1","","Alabama -- Statewide","Private","NAICS 23829 Other building equipment contractors","State, NAICS 5-digit -- by ownership sector","All establishment sizes",219,2104,2036,2074,41666873,17214502,173313,1547,"",1.38,1.02,0.98,0.99,1.10,0.93,1.07,1.11,"",5,2.3,-187,-8.2,-422,-17.2,-396,-16.0,-2023358,-4.6,-3618078,-17.4,-215506,-55.4,150,10.7
"01000","5","23829","57","0","2023","2","","Alabama -- Statewide","Private","NAICS 23829 Other building equipment contractors","State, NAICS 5-digit -- by ownership sector","All establishment sizes",225,2234,2009,2009,37654442,3122873,41539,1390,"",1.39,1.07,0.97,0.97,0.97,0.87,0.95,0.97,"",8,3.7,-164,-6.8,-288,-12.5,-310,-13.4,-3876978,-9.3,-1747601,-35.9,-53229,-56.2,24,1.8
"01000","5","23829","57","0","2023","3","","Alabama -- Statewide","Private","NAICS 23829 Other building equipment contractors","State, NAICS 5-digit -- by ownership sector","All establishment sizes",228,2020,2038,2197,41578791,3164832,51346,1534,"",1.40,0.97,0.98,1.06,1.05,1.28,1.60,1.05,"",12,5.6,-247,-10.9,-114,-5.3,-57,-2.5,-178391,-0.4,267097,9.2,-17887,-25.8,90,6.2
"01001","5","23829","77","0","2023","1","N","Autauga County, Alabama","Private","NAICS 23829 Other building equipment contractors","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.85,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","23829","77","0","2023","2","N","Autauga County, Alabama","Private","NAICS 23829 Other building equipment contractors","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.83,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","23829","77","0","2023","3","N","Autauga County, Alabama","Private","NAICS 23829 Other building equipment contractors","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.79,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","23829","77","0","2023","1","","Baldwin County, Alabama","Private","NAICS 23829 Other building equipment contractors","County, NAICS 5-digit -- by ownership sector","All establishment sizes",10,53,54,55,739246,415781,833,1053,"",1.20,0.66,0.67,0.66,0.63,0.57,0.13,0.95,"",1,11.1,-29,-35.4,-31,-36.5,-30,-35.3,-746219,-50.2,-701895,-62.8,-18386,-95.7,-307,-22.6
"01003","5","23829","77","0","2023","2","","Baldwin County, Alabama","Private","NAICS 23829 Other building equipment contractors","County, NAICS 5-digit -- by ownership sector","All establishment sizes",11,58,58,59,791226,59128,863,1043,"",1.29,0.69,0.69,0.69,0.62,0.33,0.45,0.90,"",3,37.5,14,31.8,17,41.5,15,34.1,225773,39.9,18204,44.5,560,184.8,31,3.1
"01003","5","23829","77","0","2023","3","","Baldwin County, Alabama","Private","NAICS 23829 Other building equipment contractors","County, NAICS 5-digit -- by ownership sector","All establishment sizes",12,55,54,58,747868,40529,355,1033,"",1.38,0.65,0.64,0.70,0.56,0.33,0.24,0.84,"",4,50.0,9,19.6,6,12.5,10,20.8,79644,11.9,-29402,-42.0,-147,-29.3,-53,-4.9
"01007","5","23829","77","0","2023","1","N","Bibb County, Alabama","Private","NAICS 23829 Other building equipment contractors","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.32,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
