"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","2389","56","0","2023","1","","Alabama -- Statewide","Private","NAICS 2389 Other specialty trade contractors","State, NAICS 4-digit -- by ownership sector","All establishment sizes",1162,9832,9919,10089,140111940,76243128,492541,1084,"",0.94,1.06,1.05,1.05,1.14,1.05,0.68,1.09,"",63,5.7,94,1.0,-115,-1.1,-2,0.0,12211965,9.5,2034512,2.7,-477616,-49.2,96,9.7
"01000","5","2389","56","0","2023","2","","Alabama -- Statewide","Private","NAICS 2389 Other specialty trade contractors","State, NAICS 4-digit -- by ownership sector","All establishment sizes",1175,10559,10522,10602,155804538,16700808,162807,1135,"",0.93,1.03,0.99,0.97,1.04,0.72,0.43,1.04,"",75,6.8,430,4.2,320,3.1,275,2.7,11434258,7.9,-1772388,-9.6,-116019,-41.6,48,4.4
"01000","5","2389","56","0","2023","3","","Alabama -- Statewide","Private","NAICS 2389 Other specialty trade contractors","State, NAICS 4-digit -- by ownership sector","All establishment sizes",1197,10660,10585,10705,158612018,13420961,127428,1146,"",0.94,0.97,0.97,0.99,1.00,0.78,0.49,1.02,"",70,6.2,312,3.0,288,2.8,241,2.3,-21299956,-11.8,-2398480,-15.2,-101986,-44.5,-189,-14.2
"01001","5","2389","76","0","2023","1","","Autauga County, Alabama","Private","NAICS 2389 Other specialty trade contractors","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,87,89,90,948939,638648,3431,823,"",1.07,1.65,1.65,1.63,1.67,1.79,0.81,1.02,"",-1,-10.0,1,1.2,3,3.5,11,13.9,77796,8.9,41320,6.9,-3117,-47.6,22,2.7
"01001","5","2389","76","0","2023","2","","Autauga County, Alabama","Private","NAICS 2389 Other specialty trade contractors","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,97,100,98,1098840,142946,728,860,"",1.05,1.66,1.64,1.57,1.51,1.09,0.30,0.93,"",0,0.0,10,11.5,15,17.6,9,10.1,55331,5.3,1973,1.4,-1142,-61.1,-63,-6.8
"01001","5","2389","76","0","2023","3","","Autauga County, Alabama","Private","NAICS 2389 Other specialty trade contractors","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,93,87,85,1049020,91270,680,914,"",1.03,1.48,1.40,1.39,1.38,1.03,0.48,0.97,"",0,0.0,1,1.1,-8,-8.4,-8,-8.6,2512,0.2,-37104,-28.9,-974,-58.9,51,5.9
"01003","5","2389","76","0","2023","1","","Baldwin County, Alabama","Private","NAICS 2389 Other specialty trade contractors","County, NAICS 4-digit -- by ownership sector","All establishment sizes",73,479,472,504,6517081,3816563,20795,1034,"",1.12,1.33,1.28,1.32,1.72,1.34,0.75,1.31,"",7,10.6,-13,-2.6,-9,-1.9,29,6.1,765759,13.3,259398,7.3,-19787,-48.8,117,12.8
"01003","5","2389","76","0","2023","2","","Baldwin County, Alabama","Private","NAICS 2389 Other specialty trade contractors","County, NAICS 4-digit -- by ownership sector","All establishment sizes",73,521,503,508,6647782,762691,7013,1001,"",1.09,1.27,1.18,1.13,1.35,0.66,0.42,1.13,"",7,10.6,39,8.1,18,3.7,15,3.0,-170357,-2.5,-156912,-17.1,-5398,-43.5,-77,-7.1
"01003","5","2389","76","0","2023","3","","Baldwin County, Alabama","Private","NAICS 2389 Other specialty trade contractors","County, NAICS 4-digit -- by ownership sector","All establishment sizes",74,504,508,507,7529235,603136,4937,1144,"",1.09,1.13,1.15,1.18,1.39,0.71,0.42,1.21,"",7,10.4,11,2.2,33,6.9,32,6.7,-1216967,-13.9,-53042,-8.1,-4382,-47.0,-255,-18.2
"01005","5","2389","76","0","2023","1","N","Barbour County, Alabama","Private","NAICS 2389 Other specialty trade contractors","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,0,"N",1.06,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","2389","76","0","2023","2","N","Barbour County, Alabama","Private","NAICS 2389 Other specialty trade contractors","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,0,"N",1.03,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","2389","76","0","2023","3","N","Barbour County, Alabama","Private","NAICS 2389 Other specialty trade contractors","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,0,"N",1.04,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","2389","76","0","2023","1","","Bibb County, Alabama","Private","NAICS 2389 Other specialty trade contractors","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,52,49,49,569888,368045,1358,877,"",2.09,2.38,2.21,2.18,2.36,2.31,0.73,1.05,"",0,0.0,-13,-20.0,-17,-25.8,-23,-31.9,-51099,-8.2,-86236,-19.0,-5501,-80.2,171,24.2
"01007","5","2389","76","0","2023","2","","Bibb County, Alabama","Private","NAICS 2389 Other specialty trade contractors","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,49,46,50,583679,69092,327,929,"",2.02,2.08,1.87,2.00,1.97,1.53,0.36,1.00,"",0,0.0,-22,-31.0,-22,-32.4,-19,-27.5,-224977,-27.8,-45693,-39.8,-2943,-90.0,32,3.6
"01007","5","2389","76","0","2023","3","","Bibb County, Alabama","Private","NAICS 2389 Other specialty trade contractors","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,53,53,53,630148,37368,182,915,"",2.27,2.12,2.12,2.13,2.04,1.15,0.35,0.96,"",1,14.3,-18,-25.4,-14,-20.9,-9,-14.5,-197033,-23.8,-21573,-36.6,-1526,-89.3,-39,-4.1
"01009","5","2389","76","0","2023","1","","Blount County, Alabama","Private","NAICS 2389 Other specialty trade contractors","County, NAICS 4-digit -- by ownership sector","All establishment sizes",15,72,69,70,790940,499314,6513,865,"",2.02,1.81,1.70,1.70,2.15,1.93,2.93,1.24,"",1,7.1,10,16.1,6,9.5,5,7.7,105613,15.4,55455,12.5,-2422,-27.1,33,4.0
"01009","5","2389","76","0","2023","2","","Blount County, Alabama","Private","NAICS 2389 Other specialty trade contractors","County, NAICS 4-digit -- by ownership sector","All establishment sizes",15,70,70,74,839018,70083,1196,905,"",2.00,1.58,1.53,1.57,1.77,0.75,0.91,1.13,"",0,0.0,-1,-1.4,-2,-2.8,4,5.7,20453,2.5,-38988,-35.7,-1251,-51.1,18,2.0
"01009","5","2389","76","0","2023","3","","Blount County, Alabama","Private","NAICS 2389 Other specialty trade contractors","County, NAICS 4-digit -- by ownership sector","All establishment sizes",16,71,69,68,860299,65051,1237,954,"",2.11,1.53,1.50,1.49,1.71,1.06,1.67,1.13,"",1,6.7,-1,-1.4,-6,-8.0,-3,-4.2,-19557,-2.2,-26950,-29.3,-923,-42.7,23,2.5
"01011","5","2389","76","0","2023","1","N","Bullock County, Alabama","Private","NAICS 2389 Other specialty trade contractors","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.19,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01011","5","2389","76","0","2023","2","N","Bullock County, Alabama","Private","NAICS 2389 Other specialty trade contractors","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.17,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01011","5","2389","76","0","2023","3","N","Bullock County, Alabama","Private","NAICS 2389 Other specialty trade contractors","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.18,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","2389","76","0","2023","1","","Butler County, Alabama","Private","NAICS 2389 Other specialty trade contractors","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,63,58,54,1106758,516440,11855,1459,"",1.37,2.03,1.83,1.67,3.79,2.22,3.47,2.06,"",0,0.0,12,23.5,7,13.7,-4,-6.9,502384,83.1,178027,52.6,-1559,-11.6,587,67.3
"01013","5","2389","76","0","2023","2","","Butler County, Alabama","Private","NAICS 2389 Other specialty trade contractors","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,62,45,46,805866,143703,3374,1215,"",1.36,1.80,1.25,1.27,2.18,1.50,1.90,1.52,"",0,0.0,22,55.0,-1,-2.2,-2,-4.2,253828,46.0,22248,18.3,-1505,-30.8,264,27.8
