"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","311352","58","0","2023","1","","Alabama -- Statewide","Private","NAICS 311352 Confectionery manufacturing from purchased chocolate","State, NAICS 6-digit -- by ownership sector","All establishment sizes",6,84,85,82,319033,259929,604,293,"",0.39,0.20,0.20,0.19,0.07,0.10,0.03,0.35,"",0,0.0,0,0.0,-4,-4.5,-1,-1.2,18794,6.3,-425,-0.2,-1580,-72.3,22,8.1
"01000","5","311352","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 311352 Confectionery manufacturing from purchased chocolate","State, NAICS 6-digit -- by ownership sector","All establishment sizes",7,84,86,88,302686,159397,350,271,"",0.45,0.20,0.21,0.21,0.07,0.30,0.07,0.35,"",1,16.7,8,10.5,11,14.7,14,18.9,-3278,-1.1,-12049,-7.0,-1083,-75.6,-43,-13.7
"01000","5","311352","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 311352 Confectionery manufacturing from purchased chocolate","State, NAICS 6-digit -- by ownership sector","All establishment sizes",7,86,87,86,309967,89909,204,276,"",0.44,0.20,0.20,0.20,0.07,0.21,0.05,0.35,"",1,16.7,24,38.7,24,38.1,26,43.3,10347,3.5,19427,27.6,-380,-65.1,-98,-26.2
"01003","5","311352","78","0","2023","1","N","Baldwin County, Alabama","Private","NAICS 311352 Confectionery manufacturing from purchased chocolate","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",2.46,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","311352","78","0","2023","2","N","Baldwin County, Alabama","Private","NAICS 311352 Confectionery manufacturing from purchased chocolate","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",2.41,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","311352","78","0","2023","3","N","Baldwin County, Alabama","Private","NAICS 311352 Confectionery manufacturing from purchased chocolate","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",2.38,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01021","5","311352","78","0","2023","1","N","Chilton County, Alabama","Private","NAICS 311352 Confectionery manufacturing from purchased chocolate","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",11.13,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01021","5","311352","78","0","2023","2","N","Chilton County, Alabama","Private","NAICS 311352 Confectionery manufacturing from purchased chocolate","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",10.94,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01021","5","311352","78","0","2023","3","N","Chilton County, Alabama","Private","NAICS 311352 Confectionery manufacturing from purchased chocolate","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",10.90,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01073","5","311352","78","0","2023","1","N","Jefferson County, Alabama","Private","NAICS 311352 Confectionery manufacturing from purchased chocolate","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.45,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01073","5","311352","78","0","2023","2","N","Jefferson County, Alabama","Private","NAICS 311352 Confectionery manufacturing from purchased chocolate","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.44,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
