"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","311421","58","0","2023","1","","Alabama -- Statewide","Private","NAICS 311421 Fruit and vegetable canning","State, NAICS 6-digit -- by ownership sector","All establishment sizes",8,53,52,54,513214,282666,1592,745,"",0.54,0.08,0.08,0.08,0.06,0.06,0.04,0.73,"",0,0.0,-107,-66.9,-112,-68.3,-114,-67.9,-1326378,-72.1,-863070,-75.3,-10161,-86.5,-118,-13.7
"01000","5","311421","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 311421 Fruit and vegetable canning","State, NAICS 6-digit -- by ownership sector","All establishment sizes",8,56,52,54,511328,89564,465,728,"",0.53,0.08,0.08,0.07,0.05,0.08,0.03,0.71,"",0,0.0,-115,-67.3,-115,-68.9,-114,-67.9,-1378707,-72.9,-276640,-75.5,-3914,-89.4,-134,-15.5
"01000","5","311421","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 311421 Fruit and vegetable canning","State, NAICS 6-digit -- by ownership sector","All establishment sizes",8,54,54,52,557869,75010,605,805,"",0.53,0.07,0.06,0.06,0.05,0.05,0.02,0.79,"",0,0.0,-114,-67.9,-112,-67.5,-115,-68.9,-1427399,-71.9,-201132,-72.8,-2655,-81.4,-109,-11.9
"01017","5","311421","78","0","2023","1","N","Chambers County, Alabama","Private","NAICS 311421 Fruit and vegetable canning","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",13.73,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01017","5","311421","78","0","2023","2","N","Chambers County, Alabama","Private","NAICS 311421 Fruit and vegetable canning","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",13.68,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01017","5","311421","78","0","2023","3","N","Chambers County, Alabama","Private","NAICS 311421 Fruit and vegetable canning","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",13.57,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01049","5","311421","78","0","2023","1","N","DeKalb County, Alabama","Private","NAICS 311421 Fruit and vegetable canning","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",7.39,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01049","5","311421","78","0","2023","2","N","DeKalb County, Alabama","Private","NAICS 311421 Fruit and vegetable canning","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",7.24,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01049","5","311421","78","0","2023","3","N","DeKalb County, Alabama","Private","NAICS 311421 Fruit and vegetable canning","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",7.22,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01057","5","311421","78","0","2023","1","N","Fayette County, Alabama","Private","NAICS 311421 Fruit and vegetable canning","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",28.12,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01057","5","311421","78","0","2023","2","N","Fayette County, Alabama","Private","NAICS 311421 Fruit and vegetable canning","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",27.79,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
