"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"02000","5","311830","58","0","2023","1","N","Alaska -- Statewide","Private","NAICS 311830 Tortilla manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.96,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02000","5","311830","58","0","2023","2","N","Alaska -- Statewide","Private","NAICS 311830 Tortilla manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.95,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02000","5","311830","58","0","2023","3","N","Alaska -- Statewide","Private","NAICS 311830 Tortilla manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.95,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02020","5","311830","78","0","2023","1","N","Anchorage Municipality, Alaska","Private","NAICS 311830 Tortilla manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.77,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02020","5","311830","78","0","2023","2","N","Anchorage Municipality, Alaska","Private","NAICS 311830 Tortilla manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.78,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02020","5","311830","78","0","2023","3","N","Anchorage Municipality, Alaska","Private","NAICS 311830 Tortilla manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.79,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04000","5","311830","58","0","2023","1","","Arizona -- Statewide","Private","NAICS 311830 Tortilla manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",20,649,638,639,7656338,4915873,27293,917,"",2.22,1.55,1.52,1.51,1.61,1.69,1.07,1.05,"",0,0.0,10,1.6,-14,-2.1,-32,-4.8,609595,8.7,570522,13.1,4037,17.4,88,10.6
"04000","5","311830","58","0","2023","2","","Arizona -- Statewide","Private","NAICS 311830 Tortilla manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",20,637,658,659,8380958,1072701,7572,990,"",2.20,1.51,1.56,1.59,1.67,2.12,1.74,1.08,"",0,0.0,-17,-2.6,35,5.6,23,3.6,811415,10.7,238722,28.6,2585,51.8,77,8.4
"04000","5","311830","58","0","2023","3","","Arizona -- Statewide","Private","NAICS 311830 Tortilla manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",20,652,654,651,8293260,873712,5674,978,"",2.17,1.58,1.55,1.53,1.67,2.33,1.78,1.07,"",-1,-4.8,20,3.2,15,2.3,19,3.0,185978,2.3,95352,12.3,339,6.4,-5,-0.5
"04005","5","311830","78","0","2023","1","N","Coconino County, Arizona","Private","NAICS 311830 Tortilla manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",6.02,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04005","5","311830","78","0","2023","2","N","Coconino County, Arizona","Private","NAICS 311830 Tortilla manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",6.02,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04005","5","311830","78","0","2023","3","N","Coconino County, Arizona","Private","NAICS 311830 Tortilla manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",5.98,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
