"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","3212","56","0","2023","1","","Alabama -- Statewide","Private","NAICS 3212 Veneer, plywood, and engineered wood product manufacturing","State, NAICS 4-digit -- by ownership sector","All establishment sizes",54,3368,3362,3341,58786810,26585371,129777,1347,"",2.29,3.00,3.01,3.01,3.75,3.04,3.09,1.25,"",1,1.9,-32,-0.9,-87,-2.5,-89,-2.6,2071394,3.7,-385956,-1.4,-194607,-60.0,74,5.8
"01000","5","3212","56","0","2023","2","","Alabama -- Statewide","Private","NAICS 3212 Veneer, plywood, and engineered wood product manufacturing","State, NAICS 4-digit -- by ownership sector","All establishment sizes",55,3329,3349,3375,54564626,2823323,18645,1253,"",2.30,3.01,3.03,3.01,3.77,1.32,1.33,1.25,"",2,3.8,-122,-3.5,-112,-3.2,-73,-2.1,2744646,5.3,-308009,-9.8,-23823,-56.1,99,8.6
"01000","5","3212","56","0","2023","3","","Alabama -- Statewide","Private","NAICS 3212 Veneer, plywood, and engineered wood product manufacturing","State, NAICS 4-digit -- by ownership sector","All establishment sizes",56,3335,3346,3347,50856881,2470400,15977,1170,"",2.33,2.96,2.97,2.98,3.48,1.46,1.43,1.17,"",2,3.7,-134,-3.9,-54,-1.6,-47,-1.4,-5901167,-10.4,-2891251,-53.9,-44331,-73.5,-106,-8.3
"01003","5","3212","76","0","2023","1","N","Baldwin County, Alabama","Private","NAICS 3212 Veneer, plywood, and engineered wood product manufacturing","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",2.41,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","3212","76","0","2023","2","N","Baldwin County, Alabama","Private","NAICS 3212 Veneer, plywood, and engineered wood product manufacturing","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",3.16,0,0,0,0,0,0,0,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","3212","76","0","2023","3","N","Baldwin County, Alabama","Private","NAICS 3212 Veneer, plywood, and engineered wood product manufacturing","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",3.12,0,0,0,0,0,0,0,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","3212","76","0","2023","1","N","Bibb County, Alabama","Private","NAICS 3212 Veneer, plywood, and engineered wood product manufacturing","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",15.61,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","3212","76","0","2023","2","N","Bibb County, Alabama","Private","NAICS 3212 Veneer, plywood, and engineered wood product manufacturing","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",15.21,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","3212","76","0","2023","3","N","Bibb County, Alabama","Private","NAICS 3212 Veneer, plywood, and engineered wood product manufacturing","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",15.07,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","3212","76","0","2023","1","N","Butler County, Alabama","Private","NAICS 3212 Veneer, plywood, and engineered wood product manufacturing","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",35.80,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
