"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","321212","58","0","2023","1","","Alabama -- Statewide","Private","NAICS 321212 Softwood veneer and plywood manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",5,928,927,916,13730104,6519347,23313,1143,"",3.17,4.62,4.62,4.61,5.21,3.93,2.85,1.13,"",0,0.0,-64,-6.5,-103,-10.0,-102,-10.0,-2738850,-16.6,-1735186,-21.0,-72649,-75.7,-107,-8.6
"01000","5","321212","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 321212 Softwood veneer and plywood manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",5,902,908,925,13960832,565339,2037,1178,"",3.20,4.57,4.59,4.63,5.29,1.06,0.51,1.15,"",0,0.0,-80,-8.1,-67,-6.9,-39,-4.0,-2359375,-14.5,-19869,-3.4,-4400,-68.4,-111,-8.6
"01000","5","321212","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 321212 Softwood veneer and plywood manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",5,902,901,904,14427271,505862,1870,1230,"",3.26,4.52,4.53,4.54,5.50,1.18,0.60,1.21,"N",-1,-16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","321212","78","0","2023","1","N","Butler County, Alabama","Private","NAICS 321212 Softwood veneer and plywood manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",178.59,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","321212","78","0","2023","2","N","Butler County, Alabama","Private","NAICS 321212 Softwood veneer and plywood manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",183.16,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","321212","78","0","2023","3","N","Butler County, Alabama","Private","NAICS 321212 Softwood veneer and plywood manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",188.26,0,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01025","5","321212","78","0","2023","1","N","Clarke County, Alabama","Private","NAICS 321212 Softwood veneer and plywood manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",128.71,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01025","5","321212","78","0","2023","2","N","Clarke County, Alabama","Private","NAICS 321212 Softwood veneer and plywood manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",129.98,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01025","5","321212","78","0","2023","3","N","Clarke County, Alabama","Private","NAICS 321212 Softwood veneer and plywood manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",133.49,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01043","5","321212","78","0","2023","1","N","Cullman County, Alabama","Private","NAICS 321212 Softwood veneer and plywood manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",44.52,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
