"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","32192","57","0","2023","1","","Alabama -- Statewide","Private","NAICS 32192 Wood container and pallet manufacturing","State, NAICS 5-digit -- by ownership sector","All establishment sizes",81,1416,1425,1389,17957545,10539885,60672,980,"",1.97,1.61,1.61,1.58,2.03,1.76,2.25,1.27,"",2,2.5,-73,-4.9,-50,-3.4,-90,-6.1,1162637,6.9,-403748,-3.7,-86588,-58.8,108,12.4
"01000","5","32192","57","0","2023","2","","Alabama -- Statewide","Private","NAICS 32192 Wood container and pallet manufacturing","State, NAICS 5-digit -- by ownership sector","All establishment sizes",81,1433,1446,1441,17090262,2236487,19873,913,"",1.96,1.64,1.67,1.65,1.87,1.65,2.78,1.13,"",3,3.8,-55,-3.7,-50,-3.3,-68,-4.5,-378263,-2.2,-183443,-7.6,-10922,-35.5,16,1.8
"01000","5","32192","57","0","2023","3","","Alabama -- Statewide","Private","NAICS 32192 Wood container and pallet manufacturing","State, NAICS 5-digit -- by ownership sector","All establishment sizes",81,1398,1377,1379,16279580,1309427,8276,904,"",1.94,1.60,1.58,1.59,1.74,1.32,1.59,1.10,"",4,5.2,-45,-3.1,-75,-5.2,-84,-5.7,-2276614,-12.3,-324085,-19.8,-12767,-60.7,-79,-8.0
"01003","5","32192","77","0","2023","1","N","Baldwin County, Alabama","Private","NAICS 32192 Wood container and pallet manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.46,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","32192","77","0","2023","2","N","Baldwin County, Alabama","Private","NAICS 32192 Wood container and pallet manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.46,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","32192","77","0","2023","3","N","Baldwin County, Alabama","Private","NAICS 32192 Wood container and pallet manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.45,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","32192","77","0","2023","1","","Bibb County, Alabama","Private","NAICS 32192 Wood container and pallet manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,18,20,16,208022,129552,1076,889,"",26.83,8.74,9.65,7.82,11.96,9.84,15.59,1.37,"",0,0.0,3,20.0,4,25.0,0,0.0,56554,37.3,25619,24.6,-771,-41.7,145,19.5
"01007","5","32192","77","0","2023","2","N","Bibb County, Alabama","Private","NAICS 32192 Wood container and pallet manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",26.34,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","32192","77","0","2023","3","N","Bibb County, Alabama","Private","NAICS 32192 Wood container and pallet manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",26.09,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","32192","77","0","2023","1","N","Calhoun County, Alabama","Private","NAICS 32192 Wood container and pallet manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",2.70,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
