"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","32519","57","0","2023","1","","Alabama -- Statewide","Private","NAICS 32519 Other basic organic chemical manufacturing","State, NAICS 5-digit -- by ownership sector","All establishment sizes",33,1447,1415,1407,35594704,11857218,36626,1924,"",1.73,1.89,1.85,1.84,1.96,1.70,1.23,1.06,"",1,3.1,48,3.4,17,1.2,-7,-0.5,-1096726,-3.0,262155,2.3,-78462,-68.2,-87,-4.3
"01000","5","32519","57","0","2023","2","","Alabama -- Statewide","Private","NAICS 32519 Other basic organic chemical manufacturing","State, NAICS 5-digit -- by ownership sector","All establishment sizes",36,1406,1396,1404,46339602,761554,3542,2542,"",1.85,1.85,1.83,1.83,2.76,0.87,0.84,1.50,"",4,12.5,-17,-1.2,-28,-2.0,-25,-1.7,12818637,38.2,-41859,-5.2,-10554,-74.9,733,40.5
"01000","5","32519","57","0","2023","3","","Alabama -- Statewide","Private","NAICS 32519 Other basic organic chemical manufacturing","State, NAICS 5-digit -- by ownership sector","All establishment sizes",37,1402,1342,1334,37991800,584231,2812,2150,"",1.87,1.83,1.76,1.76,2.39,1.33,1.10,1.34,"",4,12.1,-97,-6.5,-184,-12.1,-212,-13.7,-3202580,-7.8,-771849,-56.9,-24601,-89.7,70,3.4
"01003","5","32519","77","0","2023","1","N","Baldwin County, Alabama","Private","NAICS 32519 Other basic organic chemical manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",3.99,0,0,0,0,0,0,0,"N",2,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","32519","77","0","2023","2","N","Baldwin County, Alabama","Private","NAICS 32519 Other basic organic chemical manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",3.89,0,0,0,0,0,0,0,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","32519","77","0","2023","3","N","Baldwin County, Alabama","Private","NAICS 32519 Other basic organic chemical manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",3.79,0,0,0,0,0,0,0,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01045","5","32519","77","0","2023","1","N","Dale County, Alabama","Private","NAICS 32519 Other basic organic chemical manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",7.47,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01045","5","32519","77","0","2023","2","N","Dale County, Alabama","Private","NAICS 32519 Other basic organic chemical manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",14.65,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01045","5","32519","77","0","2023","3","N","Dale County, Alabama","Private","NAICS 32519 Other basic organic chemical manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",14.24,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01049","5","32519","77","0","2023","1","N","DeKalb County, Alabama","Private","NAICS 32519 Other basic organic chemical manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",5.73,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
