"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","32612","57","0","2023","1","","Alabama -- Statewide","Private","NAICS 32612 Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing","State, NAICS 5-digit -- by ownership sector","All establishment sizes",22,893,905,899,13882455,7308853,31144,1188,"",1.53,1.21,1.21,1.21,1.22,1.21,0.94,1.01,"",0,0.0,28,3.2,15,1.7,11,1.2,1075336,8.4,588432,8.8,-53214,-63.1,70,6.3
"01000","5","32612","57","0","2023","2","","Alabama -- Statewide","Private","NAICS 32612 Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing","State, NAICS 5-digit -- by ownership sector","All establishment sizes",22,891,884,882,13142400,837558,3650,1141,"",1.52,1.21,1.20,1.19,1.26,0.69,0.53,1.05,"",0,0.0,-7,-0.8,3,0.3,-31,-3.4,733825,5.9,-159434,-16.0,-6838,-65.2,77,7.2
"01000","5","32612","57","0","2023","3","","Alabama -- Statewide","Private","NAICS 32612 Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing","State, NAICS 5-digit -- by ownership sector","All establishment sizes",23,892,902,937,13315000,720319,2817,1125,"",1.58,1.20,1.22,1.27,1.28,0.91,0.60,1.04,"",0,0.0,-27,-2.9,-23,-2.5,13,1.4,18156,0.1,-251167,-25.9,-8270,-74.6,16,1.4
"01003","5","32612","77","0","2023","1","N","Baldwin County, Alabama","Private","NAICS 32612 Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",3.97,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","32612","77","0","2023","2","N","Baldwin County, Alabama","Private","NAICS 32612 Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",3.92,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","32612","77","0","2023","3","N","Baldwin County, Alabama","Private","NAICS 32612 Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",3.87,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01033","5","32612","77","0","2023","1","N","Colbert County, Alabama","Private","NAICS 32612 Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",7.00,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01033","5","32612","77","0","2023","2","N","Colbert County, Alabama","Private","NAICS 32612 Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",7.04,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01033","5","32612","77","0","2023","3","N","Colbert County, Alabama","Private","NAICS 32612 Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",6.98,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01043","5","32612","77","0","2023","1","N","Cullman County, Alabama","Private","NAICS 32612 Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",4.89,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
