"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","327991","58","0","2023","1","","Alabama -- Statewide","Private","NAICS 327991 Cut stone and stone product manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",82,698,689,678,9015249,5329041,21375,1007,"",2.16,1.45,1.42,1.41,1.74,1.47,1.15,1.22,"",2,2.5,5,0.7,-4,-0.6,-5,-0.7,899113,11.1,181645,3.5,-27547,-56.3,102,11.3
"01000","5","327991","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 327991 Cut stone and stone product manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",83,695,711,711,9893233,704196,5718,1078,"",2.16,1.44,1.48,1.48,1.75,0.78,1.10,1.19,"",5,6.4,6,0.9,18,2.6,8,1.1,1303471,15.2,-55665,-7.3,-1434,-20.1,127,13.4
"01000","5","327991","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 327991 Cut stone and stone product manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",83,688,681,680,9276770,522594,3429,1045,"",2.15,1.43,1.43,1.43,1.64,0.86,0.93,1.15,"",5,6.4,-19,-2.7,-19,-2.7,-18,-2.6,-159057,-1.7,-211042,-28.8,-3576,-51.0,11,1.1
"01001","5","327991","78","0","2023","1","N","Autauga County, Alabama","Private","NAICS 327991 Cut stone and stone product manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",3.86,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","327991","78","0","2023","2","N","Autauga County, Alabama","Private","NAICS 327991 Cut stone and stone product manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",3.83,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","327991","78","0","2023","3","N","Autauga County, Alabama","Private","NAICS 327991 Cut stone and stone product manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",3.77,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","327991","78","0","2023","1","","Baldwin County, Alabama","Private","NAICS 327991 Cut stone and stone product manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",9,146,143,145,1905197,1134054,2667,1013,"",4.50,7.80,7.58,7.62,11.83,7.97,3.77,1.54,"",0,0.0,11,8.1,6,4.4,10,7.4,276689,17.0,89080,8.5,-5504,-67.4,90,9.8
"01003","5","327991","78","0","2023","2","","Baldwin County, Alabama","Private","NAICS 327991 Cut stone and stone product manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",9,144,139,140,1829986,115980,234,998,"",4.41,7.48,7.20,7.09,9.80,2.56,1.02,1.35,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","327991","78","0","2023","3","","Baldwin County, Alabama","Private","NAICS 327991 Cut stone and stone product manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",9,141,145,144,1937026,155482,312,1040,"",4.36,7.17,7.46,7.61,10.04,5.20,1.88,1.36,"",0,0.0,-3,-2.1,1,0.7,1,0.7,-62318,-3.1,-38366,-19.8,-1084,-77.7,-31,-2.9
"01009","5","327991","78","0","2023","1","-","Blount County, Alabama","Private","NAICS 327991 Cut stone and stone product manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","327991","78","0","2023","2","N","Blount County, Alabama","Private","NAICS 327991 Cut stone and stone product manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",4.38,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
