"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","327999","58","0","2023","1","N","Alabama -- Statewide","Private","NAICS 327999 All other miscellaneous nonmetallic mineral product manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",0.55,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","327999","58","0","2023","2","N","Alabama -- Statewide","Private","NAICS 327999 All other miscellaneous nonmetallic mineral product manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",0.54,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","327999","58","0","2023","3","N","Alabama -- Statewide","Private","NAICS 327999 All other miscellaneous nonmetallic mineral product manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",0.41,0,0,0,0,0,0,0,"N",-1,-25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","327999","78","0","2023","1","N","Calhoun County, Alabama","Private","NAICS 327999 All other miscellaneous nonmetallic mineral product manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",7.62,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","327999","78","0","2023","2","N","Calhoun County, Alabama","Private","NAICS 327999 All other miscellaneous nonmetallic mineral product manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",7.58,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","327999","78","0","2023","3","-","Calhoun County, Alabama","Private","NAICS 327999 All other miscellaneous nonmetallic mineral product manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",-1,-100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01073","5","327999","78","0","2023","1","N","Jefferson County, Alabama","Private","NAICS 327999 All other miscellaneous nonmetallic mineral product manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.91,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01073","5","327999","78","0","2023","2","N","Jefferson County, Alabama","Private","NAICS 327999 All other miscellaneous nonmetallic mineral product manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.89,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01073","5","327999","78","0","2023","3","N","Jefferson County, Alabama","Private","NAICS 327999 All other miscellaneous nonmetallic mineral product manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.90,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01081","5","327999","78","0","2023","1","N","Lee County, Alabama","Private","NAICS 327999 All other miscellaneous nonmetallic mineral product manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",5.11,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01081","5","327999","78","0","2023","2","N","Lee County, Alabama","Private","NAICS 327999 All other miscellaneous nonmetallic mineral product manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",5.04,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01081","5","327999","78","0","2023","3","N","Lee County, Alabama","Private","NAICS 327999 All other miscellaneous nonmetallic mineral product manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",5.05,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02000","5","327999","58","0","2023","1","N","Alaska -- Statewide","Private","NAICS 327999 All other miscellaneous nonmetallic mineral product manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.85,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02000","5","327999","58","0","2023","2","N","Alaska -- Statewide","Private","NAICS 327999 All other miscellaneous nonmetallic mineral product manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.84,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02000","5","327999","58","0","2023","3","N","Alaska -- Statewide","Private","NAICS 327999 All other miscellaneous nonmetallic mineral product manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.85,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02240","5","327999","78","0","2023","1","N","Southeast Fairbanks Census Area, Alaska","Private","NAICS 327999 All other miscellaneous nonmetallic mineral product manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",84.28,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02240","5","327999","78","0","2023","2","N","Southeast Fairbanks Census Area, Alaska","Private","NAICS 327999 All other miscellaneous nonmetallic mineral product manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",83.69,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02240","5","327999","78","0","2023","3","N","Southeast Fairbanks Census Area, Alaska","Private","NAICS 327999 All other miscellaneous nonmetallic mineral product manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",84.70,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04000","5","327999","58","0","2023","1","","Arizona -- Statewide","Private","NAICS 327999 All other miscellaneous nonmetallic mineral product manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",6,209,204,197,3752027,1631114,5335,1419,"",0.59,0.85,0.83,0.80,0.93,0.72,0.20,1.12,"",0,0.0,1,0.5,-4,-1.9,-7,-3.4,323576,9.4,193229,13.4,-6393,-54.5,143,11.2
"04000","5","327999","58","0","2023","2","","Arizona -- Statewide","Private","NAICS 327999 All other miscellaneous nonmetallic mineral product manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",6,193,194,204,3298418,800216,818,1288,"",0.58,0.78,0.79,0.85,0.77,1.64,0.15,0.96,"",0,0.0,-1,-0.5,-7,-3.5,5,2.5,5045,0.2,634009,381.5,-407,-33.2,9,0.7
"04000","5","327999","58","0","2023","3","","Arizona -- Statewide","Private","NAICS 327999 All other miscellaneous nonmetallic mineral product manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",6,199,200,192,3395989,481193,756,1326,"",0.58,0.83,0.82,0.78,0.82,1.64,0.22,1.01,"",0,0.0,-17,-7.9,-11,-5.2,-10,-5.0,-109594,-3.1,323065,204.3,-334,-30.6,40,3.1
"04013","5","327999","78","0","2023","1","","Maricopa County, Arizona","Private","NAICS 327999 All other miscellaneous nonmetallic mineral product manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,103,99,100,1795424,795211,988,1372,"",0.62,0.60,0.57,0.58,0.60,0.48,0.06,1.02,"",0,0.0,10,10.8,3,3.1,8,8.7,335101,22.9,155950,24.4,-1580,-61.5,173,14.4
