"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","332117","58","0","2023","1","N","Alabama -- Statewide","Private","NAICS 332117 Powder metallurgy part manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.45,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","332117","58","0","2023","2","N","Alabama -- Statewide","Private","NAICS 332117 Powder metallurgy part manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.44,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","332117","58","0","2023","3","N","Alabama -- Statewide","Private","NAICS 332117 Powder metallurgy part manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.44,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01049","5","332117","78","0","2023","1","N","DeKalb County, Alabama","Private","NAICS 332117 Powder metallurgy part manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",49.53,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01049","5","332117","78","0","2023","2","N","DeKalb County, Alabama","Private","NAICS 332117 Powder metallurgy part manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",48.40,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01049","5","332117","78","0","2023","3","N","DeKalb County, Alabama","Private","NAICS 332117 Powder metallurgy part manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",47.62,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06000","5","332117","58","0","2023","1","","California -- Statewide","Private","NAICS 332117 Powder metallurgy part manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",16,281,265,289,4026809,1979805,53170,1113,"",0.63,0.27,0.26,0.28,0.21,0.27,0.12,0.79,"",0,0.0,-21,-7.0,-40,-13.1,-14,-4.6,81938,2.1,-155586,-7.3,-14654,-21.6,113,11.3
"06000","5","332117","58","0","2023","2","","California -- Statewide","Private","NAICS 332117 Powder metallurgy part manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",16,285,275,265,4124312,78839,1785,1154,"",0.63,0.28,0.27,0.26,0.21,0.10,0.05,0.78,"",0,0.0,-20,-6.6,-27,-8.9,-29,-9.9,-474461,-10.3,-39333,-33.3,-1544,-46.4,-24,-2.0
"06000","5","332117","58","0","2023","3","","California -- Statewide","Private","NAICS 332117 Powder metallurgy part manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",16,265,263,255,3749557,71350,2014,1105,"",0.62,0.26,0.26,0.26,0.21,0.17,0.08,0.80,"",0,0.0,-3,-1.1,-34,-11.4,-36,-12.4,-487826,-11.5,-67960,-48.8,-1391,-40.9,-37,-3.2
"06001","5","332117","78","0","2023","1","N","Alameda County, California","Private","NAICS 332117 Powder metallurgy part manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",2.97,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06001","5","332117","78","0","2023","2","N","Alameda County, California","Private","NAICS 332117 Powder metallurgy part manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",2.97,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06001","5","332117","78","0","2023","3","","Alameda County, California","Private","NAICS 332117 Powder metallurgy part manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,6,5,5,106859,0,0,1541,"",2.91,0.13,0.11,0.11,0.12,0.00,0.00,1.00,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
