"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","3323","56","0","2023","1","","Alabama -- Statewide","Private","NAICS 3323 Architectural and structural metals manufacturing","State, NAICS 4-digit -- by ownership sector","All establishment sizes",498,10828,10938,10949,172884257,86363851,418799,1220,"",2.33,1.97,1.99,1.99,2.32,2.05,1.66,1.17,"",7,1.4,149,1.4,168,1.6,134,1.2,20576644,13.5,3169875,3.8,-537939,-56.2,131,12.0
"01000","5","3323","56","0","2023","2","","Alabama -- Statewide","Private","NAICS 3323 Architectural and structural metals manufacturing","State, NAICS 4-digit -- by ownership sector","All establishment sizes",501,10840,10886,10988,166929637,10418360,60328,1178,"",2.32,1.98,2.00,1.99,2.23,1.29,1.12,1.12,"",19,3.9,3,0.0,-13,-0.1,52,0.5,6728628,4.2,-1805270,-14.8,-102654,-63.0,46,4.1
"01000","5","3323","56","0","2023","3","","Alabama -- Statewide","Private","NAICS 3323 Architectural and structural metals manufacturing","State, NAICS 4-digit -- by ownership sector","All establishment sizes",509,10900,10874,10945,171277981,9162021,51120,1208,"",2.34,1.97,1.97,1.99,2.24,1.56,1.22,1.13,"",19,3.9,225,2.1,31,0.3,93,0.9,4980235,3.0,-1679934,-15.5,-107158,-67.7,22,1.9
"01001","5","3323","76","0","2023","1","N","Autauga County, Alabama","Private","NAICS 3323 Architectural and structural metals manufacturing","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,0,"N",3.44,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","3323","76","0","2023","2","N","Autauga County, Alabama","Private","NAICS 3323 Architectural and structural metals manufacturing","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,0,"N",3.41,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","3323","76","0","2023","3","N","Autauga County, Alabama","Private","NAICS 3323 Architectural and structural metals manufacturing","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,0,"N",3.36,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","3323","76","0","2023","1","","Baldwin County, Alabama","Private","NAICS 3323 Architectural and structural metals manufacturing","County, NAICS 4-digit -- by ownership sector","All establishment sizes",22,171,169,167,2354741,1267032,8475,1072,"",1.96,0.80,0.79,0.77,1.02,0.76,0.88,1.30,"",2,10.0,58,51.3,53,45.7,52,45.2,881041,59.8,370607,41.3,-4180,-33.0,83,8.4
"01003","5","3323","76","0","2023","2","","Baldwin County, Alabama","Private","NAICS 3323 Architectural and structural metals manufacturing","County, NAICS 4-digit -- by ownership sector","All establishment sizes",21,170,165,167,2615312,127659,856,1202,"",1.84,0.78,0.75,0.74,1.06,0.32,0.36,1.40,"",1,5.0,55,47.8,45,37.5,47,39.2,985065,60.4,2592,2.1,-1156,-57.5,142,13.4
"01003","5","3323","76","0","2023","3","","Baldwin County, Alabama","Private","NAICS 3323 Architectural and structural metals manufacturing","County, NAICS 4-digit -- by ownership sector","All establishment sizes",22,169,179,177,2524817,195735,2441,1110,"",1.90,0.75,0.80,0.81,0.97,0.68,1.29,1.23,"",2,10.0,51,43.2,62,53.0,54,43.9,810014,47.2,74357,61.3,707,40.8,5,0.5
"01005","5","3323","76","0","2023","1","N","Barbour County, Alabama","Private","NAICS 3323 Architectural and structural metals manufacturing","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",2.46,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
