"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","332322","58","0","2023","1","","Alabama -- Statewide","Private","NAICS 332322 Sheet metal work manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",109,2570,2659,2669,35151053,20643046,113711,1027,"",1.86,1.65,1.70,1.71,1.79,1.72,1.50,1.06,"",4,3.8,190,8.0,258,10.7,245,10.1,7754669,28.3,2690609,15.0,-128018,-53.0,150,17.1
"01000","5","332322","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 332322 Sheet metal work manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",109,2664,2664,2673,34600143,2737599,18653,998,"",1.84,1.72,1.72,1.71,1.71,1.11,1.13,0.99,"",6,5.8,249,10.3,229,9.4,212,8.6,2514466,7.8,-252201,-8.4,-26855,-59.0,-15,-1.5
"01000","5","332322","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 332322 Sheet metal work manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",109,2682,2668,2679,38470691,2521976,14722,1106,"",1.83,1.72,1.72,1.73,1.85,1.40,1.12,1.08,"",4,3.8,467,21.1,253,10.5,252,10.4,4496503,13.2,236058,10.3,-17770,-54.7,-5,-0.5
"01001","5","332322","78","0","2023","1","N","Autauga County, Alabama","Private","NAICS 332322 Sheet metal work manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.50,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","332322","78","0","2023","2","N","Autauga County, Alabama","Private","NAICS 332322 Sheet metal work manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.49,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","332322","78","0","2023","3","N","Autauga County, Alabama","Private","NAICS 332322 Sheet metal work manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.45,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","332322","78","0","2023","1","","Baldwin County, Alabama","Private","NAICS 332322 Sheet metal work manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,36,35,36,540874,277390,1267,1167,"",1.62,0.60,0.57,0.58,0.89,0.59,0.44,1.52,"",0,0.0,-2,-5.3,-2,-5.4,0,0.0,43294,8.7,-5373,-1.9,-1959,-60.7,133,12.9
"01003","5","332322","78","0","2023","2","","Baldwin County, Alabama","Private","NAICS 332322 Sheet metal work manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,36,35,36,739780,25179,109,1595,"",1.60,0.58,0.56,0.56,1.11,0.20,0.15,1.95,"",0,0.0,0,0.0,-2,-5.4,-1,-2.7,163290,28.3,3205,14.6,-176,-61.8,386,31.9
"01003","5","332322","78","0","2023","3","","Baldwin County, Alabama","Private","NAICS 332322 Sheet metal work manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,35,37,36,572076,19389,92,1222,"",1.57,0.55,0.59,0.58,0.80,0.22,0.15,1.41,"",0,0.0,0,0.0,1,2.8,-1,-2.7,-7654,-1.3,254,1.3,-132,-58.9,-17,-1.4
"01009","5","332322","78","0","2023","1","N","Blount County, Alabama","Private","NAICS 332322 Sheet metal work manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",5.69,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","332322","78","0","2023","2","N","Blount County, Alabama","Private","NAICS 332322 Sheet metal work manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",5.70,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","332322","78","0","2023","3","N","Blount County, Alabama","Private","NAICS 332322 Sheet metal work manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",5.67,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
