"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","332410","58","0","2023","1","","Alabama -- Statewide","Private","NAICS 332410 Power boiler and heat exchanger manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",11,108,105,109,2170772,831724,6250,1556,"",1.97,0.40,0.38,0.39,0.48,0.33,0.39,1.25,"N",-2,-15.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","332410","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 332410 Power boiler and heat exchanger manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",12,106,111,112,2302391,92934,773,1615,"",2.17,0.37,0.39,0.39,0.48,0.22,0.26,1.25,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","332410","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 332410 Power boiler and heat exchanger manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",12,116,115,116,2379569,82756,1217,1583,"",2.18,0.40,0.40,0.40,0.50,0.32,0.59,1.25,"",1,9.1,7,6.4,7,6.5,6,5.5,323444,15.7,31035,60.0,703,136.8,132,9.1
"01021","5","332410","78","0","2023","1","-","Chilton County, Alabama","Private","NAICS 332410 Power boiler and heat exchanger manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01021","5","332410","78","0","2023","2","N","Chilton County, Alabama","Private","NAICS 332410 Power boiler and heat exchanger manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",30.93,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01021","5","332410","78","0","2023","3","N","Chilton County, Alabama","Private","NAICS 332410 Power boiler and heat exchanger manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",31.23,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01071","5","332410","78","0","2023","1","N","Jackson County, Alabama","Private","NAICS 332410 Power boiler and heat exchanger manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",23.73,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01071","5","332410","78","0","2023","2","N","Jackson County, Alabama","Private","NAICS 332410 Power boiler and heat exchanger manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",23.79,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01071","5","332410","78","0","2023","3","N","Jackson County, Alabama","Private","NAICS 332410 Power boiler and heat exchanger manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",24.10,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01073","5","332410","78","0","2023","1","N","Jefferson County, Alabama","Private","NAICS 332410 Power boiler and heat exchanger manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",2.50,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
