"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","332812","58","0","2023","1","","Alabama -- Statewide","Private","NAICS 332812 Metal coating, engraving (except jewelry and silverware), and allied services to manufacturers","State, NAICS 6-digit -- by ownership sector","All establishment sizes",52,916,896,886,13886076,6513010,61395,1188,"",1.27,1.15,1.11,1.10,1.41,1.12,1.82,1.26,"",-1,-1.9,59,6.9,46,5.4,50,6.0,732279,5.6,379549,6.2,-45592,-42.6,-6,-0.5
"01000","5","332812","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 332812 Metal coating, engraving (except jewelry and silverware), and allied services to manufacturers","State, NAICS 6-digit -- by ownership sector","All establishment sizes",49,871,883,884,13170768,979589,8712,1152,"",1.19,1.08,1.10,1.09,1.34,0.89,1.14,1.23,"",-5,-9.3,69,8.6,70,8.6,62,7.5,407359,3.2,-478144,-32.8,-19378,-69.0,-57,-4.7
"01000","5","332812","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 332812 Metal coating, engraving (except jewelry and silverware), and allied services to manufacturers","State, NAICS 6-digit -- by ownership sector","All establishment sizes",49,903,884,876,13644585,781472,6826,1182,"",1.19,1.11,1.09,1.09,1.35,0.96,1.18,1.23,"",-5,-9.3,3,0.3,-29,-3.2,-15,-1.7,-104003,-0.8,-151770,-16.3,-7832,-53.4,9,0.8
"01003","5","332812","78","0","2023","1","N","Baldwin County, Alabama","Private","NAICS 332812 Metal coating, engraving (except jewelry and silverware), and allied services to manufacturers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.46,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","332812","78","0","2023","2","N","Baldwin County, Alabama","Private","NAICS 332812 Metal coating, engraving (except jewelry and silverware), and allied services to manufacturers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.46,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","332812","78","0","2023","3","N","Baldwin County, Alabama","Private","NAICS 332812 Metal coating, engraving (except jewelry and silverware), and allied services to manufacturers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.45,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","332812","78","0","2023","1","N","Blount County, Alabama","Private","NAICS 332812 Metal coating, engraving (except jewelry and silverware), and allied services to manufacturers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",4.08,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","332812","78","0","2023","2","N","Blount County, Alabama","Private","NAICS 332812 Metal coating, engraving (except jewelry and silverware), and allied services to manufacturers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",4.09,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","332812","78","0","2023","3","N","Blount County, Alabama","Private","NAICS 332812 Metal coating, engraving (except jewelry and silverware), and allied services to manufacturers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",4.08,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01019","5","332812","78","0","2023","1","N","Cherokee County, Alabama","Private","NAICS 332812 Metal coating, engraving (except jewelry and silverware), and allied services to manufacturers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",7.86,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01019","5","332812","78","0","2023","2","N","Cherokee County, Alabama","Private","NAICS 332812 Metal coating, engraving (except jewelry and silverware), and allied services to manufacturers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",7.73,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01019","5","332812","78","0","2023","3","N","Cherokee County, Alabama","Private","NAICS 332812 Metal coating, engraving (except jewelry and silverware), and allied services to manufacturers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",7.81,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01043","5","332812","78","0","2023","1","N","Cullman County, Alabama","Private","NAICS 332812 Metal coating, engraving (except jewelry and silverware), and allied services to manufacturers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.72,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01043","5","332812","78","0","2023","2","N","Cullman County, Alabama","Private","NAICS 332812 Metal coating, engraving (except jewelry and silverware), and allied services to manufacturers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.70,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01043","5","332812","78","0","2023","3","N","Cullman County, Alabama","Private","NAICS 332812 Metal coating, engraving (except jewelry and silverware), and allied services to manufacturers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.69,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01055","5","332812","78","0","2023","1","N","Etowah County, Alabama","Private","NAICS 332812 Metal coating, engraving (except jewelry and silverware), and allied services to manufacturers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",4.82,0,0,0,0,0,0,0,"N",-1,-25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01055","5","332812","78","0","2023","2","N","Etowah County, Alabama","Private","NAICS 332812 Metal coating, engraving (except jewelry and silverware), and allied services to manufacturers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",4.78,0,0,0,0,0,0,0,"N",-1,-25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01055","5","332812","78","0","2023","3","N","Etowah County, Alabama","Private","NAICS 332812 Metal coating, engraving (except jewelry and silverware), and allied services to manufacturers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",4.79,0,0,0,0,0,0,0,"N",-1,-25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01065","5","332812","78","0","2023","1","N","Hale County, Alabama","Private","NAICS 332812 Metal coating, engraving (except jewelry and silverware), and allied services to manufacturers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",11.98,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01065","5","332812","78","0","2023","2","N","Hale County, Alabama","Private","NAICS 332812 Metal coating, engraving (except jewelry and silverware), and allied services to manufacturers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",11.77,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
