"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","332996","58","0","2023","1","","Alabama -- Statewide","Private","NAICS 332996 Fabricated pipe and pipe fitting manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",32,1547,1578,1555,32949054,14496659,209402,1625,"",2.53,3.61,3.64,3.59,5.21,4.51,7.91,1.44,"",0,0.0,337,27.9,333,26.7,300,23.9,11802588,55.8,3866609,36.4,-85317,-28.9,310,23.6
"01000","5","332996","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 332996 Fabricated pipe and pipe fitting manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",32,1459,1354,1328,25186427,1519757,27426,1404,"",2.53,3.37,3.15,3.08,4.04,3.13,6.35,1.26,"",0,0.0,126,9.5,19,1.4,59,4.6,2810304,12.6,-605549,-28.5,-38166,-58.2,92,7.0
"01000","5","332996","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 332996 Fabricated pipe and pipe fitting manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",32,1266,1280,1306,27138207,1500111,32074,1626,"",2.53,2.99,3.04,3.09,4.32,4.31,8.67,1.42,"",0,0.0,-23,-1.8,18,1.4,-37,-2.8,-742735,-2.7,-651820,-30.3,-36506,-53.2,-26,-1.6
"01031","5","332996","78","0","2023","1","N","Coffee County, Alabama","Private","NAICS 332996 Fabricated pipe and pipe fitting manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",9.41,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01031","5","332996","78","0","2023","2","N","Coffee County, Alabama","Private","NAICS 332996 Fabricated pipe and pipe fitting manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",9.36,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01031","5","332996","78","0","2023","3","N","Coffee County, Alabama","Private","NAICS 332996 Fabricated pipe and pipe fitting manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",9.22,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01047","5","332996","78","0","2023","1","N","Dallas County, Alabama","Private","NAICS 332996 Fabricated pipe and pipe fitting manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",12.75,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01047","5","332996","78","0","2023","2","N","Dallas County, Alabama","Private","NAICS 332996 Fabricated pipe and pipe fitting manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",12.74,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01047","5","332996","78","0","2023","3","N","Dallas County, Alabama","Private","NAICS 332996 Fabricated pipe and pipe fitting manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",12.76,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01049","5","332996","78","0","2023","1","N","DeKalb County, Alabama","Private","NAICS 332996 Fabricated pipe and pipe fitting manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",17.22,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
