"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","33312","57","0","2023","1","","Alabama -- Statewide","Private","NAICS 33312 Construction machinery manufacturing","State, NAICS 5-digit -- by ownership sector","All establishment sizes",19,782,762,756,13535100,5689933,14489,1358,"",1.31,0.78,0.76,0.75,0.70,0.59,0.24,0.91,"",2,11.8,-35,-4.3,-46,-5.7,-44,-5.5,1124325,9.1,-64034,-1.1,-27997,-65.9,177,15.0
"01000","5","33312","57","0","2023","2","","Alabama -- Statewide","Private","NAICS 33312 Construction machinery manufacturing","State, NAICS 5-digit -- by ownership sector","All establishment sizes",22,760,748,754,11917442,443934,1723,1216,"",1.50,0.76,0.75,0.74,0.71,0.19,0.14,0.94,"",4,22.2,-19,-2.4,-19,-2.5,-15,-2.0,-191904,-1.6,13475,3.1,-1791,-51.0,9,0.7
"01000","5","33312","57","0","2023","3","","Alabama -- Statewide","Private","NAICS 33312 Construction machinery manufacturing","State, NAICS 5-digit -- by ownership sector","All establishment sizes",25,745,745,747,12965757,487916,2055,1338,"",1.68,0.73,0.73,0.74,0.78,0.43,0.31,1.07,"",7,38.9,-35,-4.5,-10,-1.3,-18,-2.4,241157,1.9,67609,16.1,-1139,-35.7,61,4.8
"01001","5","33312","77","0","2023","1","-","Autauga County, Alabama","Private","NAICS 33312 Construction machinery manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","33312","77","0","2023","2","N","Autauga County, Alabama","Private","NAICS 33312 Construction machinery manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",10.06,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","33312","77","0","2023","3","N","Autauga County, Alabama","Private","NAICS 33312 Construction machinery manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",9.79,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","33312","77","0","2023","1","N","Calhoun County, Alabama","Private","NAICS 33312 Construction machinery manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",3.85,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","33312","77","0","2023","2","N","Calhoun County, Alabama","Private","NAICS 33312 Construction machinery manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",3.81,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","33312","77","0","2023","3","N","Calhoun County, Alabama","Private","NAICS 33312 Construction machinery manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",3.77,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01029","5","33312","77","0","2023","1","N","Cleburne County, Alabama","Private","NAICS 33312 Construction machinery manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",37.10,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
