"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","33313","57","0","2023","1","","Alabama -- Statewide","Private","NAICS 33313 Mining and oil and gas field machinery manufacturing","State, NAICS 5-digit -- by ownership sector","All establishment sizes",14,299,302,305,8116442,2511262,23386,2067,"",0.63,0.39,0.39,0.39,0.41,0.41,0.34,1.05,"",-1,-6.7,44,17.3,35,13.1,37,13.8,1998795,32.7,-286445,-10.2,-14853,-38.8,280,15.7
"01000","5","33313","57","0","2023","2","","Alabama -- Statewide","Private","NAICS 33313 Mining and oil and gas field machinery manufacturing","State, NAICS 5-digit -- by ownership sector","All establishment sizes",15,309,313,326,7629364,291389,2873,1857,"",0.67,0.39,0.40,0.41,0.48,0.41,0.39,1.19,"",1,7.1,18,6.2,19,6.5,30,10.1,-134495,-1.7,-34399,-10.6,-1845,-39.1,-177,-8.7
"01000","5","33313","57","0","2023","3","","Alabama -- Statewide","Private","NAICS 33313 Mining and oil and gas field machinery manufacturing","State, NAICS 5-digit -- by ownership sector","All establishment sizes",16,328,328,325,8271106,209816,2601,1946,"",0.72,0.41,0.41,0.41,0.50,0.45,0.47,1.22,"",1,6.7,28,9.3,17,5.5,15,4.8,438348,5.6,-86318,-29.1,-2761,-51.5,-17,-0.9
"01003","5","33313","77","0","2023","1","N","Baldwin County, Alabama","Private","NAICS 33313 Mining and oil and gas field machinery manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.85,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","33313","77","0","2023","2","N","Baldwin County, Alabama","Private","NAICS 33313 Mining and oil and gas field machinery manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.84,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","33313","77","0","2023","3","N","Baldwin County, Alabama","Private","NAICS 33313 Mining and oil and gas field machinery manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.84,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01063","5","33313","77","0","2023","1","N","Greene County, Alabama","Private","NAICS 33313 Mining and oil and gas field machinery manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",38.98,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01063","5","33313","77","0","2023","2","N","Greene County, Alabama","Private","NAICS 33313 Mining and oil and gas field machinery manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",39.19,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01063","5","33313","77","0","2023","3","N","Greene County, Alabama","Private","NAICS 33313 Mining and oil and gas field machinery manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",40.31,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01073","5","33313","77","0","2023","1","N","Jefferson County, Alabama","Private","NAICS 33313 Mining and oil and gas field machinery manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.31,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
