"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","333242","58","0","2023","1","N","Alabama -- Statewide","Private","NAICS 333242 Semiconductor machinery manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.20,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","333242","58","0","2023","2","N","Alabama -- Statewide","Private","NAICS 333242 Semiconductor machinery manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.20,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","333242","58","0","2023","3","N","Alabama -- Statewide","Private","NAICS 333242 Semiconductor machinery manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.20,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01999","5","333242","78","0","2023","1","N","Unknown Or Undefined, Alabama","Private","NAICS 333242 Semiconductor machinery manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.56,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01999","5","333242","78","0","2023","2","N","Unknown Or Undefined, Alabama","Private","NAICS 333242 Semiconductor machinery manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.55,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01999","5","333242","78","0","2023","3","N","Unknown Or Undefined, Alabama","Private","NAICS 333242 Semiconductor machinery manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.52,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04000","5","333242","58","0","2023","1","","Arizona -- Statewide","Private","NAICS 333242 Semiconductor machinery manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",19,1576,1581,1586,48223045,12935310,147668,2346,"",2.76,2.48,2.48,2.50,1.66,2.00,1.72,0.67,"",0,0.0,264,20.1,245,18.3,223,16.4,4741711,10.9,3296427,34.2,-30648,-17.2,-156,-6.2
"04000","5","333242","58","0","2023","2","","Arizona -- Statewide","Private","NAICS 333242 Semiconductor machinery manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",19,1584,1577,1581,91410899,738033,9265,4449,"",2.71,2.53,2.61,2.67,3.86,0.95,0.99,1.48,"",0,0.0,189,13.5,155,10.9,141,9.8,10294468,12.7,-389627,-34.6,-12346,-57.1,52,1.2
"04000","5","333242","58","0","2023","3","","Arizona -- Statewide","Private","NAICS 333242 Semiconductor machinery manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",19,1625,1629,1631,48068253,816509,10272,2271,"",2.63,2.74,2.68,2.70,2.48,1.65,1.57,0.91,"",0,0.0,140,9.4,128,8.5,110,7.2,-446610,-0.9,-360221,-30.6,-11669,-53.2,-213,-8.6
"04013","5","333242","78","0","2023","1","","Maricopa County, Arizona","Private","NAICS 333242 Semiconductor machinery manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",17,1440,1442,1445,45882678,11838775,146900,2447,"",3.91,3.22,3.22,3.24,2.13,2.51,2.60,0.66,"",0,0.0,271,23.2,248,20.8,228,18.7,4585589,11.1,3207567,37.2,-26797,-15.4,-215,-8.1
"04013","5","333242","78","0","2023","2","","Maricopa County, Arizona","Private","NAICS 333242 Semiconductor machinery manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",17,1442,1425,1424,88536335,547187,9132,4761,"",3.84,3.27,3.34,3.40,5.08,0.99,1.39,1.52,"",0,0.0,190,15.2,147,11.5,129,10.0,10045284,12.8,-507280,-48.1,-12107,-57.0,25,0.5
"04013","5","333242","78","0","2023","3","","Maricopa County, Arizona","Private","NAICS 333242 Semiconductor machinery manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",17,1430,1429,1435,45372842,686400,10181,2438,"",3.76,3.42,3.33,3.37,3.18,1.94,2.23,0.94,"",0,0.0,89,6.6,68,5.0,50,3.6,-525368,-1.1,-450165,-39.6,-11543,-53.1,-154,-5.9
"04019","5","333242","78","0","2023","1","N","Pima County, Arizona","Private","NAICS 333242 Semiconductor machinery manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.39,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04019","5","333242","78","0","2023","2","N","Pima County, Arizona","Private","NAICS 333242 Semiconductor machinery manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.36,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
