"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","33331","57","0","2023","1","","Alabama -- Statewide","Private","NAICS 33331 Commercial and service industry machinery manufacturing","State, NAICS 5-digit -- by ownership sector","All establishment sizes",35,761,774,782,14012020,6190570,22935,1396,"",0.86,0.62,0.63,0.64,0.62,0.58,0.40,0.98,"",4,12.9,76,11.1,89,13.0,90,13.0,3104481,28.5,814558,15.2,-41352,-64.3,175,14.3
"01000","5","33331","57","0","2023","2","","Alabama -- Statewide","Private","NAICS 33331 Commercial and service industry machinery manufacturing","State, NAICS 5-digit -- by ownership sector","All establishment sizes",36,800,811,783,14443539,550416,2250,1392,"",0.87,0.66,0.67,0.64,0.66,0.32,0.22,1.00,"",6,20.0,171,27.2,177,27.9,141,22.0,870126,6.4,132465,31.7,-2800,-55.4,-252,-15.3
"01000","5","33331","57","0","2023","3","","Alabama -- Statewide","Private","NAICS 33331 Commercial and service industry machinery manufacturing","State, NAICS 5-digit -- by ownership sector","All establishment sizes",35,782,779,786,14063681,558902,2066,1383,"",0.84,0.64,0.64,0.65,0.66,0.54,0.31,1.02,"",5,16.7,55,7.6,53,7.3,78,11.0,1289442,10.1,-47728,-7.9,-4931,-70.5,19,1.4
"01003","5","33331","77","0","2023","1","N","Baldwin County, Alabama","Private","NAICS 33331 Commercial and service industry machinery manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.93,0,0,0,0,0,0,0,"N",-1,-33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","33331","77","0","2023","2","N","Baldwin County, Alabama","Private","NAICS 33331 Commercial and service industry machinery manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.91,0,0,0,0,0,0,0,"N",-1,-33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","33331","77","0","2023","3","N","Baldwin County, Alabama","Private","NAICS 33331 Commercial and service industry machinery manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.90,0,0,0,0,0,0,0,"N",-1,-33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01049","5","33331","77","0","2023","1","N","DeKalb County, Alabama","Private","NAICS 33331 Commercial and service industry machinery manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.67,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01049","5","33331","77","0","2023","2","N","DeKalb County, Alabama","Private","NAICS 33331 Commercial and service industry machinery manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.64,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01049","5","33331","77","0","2023","3","N","DeKalb County, Alabama","Private","NAICS 33331 Commercial and service industry machinery manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.62,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01055","5","33331","77","0","2023","1","N","Etowah County, Alabama","Private","NAICS 33331 Commercial and service industry machinery manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.61,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01055","5","33331","77","0","2023","2","N","Etowah County, Alabama","Private","NAICS 33331 Commercial and service industry machinery manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.58,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01055","5","33331","77","0","2023","3","N","Etowah County, Alabama","Private","NAICS 33331 Commercial and service industry machinery manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.58,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01073","5","33331","77","0","2023","1","","Jefferson County, Alabama","Private","NAICS 33331 Commercial and service industry machinery manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,203,204,208,3924177,1656273,5219,1472,"",0.68,0.95,0.95,0.98,0.82,0.86,0.54,0.86,"",0,0.0,21,11.5,20,10.9,16,8.3,475123,13.8,163533,11.0,-15682,-75.0,46,3.2
"01073","5","33331","77","0","2023","2","","Jefferson County, Alabama","Private","NAICS 33331 Commercial and service industry machinery manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,209,208,213,4290199,114233,330,1572,"",0.67,0.98,0.98,1.00,0.98,0.41,0.20,0.99,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01073","5","33331","77","0","2023","3","","Jefferson County, Alabama","Private","NAICS 33331 Commercial and service industry machinery manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,205,203,205,3764278,72858,196,1417,"",0.67,0.95,0.96,0.98,0.89,0.42,0.19,0.92,"",0,0.0,-5,-2.4,-8,-3.8,-2,-1.0,-265892,-6.6,-65880,-47.5,-1904,-90.7,-64,-4.3
"01075","5","33331","77","0","2023","1","N","Lamar County, Alabama","Private","NAICS 33331 Commercial and service industry machinery manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",12.50,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01075","5","33331","77","0","2023","2","N","Lamar County, Alabama","Private","NAICS 33331 Commercial and service industry machinery manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",12.15,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01075","5","33331","77","0","2023","3","N","Lamar County, Alabama","Private","NAICS 33331 Commercial and service industry machinery manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",11.98,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01081","5","33331","77","0","2023","1","N","Lee County, Alabama","Private","NAICS 33331 Commercial and service industry machinery manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.92,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01081","5","33331","77","0","2023","2","N","Lee County, Alabama","Private","NAICS 33331 Commercial and service industry machinery manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.90,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01081","5","33331","77","0","2023","3","N","Lee County, Alabama","Private","NAICS 33331 Commercial and service industry machinery manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.89,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01089","5","33331","77","0","2023","1","","Madison County, Alabama","Private","NAICS 33331 Commercial and service industry machinery manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,162,165,165,2269023,1317411,3649,1064,"",2.37,1.24,1.26,1.26,0.76,1.15,0.74,0.61,"",3,60.0,26,19.1,28,20.4,28,20.4,734914,47.9,337735,34.5,-3369,-48.0,201,23.3
"01089","5","33331","77","0","2023","2","","Madison County, Alabama","Private","NAICS 33331 Commercial and service industry machinery manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,184,186,154,2933946,185997,499,1292,"",2.61,1.40,1.42,1.16,0.98,1.17,0.62,0.74,"N",4,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01089","5","33331","77","0","2023","3","","Madison County, Alabama","Private","NAICS 33331 Commercial and service industry machinery manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,159,158,153,2426387,154202,380,1191,"",2.58,1.20,1.20,1.17,0.83,1.55,0.69,0.70,"N",4,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01097","5","33331","77","0","2023","1","N","Mobile County, Alabama","Private","NAICS 33331 Commercial and service industry machinery manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.32,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01097","5","33331","77","0","2023","2","N","Mobile County, Alabama","Private","NAICS 33331 Commercial and service industry machinery manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.31,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01097","5","33331","77","0","2023","3","N","Mobile County, Alabama","Private","NAICS 33331 Commercial and service industry machinery manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.31,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01101","5","33331","77","0","2023","1","N","Montgomery County, Alabama","Private","NAICS 33331 Commercial and service industry machinery manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.07,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01101","5","33331","77","0","2023","2","N","Montgomery County, Alabama","Private","NAICS 33331 Commercial and service industry machinery manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.05,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01101","5","33331","77","0","2023","3","N","Montgomery County, Alabama","Private","NAICS 33331 Commercial and service industry machinery manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.05,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01117","5","33331","77","0","2023","1","N","Shelby County, Alabama","Private","NAICS 33331 Commercial and service industry machinery manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.54,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01117","5","33331","77","0","2023","2","N","Shelby County, Alabama","Private","NAICS 33331 Commercial and service industry machinery manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.54,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01117","5","33331","77","0","2023","3","N","Shelby County, Alabama","Private","NAICS 33331 Commercial and service industry machinery manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.54,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01121","5","33331","77","0","2023","1","N","Talladega County, Alabama","Private","NAICS 33331 Commercial and service industry machinery manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.46,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01121","5","33331","77","0","2023","2","N","Talladega County, Alabama","Private","NAICS 33331 Commercial and service industry machinery manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.41,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01121","5","33331","77","0","2023","3","N","Talladega County, Alabama","Private","NAICS 33331 Commercial and service industry machinery manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.41,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01131","5","33331","77","0","2023","1","N","Wilcox County, Alabama","Private","NAICS 33331 Commercial and service industry machinery manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",13.02,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01131","5","33331","77","0","2023","2","N","Wilcox County, Alabama","Private","NAICS 33331 Commercial and service industry machinery manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",12.72,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01131","5","33331","77","0","2023","3","N","Wilcox County, Alabama","Private","NAICS 33331 Commercial and service industry machinery manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",12.75,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01133","5","33331","77","0","2023","1","N","Winston County, Alabama","Private","NAICS 33331 Commercial and service industry machinery manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",7.23,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01133","5","33331","77","0","2023","2","N","Winston County, Alabama","Private","NAICS 33331 Commercial and service industry machinery manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",7.10,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01133","5","33331","77","0","2023","3","N","Winston County, Alabama","Private","NAICS 33331 Commercial and service industry machinery manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",7.13,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01999","5","33331","77","0","2023","1","","Unknown Or Undefined, Alabama","Private","NAICS 33331 Commercial and service industry machinery manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",10,13,13,14,300123,110923,1395,1731,"",1.89,0.27,0.27,0.30,0.23,0.19,0.29,0.80,"",1,11.1,5,62.5,5,62.5,6,75.0,157964,111.1,44672,67.4,451,47.8,364,26.6
"01999","5","33331","77","0","2023","2","","Unknown Or Undefined, Alabama","Private","NAICS 33331 Commercial and service industry machinery manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",10,14,14,14,284520,3368,34,1563,"",1.87,0.29,0.29,0.29,0.23,0.04,0.04,0.77,"",1,11.1,5,55.6,5,55.6,5,55.6,115870,68.7,-5272,-61.0,-26,-43.3,122,8.5
"01999","5","33331","77","0","2023","3","","Unknown Or Undefined, Alabama","Private","NAICS 33331 Commercial and service industry machinery manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,15,15,15,262733,13709,27,1347,"",1.68,0.31,0.31,0.31,0.22,0.23,0.05,0.69,"",-1,-10.0,4,36.4,4,36.4,3,25.0,37656,16.7,1660,13.8,-218,-89.0,-181,-11.8
"02000","5","33331","57","0","2023","1","N","Alaska -- Statewide","Private","NAICS 33331 Commercial and service industry machinery manufacturing","State, NAICS 5-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",0.46,0,0,0,0,0,0,0,"N",-1,-25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02000","5","33331","57","0","2023","2","N","Alaska -- Statewide","Private","NAICS 33331 Commercial and service industry machinery manufacturing","State, NAICS 5-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",0.45,0,0,0,0,0,0,0,"N",-1,-25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
