"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","333413","58","0","2023","1","N","Alabama -- Statewide","Private","NAICS 333413 Industrial and commercial fan and blower and air purification equipment manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",18,0,0,0,0,0,0,0,"N",1.61,0,0,0,0,0,0,0,"N",3,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","333413","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 333413 Industrial and commercial fan and blower and air purification equipment manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",18,667,664,698,11324191,769583,9782,1288,"",1.59,1.55,1.55,1.61,1.83,1.32,2.70,1.16,"N",2,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","333413","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 333413 Industrial and commercial fan and blower and air purification equipment manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",19,641,637,694,11123005,472969,6342,1302,"",1.66,1.48,1.48,1.61,1.84,1.17,2.33,1.21,"N",2,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","333413","78","0","2023","1","N","Baldwin County, Alabama","Private","NAICS 333413 Industrial and commercial fan and blower and air purification equipment manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",3.39,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","333413","78","0","2023","2","N","Baldwin County, Alabama","Private","NAICS 333413 Industrial and commercial fan and blower and air purification equipment manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",3.33,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","333413","78","0","2023","3","N","Baldwin County, Alabama","Private","NAICS 333413 Industrial and commercial fan and blower and air purification equipment manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",3.27,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","333413","78","0","2023","1","N","Calhoun County, Alabama","Private","NAICS 333413 Industrial and commercial fan and blower and air purification equipment manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",4.97,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","333413","78","0","2023","2","N","Calhoun County, Alabama","Private","NAICS 333413 Industrial and commercial fan and blower and air purification equipment manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",4.93,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","333413","78","0","2023","3","N","Calhoun County, Alabama","Private","NAICS 333413 Industrial and commercial fan and blower and air purification equipment manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",4.90,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01025","5","333413","78","0","2023","1","N","Clarke County, Alabama","Private","NAICS 333413 Industrial and commercial fan and blower and air purification equipment manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",18.13,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01025","5","333413","78","0","2023","2","N","Clarke County, Alabama","Private","NAICS 333413 Industrial and commercial fan and blower and air purification equipment manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",17.92,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01025","5","333413","78","0","2023","3","N","Clarke County, Alabama","Private","NAICS 333413 Industrial and commercial fan and blower and air purification equipment manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",17.85,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01039","5","333413","78","0","2023","1","N","Covington County, Alabama","Private","NAICS 333413 Industrial and commercial fan and blower and air purification equipment manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",12.94,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01039","5","333413","78","0","2023","2","N","Covington County, Alabama","Private","NAICS 333413 Industrial and commercial fan and blower and air purification equipment manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",12.76,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01039","5","333413","78","0","2023","3","N","Covington County, Alabama","Private","NAICS 333413 Industrial and commercial fan and blower and air purification equipment manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",12.61,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01043","5","333413","78","0","2023","1","N","Cullman County, Alabama","Private","NAICS 333413 Industrial and commercial fan and blower and air purification equipment manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",6.27,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01043","5","333413","78","0","2023","2","N","Cullman County, Alabama","Private","NAICS 333413 Industrial and commercial fan and blower and air purification equipment manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",6.17,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01043","5","333413","78","0","2023","3","N","Cullman County, Alabama","Private","NAICS 333413 Industrial and commercial fan and blower and air purification equipment manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",6.08,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01053","5","333413","78","0","2023","1","N","Escambia County, Alabama","Private","NAICS 333413 Industrial and commercial fan and blower and air purification equipment manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",14.92,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01053","5","333413","78","0","2023","2","N","Escambia County, Alabama","Private","NAICS 333413 Industrial and commercial fan and blower and air purification equipment manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",14.71,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01053","5","333413","78","0","2023","3","N","Escambia County, Alabama","Private","NAICS 333413 Industrial and commercial fan and blower and air purification equipment manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",14.70,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01073","5","333413","78","0","2023","1","N","Jefferson County, Alabama","Private","NAICS 333413 Industrial and commercial fan and blower and air purification equipment manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.24,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01073","5","333413","78","0","2023","2","N","Jefferson County, Alabama","Private","NAICS 333413 Industrial and commercial fan and blower and air purification equipment manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.23,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01073","5","333413","78","0","2023","3","N","Jefferson County, Alabama","Private","NAICS 333413 Industrial and commercial fan and blower and air purification equipment manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.21,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01081","5","333413","78","0","2023","1","N","Lee County, Alabama","Private","NAICS 333413 Industrial and commercial fan and blower and air purification equipment manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",6.68,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01081","5","333413","78","0","2023","2","N","Lee County, Alabama","Private","NAICS 333413 Industrial and commercial fan and blower and air purification equipment manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",6.55,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01081","5","333413","78","0","2023","3","N","Lee County, Alabama","Private","NAICS 333413 Industrial and commercial fan and blower and air purification equipment manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",6.45,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01097","5","333413","78","0","2023","1","N","Mobile County, Alabama","Private","NAICS 333413 Industrial and commercial fan and blower and air purification equipment manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.16,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01097","5","333413","78","0","2023","2","N","Mobile County, Alabama","Private","NAICS 333413 Industrial and commercial fan and blower and air purification equipment manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.15,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01097","5","333413","78","0","2023","3","N","Mobile County, Alabama","Private","NAICS 333413 Industrial and commercial fan and blower and air purification equipment manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.13,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01103","5","333413","78","0","2023","1","N","Morgan County, Alabama","Private","NAICS 333413 Industrial and commercial fan and blower and air purification equipment manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",4.33,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01103","5","333413","78","0","2023","2","N","Morgan County, Alabama","Private","NAICS 333413 Industrial and commercial fan and blower and air purification equipment manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",4.24,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01103","5","333413","78","0","2023","3","N","Morgan County, Alabama","Private","NAICS 333413 Industrial and commercial fan and blower and air purification equipment manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",4.20,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01117","5","333413","78","0","2023","1","N","Shelby County, Alabama","Private","NAICS 333413 Industrial and commercial fan and blower and air purification equipment manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.97,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01117","5","333413","78","0","2023","2","N","Shelby County, Alabama","Private","NAICS 333413 Industrial and commercial fan and blower and air purification equipment manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.98,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01117","5","333413","78","0","2023","3","N","Shelby County, Alabama","Private","NAICS 333413 Industrial and commercial fan and blower and air purification equipment manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.95,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01999","5","333413","78","0","2023","1","N","Unknown Or Undefined, Alabama","Private","NAICS 333413 Industrial and commercial fan and blower and air purification equipment manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",2.75,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01999","5","333413","78","0","2023","2","N","Unknown Or Undefined, Alabama","Private","NAICS 333413 Industrial and commercial fan and blower and air purification equipment manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",2.74,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01999","5","333413","78","0","2023","3","N","Unknown Or Undefined, Alabama","Private","NAICS 333413 Industrial and commercial fan and blower and air purification equipment manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,0,"N",3.40,0,0,0,0,0,0,0,"N",1,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04000","5","333413","58","0","2023","1","","Arizona -- Statewide","Private","NAICS 333413 Industrial and commercial fan and blower and air purification equipment manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",12,271,266,263,4516375,2161105,7160,1303,"",0.77,0.41,0.40,0.40,0.45,0.38,0.12,1.12,"",-1,-7.7,13,5.0,9,3.5,14,5.6,667554,17.3,427826,24.7,-754,-9.5,140,12.0
"04000","5","333413","58","0","2023","2","","Arizona -- Statewide","Private","NAICS 333413 Industrial and commercial fan and blower and air purification equipment manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",12,260,255,257,17481674,102545,353,5226,"",0.76,0.40,0.39,0.40,1.63,0.12,0.04,4.12,"",1,9.1,14,5.7,4,1.6,11,4.5,11330416,184.2,-96375,-48.4,-566,-61.6,3315,173.5
"04000","5","333413","58","0","2023","3","N","Arizona -- Statewide","Private","NAICS 333413 Industrial and commercial fan and blower and air purification equipment manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",12,0,0,0,0,0,0,0,"N",0.74,0,0,0,0,0,0,0,"N",2,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04013","5","333413","78","0","2023","1","N","Maricopa County, Arizona","Private","NAICS 333413 Industrial and commercial fan and blower and air purification equipment manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",10,0,0,0,0,0,0,0,"N",1.01,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04013","5","333413","78","0","2023","2","N","Maricopa County, Arizona","Private","NAICS 333413 Industrial and commercial fan and blower and air purification equipment manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",10,0,0,0,0,0,0,0,"N",1.00,0,0,0,0,0,0,0,"N",2,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04013","5","333413","78","0","2023","3","N","Maricopa County, Arizona","Private","NAICS 333413 Industrial and commercial fan and blower and air purification equipment manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",10,0,0,0,0,0,0,0,"N",0.99,0,0,0,0,0,0,0,"N",2,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04015","5","333413","78","0","2023","1","N","Mohave County, Arizona","Private","NAICS 333413 Industrial and commercial fan and blower and air purification equipment manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.90,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04015","5","333413","78","0","2023","2","N","Mohave County, Arizona","Private","NAICS 333413 Industrial and commercial fan and blower and air purification equipment manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.85,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04015","5","333413","78","0","2023","3","N","Mohave County, Arizona","Private","NAICS 333413 Industrial and commercial fan and blower and air purification equipment manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.81,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04019","5","333413","78","0","2023","1","N","Pima County, Arizona","Private","NAICS 333413 Industrial and commercial fan and blower and air purification equipment manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.61,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04019","5","333413","78","0","2023","2","N","Pima County, Arizona","Private","NAICS 333413 Industrial and commercial fan and blower and air purification equipment manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.60,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04019","5","333413","78","0","2023","3","N","Pima County, Arizona","Private","NAICS 333413 Industrial and commercial fan and blower and air purification equipment manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.60,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
