"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","333414","58","0","2023","1","N","Alabama -- Statewide","Private","NAICS 333414 Heating equipment (except warm air furnaces) manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",10,0,0,0,0,0,0,0,"N",1.51,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","333414","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 333414 Heating equipment (except warm air furnaces) manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",11,298,299,306,3370452,570874,5962,861,"",1.63,1.36,1.38,1.42,1.15,1.47,3.10,0.83,"N",1,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","333414","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 333414 Heating equipment (except warm air furnaces) manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",12,313,321,330,3699675,496863,7136,886,"",1.75,1.44,1.49,1.53,1.22,1.85,5.61,0.82,"N",1,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","333414","78","0","2023","1","N","Baldwin County, Alabama","Private","NAICS 333414 Heating equipment (except warm air furnaces) manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.86,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","333414","78","0","2023","2","N","Baldwin County, Alabama","Private","NAICS 333414 Heating equipment (except warm air furnaces) manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.79,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","333414","78","0","2023","3","N","Baldwin County, Alabama","Private","NAICS 333414 Heating equipment (except warm air furnaces) manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.74,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","333414","78","0","2023","1","N","Calhoun County, Alabama","Private","NAICS 333414 Heating equipment (except warm air furnaces) manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",8.40,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","333414","78","0","2023","2","N","Calhoun County, Alabama","Private","NAICS 333414 Heating equipment (except warm air furnaces) manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",8.26,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","333414","78","0","2023","3","N","Calhoun County, Alabama","Private","NAICS 333414 Heating equipment (except warm air furnaces) manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",8.21,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01051","5","333414","78","0","2023","1","N","Elmore County, Alabama","Private","NAICS 333414 Heating equipment (except warm air furnaces) manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",13.73,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01051","5","333414","78","0","2023","2","N","Elmore County, Alabama","Private","NAICS 333414 Heating equipment (except warm air furnaces) manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",13.54,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01051","5","333414","78","0","2023","3","N","Elmore County, Alabama","Private","NAICS 333414 Heating equipment (except warm air furnaces) manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",13.48,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01059","5","333414","78","0","2023","1","N","Franklin County, Alabama","Private","NAICS 333414 Heating equipment (except warm air furnaces) manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",70.26,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01059","5","333414","78","0","2023","2","N","Franklin County, Alabama","Private","NAICS 333414 Heating equipment (except warm air furnaces) manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",68.55,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01059","5","333414","78","0","2023","3","N","Franklin County, Alabama","Private","NAICS 333414 Heating equipment (except warm air furnaces) manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",68.26,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01071","5","333414","78","0","2023","1","N","Jackson County, Alabama","Private","NAICS 333414 Heating equipment (except warm air furnaces) manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",19.95,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01071","5","333414","78","0","2023","2","N","Jackson County, Alabama","Private","NAICS 333414 Heating equipment (except warm air furnaces) manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",19.50,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01071","5","333414","78","0","2023","3","N","Jackson County, Alabama","Private","NAICS 333414 Heating equipment (except warm air furnaces) manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",19.34,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01089","5","333414","78","0","2023","1","N","Madison County, Alabama","Private","NAICS 333414 Heating equipment (except warm air furnaces) manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",3.65,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01089","5","333414","78","0","2023","2","N","Madison County, Alabama","Private","NAICS 333414 Heating equipment (except warm air furnaces) manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",5.34,0,0,0,0,0,0,0,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01089","5","333414","78","0","2023","3","N","Madison County, Alabama","Private","NAICS 333414 Heating equipment (except warm air furnaces) manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",5.26,0,0,0,0,0,0,0,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01999","5","333414","78","0","2023","1","N","Unknown Or Undefined, Alabama","Private","NAICS 333414 Heating equipment (except warm air furnaces) manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",2.32,0,0,0,0,0,0,0,"N",-2,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01999","5","333414","78","0","2023","2","N","Unknown Or Undefined, Alabama","Private","NAICS 333414 Heating equipment (except warm air furnaces) manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",2.30,0,0,0,0,0,0,0,"N",-1,-33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01999","5","333414","78","0","2023","3","N","Unknown Or Undefined, Alabama","Private","NAICS 333414 Heating equipment (except warm air furnaces) manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",3.41,0,0,0,0,0,0,0,"N",-1,-25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02000","5","333414","58","0","2023","1","N","Alaska -- Statewide","Private","NAICS 333414 Heating equipment (except warm air furnaces) manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",2.80,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02000","5","333414","58","0","2023","2","N","Alaska -- Statewide","Private","NAICS 333414 Heating equipment (except warm air furnaces) manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",2.74,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02000","5","333414","58","0","2023","3","N","Alaska -- Statewide","Private","NAICS 333414 Heating equipment (except warm air furnaces) manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",2.72,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02020","5","333414","78","0","2023","1","N","Anchorage Municipality, Alaska","Private","NAICS 333414 Heating equipment (except warm air furnaces) manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.70,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02020","5","333414","78","0","2023","2","N","Anchorage Municipality, Alaska","Private","NAICS 333414 Heating equipment (except warm air furnaces) manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.67,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02020","5","333414","78","0","2023","3","N","Anchorage Municipality, Alaska","Private","NAICS 333414 Heating equipment (except warm air furnaces) manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.66,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02090","5","333414","78","0","2023","1","N","Fairbanks North Star Borough, Alaska","Private","NAICS 333414 Heating equipment (except warm air furnaces) manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",9.70,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02090","5","333414","78","0","2023","2","N","Fairbanks North Star Borough, Alaska","Private","NAICS 333414 Heating equipment (except warm air furnaces) manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",9.57,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
