"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","333618","58","0","2023","1","","Alabama -- Statewide","Private","NAICS 333618 Other engine equipment manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",14,1016,1000,1002,15107361,8180110,70837,1155,"",2.82,1.53,1.50,1.50,1.00,1.40,2.19,0.66,"",1,7.7,229,29.1,162,19.3,174,21.0,2357679,18.5,1519689,22.8,-51294,-42.0,-44,-3.7
"01000","5","333618","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 333618 Other engine equipment manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",14,1018,997,997,13867403,1118097,9245,1062,"",2.70,1.52,1.50,1.48,1.11,1.99,2.67,0.74,"",2,16.7,175,20.8,170,20.6,174,21.1,1978296,16.6,168757,17.8,-8617,-48.2,-39,-3.5
"01000","5","333618","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 333618 Other engine equipment manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",14,1014,1005,921,13646123,1042040,8699,1071,"",2.65,1.49,1.51,1.40,1.09,2.98,3.66,0.74,"N",1,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","333618","78","0","2023","1","N","Baldwin County, Alabama","Private","NAICS 333618 Other engine equipment manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",3.83,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","333618","78","0","2023","2","N","Baldwin County, Alabama","Private","NAICS 333618 Other engine equipment manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",3.64,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","333618","78","0","2023","3","N","Baldwin County, Alabama","Private","NAICS 333618 Other engine equipment manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",3.55,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01021","5","333618","78","0","2023","1","N","Chilton County, Alabama","Private","NAICS 333618 Other engine equipment manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",34.66,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01021","5","333618","78","0","2023","2","N","Chilton County, Alabama","Private","NAICS 333618 Other engine equipment manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",33.05,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01021","5","333618","78","0","2023","3","N","Chilton County, Alabama","Private","NAICS 333618 Other engine equipment manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",32.47,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01081","5","333618","78","0","2023","1","N","Lee County, Alabama","Private","NAICS 333618 Other engine equipment manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",7.53,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01081","5","333618","78","0","2023","2","N","Lee County, Alabama","Private","NAICS 333618 Other engine equipment manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",7.16,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01081","5","333618","78","0","2023","3","N","Lee County, Alabama","Private","NAICS 333618 Other engine equipment manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",7.00,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01089","5","333618","78","0","2023","1","N","Madison County, Alabama","Private","NAICS 333618 Other engine equipment manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,0,"N",12.19,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01089","5","333618","78","0","2023","2","N","Madison County, Alabama","Private","NAICS 333618 Other engine equipment manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,0,"N",11.59,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
