"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","333994","58","0","2023","1","","Alabama -- Statewide","Private","NAICS 333994 Industrial process furnace and oven manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",7,64,60,64,1083955,479072,3208,1331,"",1.45,0.50,0.47,0.50,0.51,0.42,0.40,1.03,"",1,16.7,2,3.2,-1,-1.6,5,8.5,114023,11.8,3110,0.7,-4662,-59.2,101,8.2
"01000","5","333994","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 333994 Industrial process furnace and oven manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",9,66,69,71,1245754,80248,1084,1396,"",1.84,0.52,0.54,0.55,0.58,0.52,1.00,1.09,"",3,50.0,5,8.2,7,11.3,11,18.3,189772,18.0,41135,105.2,234,27.5,64,4.8
"01000","5","333994","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 333994 Industrial process furnace and oven manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",9,69,66,64,1729902,41102,216,2006,"",1.84,0.53,0.51,0.50,0.77,0.45,0.30,1.50,"",3,50.0,2,3.0,1,1.5,1,1.6,543385,45.8,-171,-0.4,-480,-69.0,602,42.9
"01003","5","333994","78","0","2023","1","N","Baldwin County, Alabama","Private","NAICS 333994 Industrial process furnace and oven manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",3.94,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","333994","78","0","2023","2","N","Baldwin County, Alabama","Private","NAICS 333994 Industrial process furnace and oven manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",3.86,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","333994","78","0","2023","3","N","Baldwin County, Alabama","Private","NAICS 333994 Industrial process furnace and oven manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",3.82,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01021","5","333994","78","0","2023","1","N","Chilton County, Alabama","Private","NAICS 333994 Industrial process furnace and oven manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",35.69,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01021","5","333994","78","0","2023","2","N","Chilton County, Alabama","Private","NAICS 333994 Industrial process furnace and oven manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",35.09,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01021","5","333994","78","0","2023","3","N","Chilton County, Alabama","Private","NAICS 333994 Industrial process furnace and oven manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",34.99,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01033","5","333994","78","0","2023","1","N","Colbert County, Alabama","Private","NAICS 333994 Industrial process furnace and oven manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",20.85,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01033","5","333994","78","0","2023","2","N","Colbert County, Alabama","Private","NAICS 333994 Industrial process furnace and oven manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",20.83,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01033","5","333994","78","0","2023","3","N","Colbert County, Alabama","Private","NAICS 333994 Industrial process furnace and oven manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",20.67,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01055","5","333994","78","0","2023","1","N","Etowah County, Alabama","Private","NAICS 333994 Industrial process furnace and oven manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",13.65,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01055","5","333994","78","0","2023","2","N","Etowah County, Alabama","Private","NAICS 333994 Industrial process furnace and oven manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",13.43,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01055","5","333994","78","0","2023","3","N","Etowah County, Alabama","Private","NAICS 333994 Industrial process furnace and oven manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",13.45,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
