"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","33441","57","0","2023","1","","Alabama -- Statewide","Private","NAICS 33441 Semiconductor and other electronic component manufacturing","State, NAICS 5-digit -- by ownership sector","All establishment sizes",85,1645,1672,1685,32136916,13541497,102267,1483,"",0.96,0.31,0.31,0.31,0.20,0.26,0.36,0.64,"",14,19.7,39,2.4,46,2.8,62,3.8,5512018,20.7,887398,7.0,-46763,-31.4,217,17.1
"01000","5","33441","57","0","2023","2","","Alabama -- Statewide","Private","NAICS 33441 Semiconductor and other electronic component manufacturing","State, NAICS 5-digit -- by ownership sector","All establishment sizes",90,1722,1725,1712,28931248,1477255,12145,1294,"",1.00,0.32,0.33,0.32,0.20,0.18,0.25,0.61,"",14,18.4,111,6.9,103,6.4,78,4.8,2439458,9.2,-399984,-21.3,-15553,-56.2,38,3.0
"01000","5","33441","57","0","2023","3","","Alabama -- Statewide","Private","NAICS 33441 Semiconductor and other electronic component manufacturing","State, NAICS 5-digit -- by ownership sector","All establishment sizes",89,1702,1690,1687,31100972,1210390,11445,1413,"",0.97,0.31,0.31,0.32,0.20,0.27,0.39,0.65,"",10,12.7,42,2.5,45,2.7,48,2.9,812949,2.7,-754533,-38.4,-22614,-66.4,-1,-0.1
"01003","5","33441","77","0","2023","1","N","Baldwin County, Alabama","Private","NAICS 33441 Semiconductor and other electronic component manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.22,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","33441","77","0","2023","2","N","Baldwin County, Alabama","Private","NAICS 33441 Semiconductor and other electronic component manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.42,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","33441","77","0","2023","3","N","Baldwin County, Alabama","Private","NAICS 33441 Semiconductor and other electronic component manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.41,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","33441","77","0","2023","1","N","Bibb County, Alabama","Private","NAICS 33441 Semiconductor and other electronic component manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",4.17,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","33441","77","0","2023","2","N","Bibb County, Alabama","Private","NAICS 33441 Semiconductor and other electronic component manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",4.02,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","33441","77","0","2023","3","N","Bibb County, Alabama","Private","NAICS 33441 Semiconductor and other electronic component manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",3.96,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","33441","77","0","2023","1","N","Butler County, Alabama","Private","NAICS 33441 Semiconductor and other electronic component manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",3.19,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
