"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","334412","58","0","2023","1","","Alabama -- Statewide","Private","NAICS 334412 Bare printed circuit board manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",5,406,411,413,10003880,3325763,19126,1877,"",0.72,1.14,1.15,1.15,1.60,1.28,1.18,1.39,"",1,25.0,-44,-9.8,-37,-8.3,-23,-5.3,2177610,27.8,-241979,-6.8,-22057,-53.6,523,38.6
"01000","5","334412","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 334412 Bare printed circuit board manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",5,419,417,415,7672082,154245,1082,1415,"",0.73,1.16,1.16,1.14,1.30,0.31,0.41,1.13,"",1,25.0,-3,-0.7,0,0.0,3,0.7,-1114661,-12.7,-28165,-15.4,-934,-46.3,-206,-12.7
"01000","5","334412","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 334412 Bare printed circuit board manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",6,415,409,407,9093273,229119,856,1705,"",0.86,1.14,1.13,1.13,1.58,0.71,0.49,1.39,"",1,20.0,6,1.5,7,1.7,5,1.2,469667,5.4,33773,17.3,-1009,-54.1,64,3.9
"01083","5","334412","78","0","2023","1","N","Limestone County, Alabama","Private","NAICS 334412 Bare printed circuit board manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",12.31,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01083","5","334412","78","0","2023","2","N","Limestone County, Alabama","Private","NAICS 334412 Bare printed circuit board manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",12.23,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01083","5","334412","78","0","2023","3","N","Limestone County, Alabama","Private","NAICS 334412 Bare printed circuit board manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",12.01,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01089","5","334412","78","0","2023","1","N","Madison County, Alabama","Private","NAICS 334412 Bare printed circuit board manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",3.50,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01089","5","334412","78","0","2023","2","N","Madison County, Alabama","Private","NAICS 334412 Bare printed circuit board manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",3.50,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01089","5","334412","78","0","2023","3","N","Madison County, Alabama","Private","NAICS 334412 Bare printed circuit board manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",3.45,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01097","5","334412","78","0","2023","1","N","Mobile County, Alabama","Private","NAICS 334412 Bare printed circuit board manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.88,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
