"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","334610","58","0","2023","1","","Alabama -- Statewide","Private","NAICS 334610 Manufacturing and reproducing magnetic and optical media","State, NAICS 6-digit -- by ownership sector","All establishment sizes",18,65,66,67,1231877,527767,4565,1436,"",0.87,0.41,0.42,0.43,0.26,0.42,0.45,0.63,"N",12,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","334610","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 334610 Manufacturing and reproducing magnetic and optical media","State, NAICS 6-digit -- by ownership sector","All establishment sizes",18,64,63,62,1126656,27073,172,1376,"",0.86,0.41,0.41,0.40,0.27,0.16,0.15,0.67,"N",9,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","334610","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 334610 Manufacturing and reproducing magnetic and optical media","State, NAICS 6-digit -- by ownership sector","All establishment sizes",18,63,63,60,1211379,34930,221,1503,"",0.85,0.41,0.42,0.40,0.22,0.31,0.22,0.54,"",5,38.5,6,10.5,3,5.0,0,0.0,154630,14.6,12902,58.6,19,9.4,125,9.1
"01003","5","334610","78","0","2023","1","N","Baldwin County, Alabama","Private","NAICS 334610 Manufacturing and reproducing magnetic and optical media","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.92,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","334610","78","0","2023","2","N","Baldwin County, Alabama","Private","NAICS 334610 Manufacturing and reproducing magnetic and optical media","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.90,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","334610","78","0","2023","3","N","Baldwin County, Alabama","Private","NAICS 334610 Manufacturing and reproducing magnetic and optical media","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.88,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","334610","78","0","2023","1","N","Calhoun County, Alabama","Private","NAICS 334610 Manufacturing and reproducing magnetic and optical media","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",5.40,0,0,0,0,0,0,0,"N",2,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","334610","78","0","2023","2","N","Calhoun County, Alabama","Private","NAICS 334610 Manufacturing and reproducing magnetic and optical media","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",5.32,0,0,0,0,0,0,0,"N",2,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","334610","78","0","2023","3","N","Calhoun County, Alabama","Private","NAICS 334610 Manufacturing and reproducing magnetic and optical media","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",5.29,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01039","5","334610","78","0","2023","1","N","Covington County, Alabama","Private","NAICS 334610 Manufacturing and reproducing magnetic and optical media","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",7.02,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01039","5","334610","78","0","2023","2","N","Covington County, Alabama","Private","NAICS 334610 Manufacturing and reproducing magnetic and optical media","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",6.89,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01039","5","334610","78","0","2023","3","N","Covington County, Alabama","Private","NAICS 334610 Manufacturing and reproducing magnetic and optical media","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",6.81,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01069","5","334610","78","0","2023","1","N","Houston County, Alabama","Private","NAICS 334610 Manufacturing and reproducing magnetic and optical media","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.14,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01069","5","334610","78","0","2023","2","N","Houston County, Alabama","Private","NAICS 334610 Manufacturing and reproducing magnetic and optical media","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.08,0,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01069","5","334610","78","0","2023","3","N","Houston County, Alabama","Private","NAICS 334610 Manufacturing and reproducing magnetic and optical media","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.03,0,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01073","5","334610","78","0","2023","1","N","Jefferson County, Alabama","Private","NAICS 334610 Manufacturing and reproducing magnetic and optical media","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.68,0,0,0,0,0,0,0,"N",2,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01073","5","334610","78","0","2023","2","N","Jefferson County, Alabama","Private","NAICS 334610 Manufacturing and reproducing magnetic and optical media","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.66,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
