"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","335312","58","0","2023","1","","Alabama -- Statewide","Private","NAICS 335312 Motor and generator manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",12,488,488,486,7703635,3921297,21845,1216,"",1.23,0.97,0.98,0.98,0.97,0.93,0.97,0.99,"",-2,-14.3,63,14.8,54,12.4,51,11.7,1169147,17.9,450697,13.0,-26766,-55.1,51,4.4
"01000","5","335312","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 335312 Motor and generator manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",12,500,498,491,8495171,445917,3083,1317,"",1.20,1.02,1.02,0.99,1.04,0.65,0.86,1.03,"",-1,-7.7,66,15.2,52,11.7,38,8.4,884411,11.6,-31081,-6.5,-3693,-54.5,-1,-0.1
"01000","5","335312","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 335312 Motor and generator manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",12,471,467,471,7476247,259552,1097,1224,"",1.19,0.95,0.95,0.97,0.98,0.68,0.50,1.02,"",-1,-7.7,22,4.9,17,3.8,8,1.7,-58539,-0.8,-94766,-26.7,-4145,-79.1,-53,-4.2
"01009","5","335312","78","0","2023","1","N","Blount County, Alabama","Private","NAICS 335312 Motor and generator manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",17.07,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","335312","78","0","2023","2","N","Blount County, Alabama","Private","NAICS 335312 Motor and generator manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",16.86,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","335312","78","0","2023","3","N","Blount County, Alabama","Private","NAICS 335312 Motor and generator manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",16.79,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01043","5","335312","78","0","2023","1","N","Cullman County, Alabama","Private","NAICS 335312 Motor and generator manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",7.18,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01043","5","335312","78","0","2023","2","N","Cullman County, Alabama","Private","NAICS 335312 Motor and generator manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",7.00,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01043","5","335312","78","0","2023","3","N","Cullman County, Alabama","Private","NAICS 335312 Motor and generator manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",6.95,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01069","5","335312","78","0","2023","1","N","Houston County, Alabama","Private","NAICS 335312 Motor and generator manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",4.52,0,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01069","5","335312","78","0","2023","2","N","Houston County, Alabama","Private","NAICS 335312 Motor and generator manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",4.37,0,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01069","5","335312","78","0","2023","3","N","Houston County, Alabama","Private","NAICS 335312 Motor and generator manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",4.30,0,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
