"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","336211","58","0","2023","1","","Alabama -- Statewide","Private","NAICS 336211 Motor vehicle body manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",23,1740,1750,1743,36460012,14016077,59550,1608,"",1.96,2.26,2.24,2.22,3.55,2.31,1.30,1.58,"",1,4.5,145,9.1,144,9.0,149,9.3,6023279,19.8,1405568,11.1,-88619,-59.8,143,9.8
"01000","5","336211","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 336211 Motor vehicle body manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",23,1729,1729,1768,32088290,1218193,5712,1417,"",1.93,2.22,2.22,2.24,3.05,1.18,0.83,1.37,"",1,4.5,111,6.9,92,5.6,133,8.1,-163115,-0.5,-258728,-17.5,-11552,-66.9,-105,-6.9
"01000","5","336211","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 336211 Motor vehicle body manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",23,1789,1828,1825,35882577,1595572,6993,1522,"",1.92,2.24,2.29,2.28,3.34,2.11,1.23,1.47,"",0,0.0,167,10.3,190,11.6,164,9.9,4168491,13.1,-16703,-1.0,-12630,-64.4,35,2.4
"01003","5","336211","78","0","2023","1","N","Baldwin County, Alabama","Private","NAICS 336211 Motor vehicle body manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.62,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","336211","78","0","2023","2","N","Baldwin County, Alabama","Private","NAICS 336211 Motor vehicle body manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.58,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","336211","78","0","2023","3","N","Baldwin County, Alabama","Private","NAICS 336211 Motor vehicle body manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.57,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01049","5","336211","78","0","2023","1","N","DeKalb County, Alabama","Private","NAICS 336211 Motor vehicle body manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",9.31,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01049","5","336211","78","0","2023","2","N","DeKalb County, Alabama","Private","NAICS 336211 Motor vehicle body manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",9.16,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01049","5","336211","78","0","2023","3","N","DeKalb County, Alabama","Private","NAICS 336211 Motor vehicle body manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",9.13,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01055","5","336211","78","0","2023","1","N","Etowah County, Alabama","Private","NAICS 336211 Motor vehicle body manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",5.62,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01055","5","336211","78","0","2023","2","N","Etowah County, Alabama","Private","NAICS 336211 Motor vehicle body manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",5.50,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01055","5","336211","78","0","2023","3","N","Etowah County, Alabama","Private","NAICS 336211 Motor vehicle body manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",5.51,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01057","5","336211","78","0","2023","1","N","Fayette County, Alabama","Private","NAICS 336211 Motor vehicle body manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",35.44,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01057","5","336211","78","0","2023","2","N","Fayette County, Alabama","Private","NAICS 336211 Motor vehicle body manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",35.13,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01057","5","336211","78","0","2023","3","N","Fayette County, Alabama","Private","NAICS 336211 Motor vehicle body manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",35.22,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01073","5","336211","78","0","2023","1","N","Jefferson County, Alabama","Private","NAICS 336211 Motor vehicle body manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",2.38,0,0,0,0,0,0,0,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01073","5","336211","78","0","2023","2","N","Jefferson County, Alabama","Private","NAICS 336211 Motor vehicle body manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",2.33,0,0,0,0,0,0,0,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
