"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","3363","56","0","2023","1","","Alabama -- Statewide","Private","NAICS 3363 Motor vehicle parts manufacturing","State, NAICS 4-digit -- by ownership sector","All establishment sizes",233,27131,27289,27556,413118061,222266482,2008987,1163,"",2.86,3.56,3.56,3.60,3.80,4.01,4.18,1.06,"",12,5.4,2565,10.4,2462,9.9,2830,11.4,76325784,22.7,30820643,16.1,-985734,-32.9,114,10.9
"01000","5","3363","56","0","2023","2","","Alabama -- Statewide","Private","NAICS 3363 Motor vehicle parts manufacturing","State, NAICS 4-digit -- by ownership sector","All establishment sizes",230,27875,28336,28980,443160763,36468369,376677,1200,"",2.77,3.66,3.75,3.80,4.03,5.57,6.44,1.08,"",8,3.6,3075,12.4,3461,13.9,4076,16.4,73921399,20.0,8451600,30.2,-69586,-15.6,57,5.0
"01000","5","3363","56","0","2023","3","","Alabama -- Statewide","Private","NAICS 3363 Motor vehicle parts manufacturing","State, NAICS 4-digit -- by ownership sector","All establishment sizes",232,29332,29657,29729,433798476,37778371,486126,1128,"",2.76,3.83,3.89,3.90,4.02,7.87,11.18,1.04,"",7,3.1,4037,16.0,4354,17.2,4290,16.9,47188184,12.2,10873653,40.4,65856,15.7,-45,-3.8
"01001","5","3363","76","0","2023","1","N","Autauga County, Alabama","Private","NAICS 3363 Motor vehicle parts manufacturing","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",5.40,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","3363","76","0","2023","2","N","Autauga County, Alabama","Private","NAICS 3363 Motor vehicle parts manufacturing","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",5.32,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","3363","76","0","2023","3","N","Autauga County, Alabama","Private","NAICS 3363 Motor vehicle parts manufacturing","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",5.21,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","3363","76","0","2023","1","N","Baldwin County, Alabama","Private","NAICS 3363 Motor vehicle parts manufacturing","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",0.70,0,0,0,0,0,0,0,"N",2,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","3363","76","0","2023","2","N","Baldwin County, Alabama","Private","NAICS 3363 Motor vehicle parts manufacturing","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",0.68,0,0,0,0,0,0,0,"N",2,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","3363","76","0","2023","3","N","Baldwin County, Alabama","Private","NAICS 3363 Motor vehicle parts manufacturing","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",0.67,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","3363","76","0","2023","1","N","Bibb County, Alabama","Private","NAICS 3363 Motor vehicle parts manufacturing","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",9.04,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","3363","76","0","2023","2","N","Bibb County, Alabama","Private","NAICS 3363 Motor vehicle parts manufacturing","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",8.76,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","3363","76","0","2023","3","N","Bibb County, Alabama","Private","NAICS 3363 Motor vehicle parts manufacturing","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",8.63,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","3363","76","0","2023","1","N","Butler County, Alabama","Private","NAICS 3363 Motor vehicle parts manufacturing","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",10.36,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
