"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","33631","57","0","2023","1","","Alabama -- Statewide","Private","NAICS 33631 Motor vehicle gasoline engine and engine parts manufacturing","State, NAICS 5-digit -- by ownership sector","All establishment sizes",21,3194,3218,3193,56388524,25963373,104025,1355,"",1.76,4.08,4.12,4.09,4.74,4.69,2.31,1.16,"",1,5.0,380,13.5,394,14.0,361,12.7,12322686,28.0,3312213,14.6,-97584,-48.4,154,12.8
"01000","5","33631","57","0","2023","2","","Alabama -- Statewide","Private","NAICS 33631 Motor vehicle gasoline engine and engine parts manufacturing","State, NAICS 5-digit -- by ownership sector","All establishment sizes",21,3243,3255,3369,63677392,2731015,12402,1489,"",1.74,4.16,4.19,4.30,5.29,5.33,3.63,1.25,"",0,0.0,411,14.5,371,12.9,528,18.6,4703422,8.0,419609,18.2,-7658,-38.2,-101,-6.4
"01000","5","33631","57","0","2023","3","","Alabama -- Statewide","Private","NAICS 33631 Motor vehicle gasoline engine and engine parts manufacturing","State, NAICS 5-digit -- by ownership sector","All establishment sizes",21,3305,3337,3413,61741594,2729660,9787,1417,"",1.72,4.22,4.28,4.38,5.25,7.38,3.93,1.22,"",-1,-4.5,394,13.5,487,17.1,485,16.6,10974500,21.6,582705,27.1,-8711,-47.1,69,5.1
"01003","5","33631","77","0","2023","1","N","Baldwin County, Alabama","Private","NAICS 33631 Motor vehicle gasoline engine and engine parts manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",3.18,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","33631","77","0","2023","2","N","Baldwin County, Alabama","Private","NAICS 33631 Motor vehicle gasoline engine and engine parts manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",3.13,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","33631","77","0","2023","3","N","Baldwin County, Alabama","Private","NAICS 33631 Motor vehicle gasoline engine and engine parts manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",3.07,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01055","5","33631","77","0","2023","1","N","Etowah County, Alabama","Private","NAICS 33631 Motor vehicle gasoline engine and engine parts manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",5.51,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01055","5","33631","77","0","2023","2","N","Etowah County, Alabama","Private","NAICS 33631 Motor vehicle gasoline engine and engine parts manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",5.43,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01055","5","33631","77","0","2023","3","N","Etowah County, Alabama","Private","NAICS 33631 Motor vehicle gasoline engine and engine parts manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",5.40,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01073","5","33631","77","0","2023","1","N","Jefferson County, Alabama","Private","NAICS 33631 Motor vehicle gasoline engine and engine parts manufacturing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.58,0,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
