"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","336415","58","0","2023","1","N","Alabama -- Statewide","Private","NAICS 336415 Guided missile and space vehicle propulsion unit and propulsion unit parts manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",7,0,0,0,0,0,0,0,"N",6.64,0,0,0,0,0,0,0,"N",1,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","336415","58","0","2023","2","N","Alabama -- Statewide","Private","NAICS 336415 Guided missile and space vehicle propulsion unit and propulsion unit parts manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",7,0,0,0,0,0,0,0,"N",6.50,0,0,0,0,0,0,0,"N",1,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","336415","58","0","2023","3","N","Alabama -- Statewide","Private","NAICS 336415 Guided missile and space vehicle propulsion unit and propulsion unit parts manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",7,0,0,0,0,0,0,0,"N",6.36,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01089","5","336415","78","0","2023","1","N","Madison County, Alabama","Private","NAICS 336415 Guided missile and space vehicle propulsion unit and propulsion unit parts manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",34.40,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01089","5","336415","78","0","2023","2","N","Madison County, Alabama","Private","NAICS 336415 Guided missile and space vehicle propulsion unit and propulsion unit parts manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",33.51,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01089","5","336415","78","0","2023","3","N","Madison County, Alabama","Private","NAICS 336415 Guided missile and space vehicle propulsion unit and propulsion unit parts manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",32.67,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01999","5","336415","78","0","2023","1","","Unknown Or Undefined, Alabama","Private","NAICS 336415 Guided missile and space vehicle propulsion unit and propulsion unit parts manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,13,13,15,503969,108351,1725,2837,"",29.21,1.49,1.46,1.68,1.46,0.62,2.73,0.95,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01999","5","336415","78","0","2023","2","","Unknown Or Undefined, Alabama","Private","NAICS 336415 Guided missile and space vehicle propulsion unit and propulsion unit parts manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,15,15,14,547771,6567,177,2873,"",28.84,1.63,1.63,1.49,1.88,0.18,1.78,1.19,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01999","5","336415","78","0","2023","3","","Unknown Or Undefined, Alabama","Private","NAICS 336415 Guided missile and space vehicle propulsion unit and propulsion unit parts manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,14,14,14,458785,0,0,2521,"",28.29,1.46,1.46,1.43,1.34,0.00,0.00,0.93,"",0,0.0,3,27.3,2,16.7,2,16.7,71882,18.6,-42724,-100.0,-1154,-100.0,-30,-1.2
"05000","5","336415","58","0","2023","1","N","Arkansas -- Statewide","Private","NAICS 336415 Guided missile and space vehicle propulsion unit and propulsion unit parts manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.43,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
