"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","3","336419","58","0","2023","1","N","Alabama -- Statewide","Local Government","NAICS 336419 Other guided missile and space vehicle parts and auxiliary equipment manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",76.78,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","336419","58","0","2023","2","N","Alabama -- Statewide","Local Government","NAICS 336419 Other guided missile and space vehicle parts and auxiliary equipment manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",76.16,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","336419","58","0","2023","3","N","Alabama -- Statewide","Local Government","NAICS 336419 Other guided missile and space vehicle parts and auxiliary equipment manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",76.26,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","336419","58","0","2023","1","","Alabama -- Statewide","Private","NAICS 336419 Other guided missile and space vehicle parts and auxiliary equipment manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",5,1047,1049,1044,29784571,8466132,28214,2189,"",5.56,8.80,8.79,8.74,9.98,10.91,6.04,1.14,"",0,0.0,8,0.8,7,0.7,9,0.9,4948863,19.9,47368,0.6,-54501,-65.9,350,19.0
"01000","5","336419","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 336419 Other guided missile and space vehicle parts and auxiliary equipment manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",5,1048,1040,1059,24023285,324665,1589,1762,"",5.36,8.78,8.69,8.59,8.89,9.12,6.24,1.02,"",0,0.0,30,2.9,17,1.7,19,1.8,-2838520,-10.6,-284930,-46.7,-3773,-70.4,-250,-12.4
"01000","5","336419","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 336419 Other guided missile and space vehicle parts and auxiliary equipment manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",5,1053,1039,1033,27906246,269490,1290,2061,"",5.02,8.41,8.33,8.26,9.87,6.72,4.45,1.18,"",0,0.0,-15,-1.4,-11,-1.0,-12,-1.1,1385055,5.2,-346048,-56.2,-4298,-76.9,126,6.5
"01077","5","336419","78","0","2023","1","N","Lauderdale County, Alabama","Private","NAICS 336419 Other guided missile and space vehicle parts and auxiliary equipment manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",70.90,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01077","5","336419","78","0","2023","2","N","Lauderdale County, Alabama","Private","NAICS 336419 Other guided missile and space vehicle parts and auxiliary equipment manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",68.01,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01077","5","336419","78","0","2023","3","N","Lauderdale County, Alabama","Private","NAICS 336419 Other guided missile and space vehicle parts and auxiliary equipment manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",63.68,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01089","3","336419","78","0","2023","1","N","Madison County, Alabama","Local Government","NAICS 336419 Other guided missile and space vehicle parts and auxiliary equipment manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",928.82,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
