"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","3366","56","0","2023","1","","Alabama -- Statewide","Private","NAICS 3366 Ship and boat building","State, NAICS 4-digit -- by ownership sector","All establishment sizes",48,3667,3704,3817,68101408,30220001,147741,1405,"",1.71,1.76,1.76,1.82,2.18,1.83,1.75,1.22,"",-4,-7.7,56,1.6,76,2.1,168,4.6,8335199,13.9,801131,2.7,-211486,-58.9,138,10.9
"01000","5","3366","56","0","2023","2","","Alabama -- Statewide","Private","NAICS 3366 Ship and boat building","State, NAICS 4-digit -- by ownership sector","All establishment sizes",50,3793,3839,3880,71630362,3495594,16502,1436,"",1.75,1.82,1.85,1.86,2.28,1.39,0.80,1.24,"",0,0.0,149,4.1,242,6.7,245,6.7,5114080,7.7,1116519,46.9,-22533,-57.7,25,1.8
"01000","5","3366","56","0","2023","3","","Alabama -- Statewide","Private","NAICS 3366 Ship and boat building","State, NAICS 4-digit -- by ownership sector","All establishment sizes",52,3886,3892,3904,74260519,2994730,14917,1467,"",1.81,1.87,1.88,1.90,2.38,1.66,1.02,1.26,"",3,6.1,176,4.7,199,5.4,289,8.0,1437526,2.0,574519,23.7,-21003,-58.5,-58,-3.8
"01003","5","3366","76","0","2023","1","","Baldwin County, Alabama","Private","NAICS 3366 Ship and boat building","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,19,18,19,222573,136565,882,917,"",2.71,0.24,0.22,0.23,0.23,0.21,0.27,1.01,"",-1,-20.0,3,18.8,1,5.9,4,26.7,42998,23.9,14514,11.9,-832,-48.5,54,6.3
"01003","5","3366","76","0","2023","2","","Baldwin County, Alabama","Private","NAICS 3366 Ship and boat building","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,23,21,23,271204,49994,998,934,"",3.30,0.28,0.25,0.27,0.26,0.40,1.09,0.99,"",1,25.0,3,15.0,2,10.5,6,35.3,38486,16.5,-3820,-7.1,-1664,-62.5,-25,-2.6
"01003","5","3366","76","0","2023","3","","Baldwin County, Alabama","Private","NAICS 3366 Ship and boat building","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,21,18,19,294496,36626,773,1172,"",3.27,0.25,0.21,0.23,0.28,0.41,1.17,1.20,"",1,25.0,6,40.0,3,20.0,3,18.8,97654,49.6,14237,63.6,290,60.0,184,18.6
"01031","5","3366","76","0","2023","1","N","Coffee County, Alabama","Private","NAICS 3366 Ship and boat building","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",4.25,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01031","5","3366","76","0","2023","2","N","Coffee County, Alabama","Private","NAICS 3366 Ship and boat building","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",4.15,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01031","5","3366","76","0","2023","3","N","Coffee County, Alabama","Private","NAICS 3366 Ship and boat building","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",4.08,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01039","5","3366","76","0","2023","1","N","Covington County, Alabama","Private","NAICS 3366 Ship and boat building","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",5.16,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01039","5","3366","76","0","2023","2","N","Covington County, Alabama","Private","NAICS 3366 Ship and boat building","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",5.06,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01039","5","3366","76","0","2023","3","N","Covington County, Alabama","Private","NAICS 3366 Ship and boat building","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",5.05,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01051","5","3366","76","0","2023","1","N","Elmore County, Alabama","Private","NAICS 3366 Ship and boat building","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",3.25,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01051","5","3366","76","0","2023","2","N","Elmore County, Alabama","Private","NAICS 3366 Ship and boat building","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",3.20,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01051","5","3366","76","0","2023","3","N","Elmore County, Alabama","Private","NAICS 3366 Ship and boat building","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",3.22,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
