"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","3","3371","56","0","2023","1","N","Alabama -- Statewide","Local Government","NAICS 3371 Household and institutional furniture and kitchen cabinet manufacturing","State, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",76.78,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","3371","56","0","2023","2","N","Alabama -- Statewide","Local Government","NAICS 3371 Household and institutional furniture and kitchen cabinet manufacturing","State, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",76.16,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","3371","56","0","2023","3","N","Alabama -- Statewide","Local Government","NAICS 3371 Household and institutional furniture and kitchen cabinet manufacturing","State, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",76.26,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","3371","56","0","2023","1","","Alabama -- Statewide","Private","NAICS 3371 Household and institutional furniture and kitchen cabinet manufacturing","State, NAICS 4-digit -- by ownership sector","All establishment sizes",324,6439,6399,6392,74186702,47392232,227454,890,"",1.94,2.04,2.04,2.04,2.31,2.12,2.22,1.13,"",-3,-0.9,-174,-2.6,-334,-5.0,-404,-5.9,2608986,3.6,-640642,-1.3,-330277,-59.2,70,8.5
"01000","5","3371","56","0","2023","2","","Alabama -- Statewide","Private","NAICS 3371 Household and institutional furniture and kitchen cabinet manufacturing","State, NAICS 4-digit -- by ownership sector","All establishment sizes",326,6299,6314,6360,71994547,7993835,49473,876,"",1.94,2.04,2.06,2.06,2.20,1.48,1.82,1.07,"",1,0.3,-486,-7.2,-609,-8.8,-588,-8.5,-3605442,-4.8,-2316450,-22.5,-77265,-61.0,31,3.7
"01000","5","3371","56","0","2023","3","","Alabama -- Statewide","Private","NAICS 3371 Household and institutional furniture and kitchen cabinet manufacturing","State, NAICS 4-digit -- by ownership sector","All establishment sizes",327,6320,6306,6232,71838324,5859872,35065,879,"",1.94,2.05,2.07,2.07,2.20,1.54,1.76,1.07,"",-2,-0.6,-539,-7.9,-389,-5.8,-507,-7.5,-6404087,-8.2,-2072977,-26.1,-56838,-61.8,-11,-1.2
"01001","5","3371","76","0","2023","1","N","Autauga County, Alabama","Private","NAICS 3371 Household and institutional furniture and kitchen cabinet manufacturing","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.88,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","3371","76","0","2023","2","N","Autauga County, Alabama","Private","NAICS 3371 Household and institutional furniture and kitchen cabinet manufacturing","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.88,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","3371","76","0","2023","3","N","Autauga County, Alabama","Private","NAICS 3371 Household and institutional furniture and kitchen cabinet manufacturing","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.87,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","3371","76","0","2023","1","","Baldwin County, Alabama","Private","NAICS 3371 Household and institutional furniture and kitchen cabinet manufacturing","County, NAICS 4-digit -- by ownership sector","All establishment sizes",21,171,175,168,1846127,1258171,15746,829,"",2.39,1.40,1.43,1.35,1.86,1.43,4.02,1.33,"",-2,-8.7,-30,-14.9,-27,-13.4,-36,-17.6,-131280,-6.6,-157881,-11.1,-22270,-58.6,77,10.2
