"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","337110","58","0","2023","1","","Alabama -- Statewide","Private","NAICS 337110 Wood kitchen cabinet and countertop manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",264,4906,4835,4820,57422398,36423411,160505,910,"",2.51,3.03,3.00,3.01,3.47,3.17,2.85,1.15,"",-1,-0.4,-89,-1.8,-255,-5.0,-336,-6.5,2180673,3.9,-509273,-1.4,-225030,-58.4,74,8.9
"01000","5","337110","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 337110 Wood kitchen cabinet and countertop manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",264,4835,4848,4874,55085334,6127259,32249,873,"",2.50,3.07,3.09,3.09,3.25,2.20,2.12,1.05,"",1,0.4,-280,-5.5,-410,-7.8,-421,-8.0,-2174913,-3.8,-1434438,-19.0,-47926,-59.8,30,3.6
"01000","5","337110","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 337110 Wood kitchen cabinet and countertop manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",263,4849,4860,4803,55684943,4695647,23349,885,"",2.49,3.05,3.08,3.07,3.24,2.14,1.91,1.05,"",-4,-1.5,-441,-8.3,-279,-5.4,-388,-7.5,-4970609,-8.2,-1762760,-27.3,-44863,-65.8,-11,-1.2
"01001","5","337110","78","0","2023","1","-","Autauga County, Alabama","Private","NAICS 337110 Wood kitchen cabinet and countertop manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","337110","78","0","2023","2","N","Autauga County, Alabama","Private","NAICS 337110 Wood kitchen cabinet and countertop manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.39,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","337110","78","0","2023","3","N","Autauga County, Alabama","Private","NAICS 337110 Wood kitchen cabinet and countertop manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.38,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","337110","78","0","2023","1","","Baldwin County, Alabama","Private","NAICS 337110 Wood kitchen cabinet and countertop manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",16,79,84,83,838053,611707,5020,786,"",2.89,1.26,1.34,1.31,1.63,1.36,2.34,1.26,"",-2,-11.1,1,1.3,7,9.1,2,2.5,125639,17.6,86579,16.5,-1316,-20.8,89,12.8
"01003","5","337110","78","0","2023","2","","Baldwin County, Alabama","Private","NAICS 337110 Wood kitchen cabinet and countertop manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",15,82,85,90,873555,159223,1049,784,"",2.68,1.30,1.35,1.39,1.56,1.14,1.57,1.16,"",-3,-16.7,1,1.2,2,2.4,9,11.1,53826,6.6,-11741,-6.9,-1166,-52.6,12,1.6
"01003","5","337110","78","0","2023","3","","Baldwin County, Alabama","Private","NAICS 337110 Wood kitchen cabinet and countertop manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",15,90,88,80,899327,99384,424,804,"",2.66,1.38,1.37,1.28,1.53,0.92,0.77,1.13,"",-3,-16.7,13,16.9,12,15.8,4,5.3,55577,6.6,3015,3.1,-870,-67.2,-46,-5.4
"01005","5","337110","78","0","2023","1","N","Barbour County, Alabama","Private","NAICS 337110 Wood kitchen cabinet and countertop manufacturing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.50,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
