"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","4233","56","0","2023","1","","Alabama -- Statewide","Private","NAICS 4233 Lumber and other construction materials merchant wholesalers","State, NAICS 4-digit -- by ownership sector","All establishment sizes",274,3129,3127,3151,60504056,24880538,168442,1484,"",0.85,0.90,0.89,0.90,0.92,0.85,1.04,1.03,"",29,11.8,212,7.3,161,5.4,182,6.1,-2606723,-4.1,1737404,7.5,-141297,-45.6,-161,-9.8
"01000","5","4233","56","0","2023","2","","Alabama -- Statewide","Private","NAICS 4233 Lumber and other construction materials merchant wholesalers","State, NAICS 4-digit -- by ownership sector","All establishment sizes",287,3118,3045,3082,56618632,3978722,54460,1413,"",0.88,0.89,0.87,0.87,0.99,0.69,1.37,1.13,"",33,13.0,118,3.9,35,1.2,143,4.9,-1076026,-1.9,340238,9.4,-4956,-8.3,-75,-5.0
"01000","5","4233","56","0","2023","3","","Alabama -- Statewide","Private","NAICS 4233 Lumber and other construction materials merchant wholesalers","State, NAICS 4-digit -- by ownership sector","All establishment sizes",292,3050,3059,3053,53957036,2820150,24792,1359,"",0.88,0.85,0.86,0.86,0.93,0.67,0.86,1.08,"",29,11.0,122,4.2,115,3.9,105,3.6,-3387782,-5.9,-336267,-10.7,-31453,-55.9,-141,-9.4
"01001","5","4233","76","0","2023","1","N","Autauga County, Alabama","Private","NAICS 4233 Lumber and other construction materials merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.46,0,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","4233","76","0","2023","2","N","Autauga County, Alabama","Private","NAICS 4233 Lumber and other construction materials merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.45,0,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","4233","76","0","2023","3","N","Autauga County, Alabama","Private","NAICS 4233 Lumber and other construction materials merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.44,0,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","4233","76","0","2023","1","","Baldwin County, Alabama","Private","NAICS 4233 Lumber and other construction materials merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",17,179,181,172,3147590,1280475,6015,1365,"",1.00,1.32,1.33,1.24,1.55,1.12,0.98,1.19,"",2,13.3,14,8.5,8,4.6,9,5.5,-48098,-1.5,-80461,-5.9,-13972,-69.9,-107,-7.3
"01003","5","4233","76","0","2023","2","","Baldwin County, Alabama","Private","NAICS 4233 Lumber and other construction materials merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",20,189,182,180,3405003,227741,2496,1426,"",1.15,1.35,1.28,1.23,1.80,0.79,1.43,1.40,"",3,17.6,19,11.2,11,6.4,13,7.8,196584,6.1,40581,21.7,-720,-22.4,-31,-2.1
"01003","5","4233","76","0","2023","3","","Baldwin County, Alabama","Private","NAICS 4233 Lumber and other construction materials merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",20,189,183,165,3109800,168949,1593,1336,"",1.13,1.29,1.26,1.17,1.56,0.82,1.22,1.26,"",2,11.1,13,7.4,7,4.0,-3,-1.8,-168733,-5.1,-8453,-4.8,-1235,-43.7,-119,-8.2
"01005","5","4233","76","0","2023","1","N","Barbour County, Alabama","Private","NAICS 4233 Lumber and other construction materials merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.63,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","4233","76","0","2023","2","N","Barbour County, Alabama","Private","NAICS 4233 Lumber and other construction materials merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.59,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","4233","76","0","2023","3","N","Barbour County, Alabama","Private","NAICS 4233 Lumber and other construction materials merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.61,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","4233","76","0","2023","1","N","Blount County, Alabama","Private","NAICS 4233 Lumber and other construction materials merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.52,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","4233","76","0","2023","2","N","Blount County, Alabama","Private","NAICS 4233 Lumber and other construction materials merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.51,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","4233","76","0","2023","3","N","Blount County, Alabama","Private","NAICS 4233 Lumber and other construction materials merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.51,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","4233","76","0","2023","1","","Calhoun County, Alabama","Private","NAICS 4233 Lumber and other construction materials merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,16,16,16,229967,125835,661,1106,"",0.69,0.21,0.21,0.22,0.19,0.24,0.23,0.90,"",0,0.0,-3,-15.8,-2,-11.1,-2,-11.1,13294,6.1,-1233,-1.0,-1292,-66.2,197,21.7
"01015","5","4233","76","0","2023","2","","Calhoun County, Alabama","Private","NAICS 4233 Lumber and other construction materials merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,22,15,16,227603,60001,1528,991,"",0.85,0.29,0.20,0.21,0.22,0.51,2.01,0.94,"",1,25.0,4,22.2,-3,-16.7,-2,-11.1,-43,0.0,40560,208.6,1178,336.6,18,1.8
