"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","423330","58","0","2023","1","","Alabama -- Statewide","Private","NAICS 423330 Roofing, siding, and insulation material merchant wholesalers","State, NAICS 6-digit -- by ownership sector","All establishment sizes",42,269,268,271,6560387,2116004,11708,1874,"",0.82,0.46,0.46,0.46,0.50,0.44,0.38,1.09,"",-1,-2.3,0,0.0,-9,-3.2,-3,-1.1,502342,8.3,-21142,-1.0,-11796,-50.2,169,9.9
"01000","5","423330","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 423330 Roofing, siding, and insulation material merchant wholesalers","State, NAICS 6-digit -- by ownership sector","All establishment sizes",41,279,278,293,5905561,232691,1949,1603,"",0.78,0.47,0.46,0.48,0.60,0.27,0.29,1.29,"",-2,-4.7,5,1.8,-6,-2.1,13,4.6,493863,9.1,43849,23.2,-338,-14.8,113,7.6
"01000","5","423330","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 423330 Roofing, siding, and insulation material merchant wholesalers","State, NAICS 6-digit -- by ownership sector","All establishment sizes",42,293,303,300,5006408,264625,1982,1289,"",0.79,0.48,0.49,0.49,0.48,0.39,0.38,0.98,"",-1,-2.3,7,2.4,10,3.4,10,3.4,-950339,-16.0,49653,23.1,-121,-5.8,-293,-18.5
"01001","5","423330","78","0","2023","1","N","Autauga County, Alabama","Private","NAICS 423330 Roofing, siding, and insulation material merchant wholesalers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.85,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","423330","78","0","2023","2","N","Autauga County, Alabama","Private","NAICS 423330 Roofing, siding, and insulation material merchant wholesalers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.79,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","423330","78","0","2023","3","N","Autauga County, Alabama","Private","NAICS 423330 Roofing, siding, and insulation material merchant wholesalers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.74,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","423330","78","0","2023","1","N","Calhoun County, Alabama","Private","NAICS 423330 Roofing, siding, and insulation material merchant wholesalers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.08,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","423330","78","0","2023","2","N","Calhoun County, Alabama","Private","NAICS 423330 Roofing, siding, and insulation material merchant wholesalers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.06,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","423330","78","0","2023","3","N","Calhoun County, Alabama","Private","NAICS 423330 Roofing, siding, and insulation material merchant wholesalers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.05,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01033","5","423330","78","0","2023","1","N","Colbert County, Alabama","Private","NAICS 423330 Roofing, siding, and insulation material merchant wholesalers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",3.90,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
