"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","4235","56","0","2023","1","","Alabama -- Statewide","Private","NAICS 4235 Metal and mineral (except petroleum) merchant wholesalers","State, NAICS 4-digit -- by ownership sector","All establishment sizes",176,3527,3553,3572,98972175,28744789,113645,2144,"",1.19,1.97,1.97,1.98,2.65,1.95,1.34,1.34,"",11,6.7,295,9.1,315,9.7,333,10.3,5039046,5.4,2990884,11.6,-154393,-57.6,-89,-4.0
"01000","5","4235","56","0","2023","2","","Alabama -- Statewide","Private","NAICS 4235 Metal and mineral (except petroleum) merchant wholesalers","State, NAICS 4-digit -- by ownership sector","All establishment sizes",179,3549,3539,3585,69845907,2537040,10920,1510,"",1.19,1.98,1.98,1.98,2.11,1.11,0.77,1.07,"",10,5.9,303,9.3,249,7.6,259,7.8,1663271,2.4,-215999,-7.8,-16374,-60.0,-85,-5.3
"01000","5","4235","56","0","2023","3","","Alabama -- Statewide","Private","NAICS 4235 Metal and mineral (except petroleum) merchant wholesalers","State, NAICS 4-digit -- by ownership sector","All establishment sizes",181,3591,3568,3588,72983531,2343413,9317,1567,"",1.20,1.98,1.97,1.98,2.23,1.46,0.86,1.13,"",11,6.5,248,7.4,226,6.8,227,6.8,4681161,6.9,-38532,-1.6,-14994,-61.7,-2,-0.1
"01003","5","4235","76","0","2023","1","N","Baldwin County, Alabama","Private","NAICS 4235 Metal and mineral (except petroleum) merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.26,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","4235","76","0","2023","2","N","Baldwin County, Alabama","Private","NAICS 4235 Metal and mineral (except petroleum) merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",0.38,0,0,0,0,0,0,0,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","4235","76","0","2023","3","","Baldwin County, Alabama","Private","NAICS 4235 Metal and mineral (except petroleum) merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,16,16,14,276373,13966,28,1386,"",0.37,0.21,0.22,0.19,0.25,0.18,0.06,1.18,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","4235","76","0","2023","1","","Bibb County, Alabama","Private","NAICS 4235 Metal and mineral (except petroleum) merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,38,39,41,475837,240033,1346,931,"",7.44,9.06,9.23,9.78,6.46,7.41,6.23,0.69,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","4235","76","0","2023","2","","Bibb County, Alabama","Private","NAICS 4235 Metal and mineral (except petroleum) merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,37,37,38,417599,17279,108,860,"",7.26,8.98,8.90,9.15,6.41,3.86,3.18,0.71,"",0,0.0,-3,-7.5,-2,-5.1,1,2.7,22632,5.7,-10035,-36.7,-248,-69.7,74,9.4
"01007","5","4235","76","0","2023","3","","Bibb County, Alabama","Private","NAICS 4235 Metal and mineral (except petroleum) merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,37,34,38,401180,10722,78,849,"",7.21,8.92,8.16,9.09,6.27,3.50,3.65,0.72,"",0,0.0,1,2.8,-1,-2.9,3,8.6,-9359,-2.3,-17502,-62.0,-333,-81.0,-45,-5.0
"01009","5","4235","76","0","2023","1","N","Blount County, Alabama","Private","NAICS 4235 Metal and mineral (except petroleum) merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",2.25,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
