"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","42369","57","0","2023","1","","Alabama -- Statewide","Private","NAICS 42369 Other electronic parts and equipment merchant wholesalers","State, NAICS 5-digit -- by ownership sector","All establishment sizes",86,557,558,567,14144410,4461898,33300,1941,"",0.43,0.28,0.28,0.29,0.26,0.25,0.33,0.90,"",8,10.3,31,5.9,27,5.1,30,5.6,2663996,23.2,268313,6.4,-25831,-43.7,279,16.8
"01000","5","42369","57","0","2023","2","","Alabama -- Statewide","Private","NAICS 42369 Other electronic parts and equipment merchant wholesalers","State, NAICS 5-digit -- by ownership sector","All establishment sizes",93,558,573,573,12276598,362028,1873,1663,"",0.46,0.29,0.30,0.29,0.25,0.15,0.13,0.85,"",12,14.8,18,3.3,28,5.1,15,2.7,-81728,-0.7,-50177,-12.2,-3937,-67.8,-73,-4.2
"01000","5","42369","57","0","2023","3","","Alabama -- Statewide","Private","NAICS 42369 Other electronic parts and equipment merchant wholesalers","State, NAICS 5-digit -- by ownership sector","All establishment sizes",97,581,603,604,13721286,440811,4005,1771,"",0.48,0.30,0.31,0.31,0.28,0.29,0.42,0.92,"",13,15.5,33,6.0,52,9.4,44,7.9,1019942,8.0,90786,25.9,-1190,-22.9,4,0.2
"01003","5","42369","77","0","2023","1","N","Baldwin County, Alabama","Private","NAICS 42369 Other electronic parts and equipment merchant wholesalers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",0.38,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","42369","77","0","2023","2","N","Baldwin County, Alabama","Private","NAICS 42369 Other electronic parts and equipment merchant wholesalers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",0.38,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","42369","77","0","2023","3","N","Baldwin County, Alabama","Private","NAICS 42369 Other electronic parts and equipment merchant wholesalers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",0.37,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01025","5","42369","77","0","2023","1","-","Clarke County, Alabama","Private","NAICS 42369 Other electronic parts and equipment merchant wholesalers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01025","5","42369","77","0","2023","2","-","Clarke County, Alabama","Private","NAICS 42369 Other electronic parts and equipment merchant wholesalers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01025","5","42369","77","0","2023","3","N","Clarke County, Alabama","Private","NAICS 42369 Other electronic parts and equipment merchant wholesalers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.01,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01031","5","42369","77","0","2023","1","N","Coffee County, Alabama","Private","NAICS 42369 Other electronic parts and equipment merchant wholesalers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.60,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
