"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","4243","56","0","2023","1","","Alabama -- Statewide","Private","NAICS 4243 Apparel, piece goods, and notions merchant wholesalers","State, NAICS 4-digit -- by ownership sector","All establishment sizes",54,645,667,661,8066759,4841201,45479,944,"",0.25,0.33,0.34,0.34,0.24,0.32,0.42,0.73,"",9,20.0,127,24.5,140,26.6,118,21.7,1681751,26.3,966282,24.9,-42798,-48.5,16,1.7
"01000","5","4243","56","0","2023","2","","Alabama -- Statewide","Private","NAICS 4243 Apparel, piece goods, and notions merchant wholesalers","State, NAICS 4-digit -- by ownership sector","All establishment sizes",56,667,648,657,8158783,709612,6004,955,"",0.26,0.34,0.33,0.33,0.24,0.26,0.29,0.72,"",9,19.1,113,20.4,75,13.1,74,12.7,564852,7.4,-175620,-19.8,-14989,-71.4,-70,-6.8
"01000","5","4243","56","0","2023","3","","Alabama -- Statewide","Private","NAICS 4243 Apparel, piece goods, and notions merchant wholesalers","State, NAICS 4-digit -- by ownership sector","All establishment sizes",61,650,635,611,7926500,418186,4641,965,"",0.28,0.33,0.32,0.31,0.24,0.21,0.29,0.75,"",12,24.5,76,13.2,60,10.4,31,5.3,632595,8.7,-89774,-17.7,-7081,-60.4,-9,-0.9
"01003","5","4243","76","0","2023","1","N","Baldwin County, Alabama","Private","NAICS 4243 Apparel, piece goods, and notions merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.18,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","4243","76","0","2023","2","N","Baldwin County, Alabama","Private","NAICS 4243 Apparel, piece goods, and notions merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.17,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","4243","76","0","2023","3","N","Baldwin County, Alabama","Private","NAICS 4243 Apparel, piece goods, and notions merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.17,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","4243","76","0","2023","1","N","Calhoun County, Alabama","Private","NAICS 4243 Apparel, piece goods, and notions merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.26,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","4243","76","0","2023","2","N","Calhoun County, Alabama","Private","NAICS 4243 Apparel, piece goods, and notions merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.25,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","4243","76","0","2023","3","N","Calhoun County, Alabama","Private","NAICS 4243 Apparel, piece goods, and notions merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.26,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01031","5","4243","76","0","2023","1","N","Coffee County, Alabama","Private","NAICS 4243 Apparel, piece goods, and notions merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.55,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01031","5","4243","76","0","2023","2","N","Coffee County, Alabama","Private","NAICS 4243 Apparel, piece goods, and notions merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.54,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01031","5","4243","76","0","2023","3","N","Coffee County, Alabama","Private","NAICS 4243 Apparel, piece goods, and notions merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.53,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01043","5","4243","76","0","2023","1","N","Cullman County, Alabama","Private","NAICS 4243 Apparel, piece goods, and notions merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.32,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01043","5","4243","76","0","2023","2","N","Cullman County, Alabama","Private","NAICS 4243 Apparel, piece goods, and notions merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.32,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01043","5","4243","76","0","2023","3","N","Cullman County, Alabama","Private","NAICS 4243 Apparel, piece goods, and notions merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.32,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01045","5","4243","76","0","2023","1","N","Dale County, Alabama","Private","NAICS 4243 Apparel, piece goods, and notions merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.66,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01045","5","4243","76","0","2023","2","N","Dale County, Alabama","Private","NAICS 4243 Apparel, piece goods, and notions merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.65,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01045","5","4243","76","0","2023","3","N","Dale County, Alabama","Private","NAICS 4243 Apparel, piece goods, and notions merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.64,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01049","5","4243","76","0","2023","1","N","DeKalb County, Alabama","Private","NAICS 4243 Apparel, piece goods, and notions merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.50,0,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
