"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","4244","56","0","2023","1","","Alabama -- Statewide","Private","NAICS 4244 Grocery and related product merchant wholesalers","State, NAICS 4-digit -- by ownership sector","All establishment sizes",391,10324,10417,10403,168226954,77720328,288878,1247,"",0.62,0.95,0.95,0.95,0.99,0.90,0.61,1.04,"",36,10.1,495,5.0,491,4.9,537,5.4,22995589,15.8,5938691,8.3,-381852,-56.9,116,10.3
"01000","5","4244","56","0","2023","2","","Alabama -- Statewide","Private","NAICS 4244 Grocery and related product merchant wholesalers","State, NAICS 4-digit -- by ownership sector","All establishment sizes",404,10579,10582,10653,162623302,11034697,48335,1180,"",0.63,0.97,0.97,0.97,1.01,0.63,0.44,1.04,"",39,10.7,684,6.9,657,6.6,589,5.9,13207808,8.8,-469520,-4.1,-73803,-60.4,26,2.3
"01000","5","4244","56","0","2023","3","","Alabama -- Statewide","Private","NAICS 4244 Grocery and related product merchant wholesalers","State, NAICS 4-digit -- by ownership sector","All establishment sizes",417,10673,10688,10543,169316736,9393834,44672,1225,"",0.64,0.96,0.97,0.95,1.00,0.69,0.50,1.04,"",46,12.4,463,4.5,505,5.0,384,3.8,9109258,5.7,-1414389,-13.1,-82983,-65.0,15,1.2
"01001","5","4244","76","0","2023","1","-","Autauga County, Alabama","Private","NAICS 4244 Grocery and related product merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","4244","76","0","2023","2","-","Autauga County, Alabama","Private","NAICS 4244 Grocery and related product merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","4244","76","0","2023","3","N","Autauga County, Alabama","Private","NAICS 4244 Grocery and related product merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.23,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","4244","76","0","2023","1","","Baldwin County, Alabama","Private","NAICS 4244 Grocery and related product merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",15,270,275,280,3858046,1816631,6404,1079,"",0.45,0.64,0.64,0.65,0.73,0.53,0.35,1.14,"",1,7.1,35,14.9,35,14.6,50,21.7,642016,20.0,256788,16.5,-8329,-56.5,26,2.5
"01003","5","4244","76","0","2023","2","","Baldwin County, Alabama","Private","NAICS 4244 Grocery and related product merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",18,300,303,302,4236452,482168,2286,1080,"",0.53,0.69,0.69,0.67,0.80,0.55,0.47,1.17,"",4,28.6,48,19.0,41,15.6,26,9.4,831281,24.4,53493,12.5,-2207,-49.1,85,8.5
"01003","5","4244","76","0","2023","3","","Baldwin County, Alabama","Private","NAICS 4244 Grocery and related product merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",18,312,313,305,4003708,395954,2974,993,"",0.52,0.69,0.70,0.69,0.69,0.59,0.74,0.99,"",4,28.6,26,9.1,28,9.8,22,7.8,54722,1.4,62841,18.9,-456,-13.3,-74,-6.9
"01005","5","4244","76","0","2023","1","N","Barbour County, Alabama","Private","NAICS 4244 Grocery and related product merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.84,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","4244","76","0","2023","2","N","Barbour County, Alabama","Private","NAICS 4244 Grocery and related product merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.82,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","4244","76","0","2023","3","N","Barbour County, Alabama","Private","NAICS 4244 Grocery and related product merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.82,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","4244","76","0","2023","1","N","Bibb County, Alabama","Private","NAICS 4244 Grocery and related product merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.59,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","4244","76","0","2023","2","N","Bibb County, Alabama","Private","NAICS 4244 Grocery and related product merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.57,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","4244","76","0","2023","3","N","Bibb County, Alabama","Private","NAICS 4244 Grocery and related product merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.56,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","4244","76","0","2023","1","N","Blount County, Alabama","Private","NAICS 4244 Grocery and related product merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.53,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","4244","76","0","2023","2","N","Blount County, Alabama","Private","NAICS 4244 Grocery and related product merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.53,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","4244","76","0","2023","3","N","Blount County, Alabama","Private","NAICS 4244 Grocery and related product merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.52,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","4244","76","0","2023","1","","Calhoun County, Alabama","Private","NAICS 4244 Grocery and related product merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,418,436,440,6642001,3151589,19432,1185,"",0.80,1.80,1.87,1.89,2.16,2.02,2.30,1.16,"",0,0.0,11,2.7,23,5.6,19,4.5,737377,12.5,270510,9.4,-4075,-17.3,87,7.9
"01015","5","4244","76","0","2023","2","","Calhoun County, Alabama","Private","NAICS 4244 Grocery and related product merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,425,438,433,6386152,437007,2862,1137,"",0.79,1.83,1.89,1.87,2.20,1.22,1.35,1.18,"",1,12.5,-2,-0.5,16,3.8,-5,-1.1,494161,8.4,-50730,-10.4,-1150,-28.7,81,7.7
"01015","5","4244","76","0","2023","3","","Calhoun County, Alabama","Private","NAICS 4244 Grocery and related product merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,433,429,434,6436908,484881,3335,1146,"",0.78,1.87,1.83,1.87,2.22,1.86,1.99,1.19,"",1,12.5,-15,-3.3,3,0.7,6,1.4,-52176,-0.8,-117162,-19.5,-3778,-53.1,-4,-0.3
"01019","5","4244","76","0","2023","1","N","Cherokee County, Alabama","Private","NAICS 4244 Grocery and related product merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.51,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01019","5","4244","76","0","2023","2","N","Cherokee County, Alabama","Private","NAICS 4244 Grocery and related product merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.50,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01019","5","4244","76","0","2023","3","N","Cherokee County, Alabama","Private","NAICS 4244 Grocery and related product merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.50,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01021","5","4244","76","0","2023","1","N","Chilton County, Alabama","Private","NAICS 4244 Grocery and related product merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.55,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01021","5","4244","76","0","2023","2","N","Chilton County, Alabama","Private","NAICS 4244 Grocery and related product merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.54,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01021","5","4244","76","0","2023","3","N","Chilton County, Alabama","Private","NAICS 4244 Grocery and related product merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",0.79,0,0,0,0,0,0,0,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01025","5","4244","76","0","2023","1","N","Clarke County, Alabama","Private","NAICS 4244 Grocery and related product merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.32,0,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01025","5","4244","76","0","2023","2","N","Clarke County, Alabama","Private","NAICS 4244 Grocery and related product merchant wholesalers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.32,0,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
