"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","42448","57","0","2023","1","","Alabama -- Statewide","Private","NAICS 42448 Fresh fruit and vegetable merchant wholesalers","State, NAICS 5-digit -- by ownership sector","All establishment sizes",30,340,339,336,4877238,2480747,12666,1109,"",0.44,0.27,0.27,0.26,0.29,0.28,0.24,1.10,"",5,20.0,26,8.3,20,6.3,23,7.3,1071973,28.2,286092,13.0,-7407,-36.9,181,19.5
"01000","5","42448","57","0","2023","2","","Alabama -- Statewide","Private","NAICS 42448 Fresh fruit and vegetable merchant wholesalers","State, NAICS 5-digit -- by ownership sector","All establishment sizes",31,342,346,331,4918759,523972,2814,1114,"",0.45,0.27,0.27,0.26,0.29,0.26,0.20,1.08,"",5,19.2,32,10.3,41,13.4,17,5.4,1153966,30.7,-46024,-8.1,-2826,-50.1,179,19.1
"01000","5","42448","57","0","2023","3","","Alabama -- Statewide","Private","NAICS 42448 Fresh fruit and vegetable merchant wholesalers","State, NAICS 5-digit -- by ownership sector","All establishment sizes",31,348,361,359,5100565,486737,4766,1102,"",0.44,0.27,0.28,0.27,0.29,0.28,0.39,1.05,"",4,14.8,38,12.3,47,15.0,36,11.1,633556,14.2,79167,19.4,330,7.4,13,1.2
"01003","5","42448","77","0","2023","1","N","Baldwin County, Alabama","Private","NAICS 42448 Fresh fruit and vegetable merchant wholesalers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",1.12,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","42448","77","0","2023","2","N","Baldwin County, Alabama","Private","NAICS 42448 Fresh fruit and vegetable merchant wholesalers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,0,"N",1.38,0,0,0,0,0,0,0,"N",1,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","42448","77","0","2023","3","","Baldwin County, Alabama","Private","NAICS 42448 Fresh fruit and vegetable merchant wholesalers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,130,138,137,1437521,282960,2706,819,"",1.34,2.44,2.61,2.63,2.38,3.31,4.90,0.93,"",1,25.0,23,21.5,29,26.6,25,22.3,-93828,-6.1,74059,35.5,671,33.0,-258,-24.0
"01051","5","42448","77","0","2023","1","N","Elmore County, Alabama","Private","NAICS 42448 Fresh fruit and vegetable merchant wholesalers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.35,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01051","5","42448","77","0","2023","2","N","Elmore County, Alabama","Private","NAICS 42448 Fresh fruit and vegetable merchant wholesalers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.33,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01051","5","42448","77","0","2023","3","N","Elmore County, Alabama","Private","NAICS 42448 Fresh fruit and vegetable merchant wholesalers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.32,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01073","5","42448","77","0","2023","1","","Jefferson County, Alabama","Private","NAICS 42448 Fresh fruit and vegetable merchant wholesalers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",14,198,194,193,3001959,1419324,6663,1184,"",1.44,0.89,0.87,0.87,0.86,0.89,0.74,0.98,"",0,0.0,-7,-3.4,-11,-5.4,-3,-1.5,602116,25.1,70633,5.2,-4995,-42.8,270,29.5
