"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","42493","57","0","2023","1","","Alabama -- Statewide","Private","NAICS 42493 Flower, nursery stock, and florists' supplies merchant wholesalers","State, NAICS 5-digit -- by ownership sector","All establishment sizes",56,407,426,453,4672489,2659169,20244,838,"",1.14,0.67,0.68,0.70,0.77,0.71,0.92,1.13,"",1,1.8,9,2.3,-26,-5.8,-40,-8.1,251708,5.7,15030,0.6,-14559,-41.8,78,10.3
"01000","5","42493","57","0","2023","2","","Alabama -- Statewide","Private","NAICS 42493 Flower, nursery stock, and florists' supplies merchant wholesalers","State, NAICS 5-digit -- by ownership sector","All establishment sizes",57,465,453,425,4726309,737723,9554,812,"",1.15,0.68,0.63,0.62,0.66,0.67,0.99,1.02,"",2,3.6,-34,-6.8,-30,-6.2,16,3.9,64862,1.4,-198581,-21.2,-6991,-42.3,39,5.0
"01000","5","42493","57","0","2023","3","","Alabama -- Statewide","Private","NAICS 42493 Flower, nursery stock, and florists' supplies merchant wholesalers","State, NAICS 5-digit -- by ownership sector","All establishment sizes",57,414,421,428,4690632,314821,2364,857,"",1.14,0.63,0.65,0.67,0.70,0.47,0.45,1.08,"",-1,-1.7,-12,-2.8,-7,-1.6,-24,-5.3,-24676,-0.5,-223002,-41.5,-5111,-68.4,24,2.9
"01003","5","42493","77","0","2023","1","","Baldwin County, Alabama","Private","NAICS 42493 Flower, nursery stock, and florists' supplies merchant wholesalers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,12,16,12,255125,135765,271,1472,"",1.16,0.51,0.66,0.47,1.36,0.92,0.32,2.50,"",0,0.0,1,9.1,-1,-5.9,-1,-7.7,8934,3.6,18521,15.8,-1186,-81.4,86,6.2
"01003","5","42493","77","0","2023","2","","Baldwin County, Alabama","Private","NAICS 42493 Flower, nursery stock, and florists' supplies merchant wholesalers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,16,16,11,178293,21993,44,957,"",1.14,0.58,0.55,0.39,0.75,0.40,0.10,1.48,"",0,0.0,1,6.7,2,14.3,4,57.1,-7030,-3.8,-6443,-22.7,-647,-93.6,-231,-19.4
"01003","5","42493","77","0","2023","3","","Baldwin County, Alabama","Private","NAICS 42493 Flower, nursery stock, and florists' supplies merchant wholesalers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,15,12,12,251751,5101,10,1490,"",1.13,0.55,0.46,0.47,1.10,0.16,0.04,2.22,"",0,0.0,5,50.0,2,20.0,-1,-7.7,20528,8.9,-7336,-59.0,-153,-93.9,-127,-7.9
"01011","5","42493","77","0","2023","1","N","Bullock County, Alabama","Private","NAICS 42493 Flower, nursery stock, and florists' supplies merchant wholesalers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",14.98,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01011","5","42493","77","0","2023","2","N","Bullock County, Alabama","Private","NAICS 42493 Flower, nursery stock, and florists' supplies merchant wholesalers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",14.91,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01011","5","42493","77","0","2023","3","N","Bullock County, Alabama","Private","NAICS 42493 Flower, nursery stock, and florists' supplies merchant wholesalers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",15.13,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01031","5","42493","77","0","2023","1","N","Coffee County, Alabama","Private","NAICS 42493 Flower, nursery stock, and florists' supplies merchant wholesalers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.44,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
